learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,12.820689252,8.796635238988847E-6,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,2652208.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,25.416905415,2.3761190849537998E-5,200.0,97.0,0.0,-50.0,0.0,?,98.47715736040608,?,?,97.0,?,50.0,100.0,0.0,200.0,4592256.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,39.11283181,4.096877679607438E-5,300.0,98.0,0.0,-50.00000000000042,0.0,?,98.98989898989899,?,?,98.0,?,50.0,100.0,0.0,300.0,4856584.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,52.976278423,5.923634427877155E-5,400.0,98.5,0.0,-50.0,0.0,?,99.24433249370279,?,?,98.5,?,50.0,100.0,0.0,400.0,5093448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,67.005527415,7.860975411205266E-5,500.0,98.4,0.0,-33.33333333333333,0.0,?,99.19354838709677,?,?,98.4,?,50.0,100.0,0.0,500.0,5337944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,81.230008334,9.874283770659116E-5,600.0,98.33333333333333,0.0,-25.00000000000063,0.0,?,99.15966386554621,?,?,98.33333333333333,?,50.0,100.0,0.0,600.0,5471120.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,95.568530773,1.1978066497189975E-4,700.0,96.85714285714285,0.0,-83.33333333333377,0.0,?,98.4034833091437,?,?,96.85714285714285,?,50.0,100.0,0.0,700.0,5671512.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,110.538733632,1.433290682598332E-4,800.0,84.75,0.0,-838.461538461539,0.0,?,91.74560216508796,?,?,84.75,?,50.0,100.0,0.0,800.0,6080456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,125.61107803,1.6812618215920848E-4,900.0,77.66666666666666,0.0,-617.8571428571435,0.0,?,87.4296435272045,?,?,77.66666666666666,?,50.0,100.0,0.0,900.0,6359496.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,140.784753872,1.9351175653349435E-4,1000.0,74.3,0.0,-301.56250000000034,0.0,?,85.25530694205393,?,?,74.3,?,50.0,100.0,0.0,1000.0,6466936.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
