learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.42527165,3.740614719895853E-10,100.0,98.0,0.0,-100.0,-Infinity,?,?,98.98989898989899,50.0,0.0,100.0,?,?,98.0,100.0,3400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.64201783,5.647076040299403E-10,200.0,99.0,0.0,-100.0,-Infinity,?,?,99.49748743718592,50.0,0.0,100.0,?,?,99.0,200.0,3400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,0.857313365,7.54077774213834E-10,300.0,99.33333333333333,0.0,-100.00000000000333,-Infinity,?,?,99.66555183946488,50.0,0.0,100.0,?,?,99.33333333333333,300.0,3400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,1.024593425,9.012143761436973E-10,400.0,99.5,0.0,-100.00000000000443,-Infinity,?,?,99.74937343358395,50.0,0.0,100.0,?,?,99.5,400.0,3400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,1.203722189,1.0587728899489674E-9,500.0,99.6,0.0,-100.0,-Infinity,?,?,99.79959919839679,50.0,0.0,100.0,?,?,99.6,500.0,3400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,1.423842424,1.2523867814905114E-9,600.0,99.66666666666667,0.0,-99.99999999999334,-Infinity,?,?,99.83305509181972,50.0,0.0,100.0,?,?,99.66666666666667,600.0,3400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,1.685222432,1.4822920444938872E-9,700.0,99.71428571428571,0.0,-100.0,-Infinity,?,?,99.85693848354792,50.0,0.0,100.0,?,?,99.71428571428571,700.0,3400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,1.894450376,1.6663252682321601E-9,800.0,99.75,0.0,-100.0,-Infinity,?,?,99.87484355444306,50.0,0.0,100.0,?,?,99.75,800.0,3400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,2.070722758,1.8213713586123453E-9,900.0,99.77777777777777,0.0,-100.00000000000999,-Infinity,?,?,99.88876529477196,50.0,0.0,100.0,?,?,99.77777777777777,900.0,3400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,2.233440734,1.9644952316044107E-9,1000.0,99.8,0.0,-100.0,-Infinity,?,?,99.8998998998999,50.0,0.0,100.0,?,?,99.8,1000.0,3400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,2.398269296,2.1094755389624173E-9,1100.0,99.81818181818181,0.0,-100.00000000001221,-Infinity,?,?,99.90900818926298,50.0,0.0,100.0,?,?,99.81818181818181,1100.0,3400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,2.584491566,2.273273376023604E-9,1200.0,99.83333333333333,0.0,-100.0,-Infinity,?,?,99.9165971643036,50.0,0.0,100.0,?,?,99.83333333333333,1200.0,3400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,2.803619686,2.4660146206410395E-9,1300.0,99.84615384615385,0.0,-100.0,-Infinity,?,?,99.92301770592763,50.0,0.0,100.0,?,?,99.84615384615385,1300.0,3400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,2.993235963,2.63279776663209E-9,1400.0,99.85714285714286,0.0,-100.00000000001555,-Infinity,?,?,99.92852037169406,50.0,0.0,100.0,?,?,99.85714285714286,1400.0,3400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,3.197173149,2.812177332583815E-9,1500.0,99.86666666666667,0.0,-99.99999999998334,-Infinity,?,?,99.93328885923948,50.0,0.0,100.0,?,?,99.86666666666667,1500.0,3400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1600.0,3.39700417,2.987945187940366E-9,1600.0,99.875,0.0,-100.0,-Infinity,?,?,99.93746091307068,50.0,0.0,100.0,?,?,99.875,1600.0,3400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1700.0,3.602183727,3.1684175215971967E-9,1700.0,99.88235294117646,0.0,-100.0,-Infinity,?,?,99.94114184814596,50.0,0.0,100.0,?,?,99.88235294117646,1700.0,3400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
