learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.433077947,1.762126973523862E-9,100.0,67.0,0.0,50.000000000000014,0.0,?,80.23952095808384,?,?,67.0,?,50.0,100.0,0.0,100.0,15728.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.552015845,2.3245901298440166E-9,200.0,66.5,0.0,49.62406015037594,0.0,?,79.87987987987988,?,?,66.5,?,50.0,100.0,0.0,200.0,18280.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,0.627606215,2.6872232936984963E-9,300.0,66.66666666666666,0.0,49.99999999999999,0.0,?,80.0,?,?,66.66666666666666,?,50.0,100.0,0.0,300.0,18544.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,0.679867919,2.93967135152883E-9,400.0,58.25,0.0,37.453183520599254,0.0,?,73.61769352290679,?,?,58.25,?,50.0,100.0,0.0,400.0,18672.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,0.733733231,3.200200013137526E-9,500.0,53.400000000000006,0.0,30.239520958083837,0.0,?,69.6219035202086,?,?,53.400000000000006,?,50.0,100.0,0.0,500.0,18696.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,0.788062539,3.46331019035644E-9,600.0,50.0,0.0,25.187032418952622,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,600.0,18720.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,0.836344622,3.697134398362703E-9,700.0,52.42857142857142,0.0,28.846153846153843,0.0,?,68.79100281162135,?,?,52.42857142857142,?,50.0,100.0,0.0,700.0,18720.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,0.876273715,3.8905060999757715E-9,800.0,54.125,0.0,31.401869158878508,0.0,?,70.23519870235198,?,?,54.125,?,50.0,100.0,0.0,800.0,18720.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,0.913028575,4.068505380368895E-9,900.0,55.55555555555556,0.0,33.55481727574751,0.0,?,71.42857142857143,?,?,55.55555555555556,?,50.0,100.0,0.0,900.0,18720.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,0.949356727,4.244438166237539E-9,1000.0,53.300000000000004,0.0,30.194319880418536,0.0,?,69.5368558382257,?,?,53.300000000000004,?,50.0,100.0,0.0,1000.0,18720.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,0.993142953,4.4593893372019125E-9,1100.0,51.54545454545455,0.0,27.581521739130437,0.0,?,68.02639472105578,?,?,51.54545454545455,?,50.0,100.0,0.0,1100.0,18976.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,1.033985335,4.662593753619326E-9,1200.0,50.0,0.0,25.280199252801992,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,1200.0,19232.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,1.07067942,4.845234956875857E-9,1300.0,51.30769230769231,0.0,27.241379310344833,0.0,?,67.81901372648703,?,?,51.30769230769231,?,50.0,100.0,0.0,1300.0,19240.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,1.105473547,5.018419305839472E-9,1400.0,52.35714285714286,0.0,28.815368196371395,0.0,?,68.72948898265354,?,?,52.35714285714286,?,50.0,100.0,0.0,1400.0,19240.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,1.137795508,5.179298691403948E-9,1500.0,53.333333333333336,0.0,30.278884462151396,0.0,?,69.56521739130436,?,?,53.333333333333336,?,50.0,100.0,0.0,1500.0,19240.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
