learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,6.748205032,1.8783598467165565E-6,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,1075952.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,11.632049851,3.685392398945592E-6,200.0,97.0,0.0,-50.0,0.0,?,98.47715736040608,?,?,97.0,?,50.0,100.0,0.0,200.0,1430232.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,16.479570504,5.540684542946613E-6,300.0,98.0,0.0,-50.00000000000042,0.0,?,98.98989898989899,?,?,98.0,?,50.0,100.0,0.0,300.0,1479432.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,21.34282401,7.455211869970258E-6,400.0,98.5,0.0,-50.0,0.0,?,99.24433249370279,?,?,98.5,?,50.0,100.0,0.0,400.0,1521728.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,26.199520507,9.396025640721284E-6,500.0,98.4,0.0,-33.33333333333333,0.0,?,99.19354838709677,?,?,98.4,?,50.0,100.0,0.0,500.0,1544704.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,31.062290361,1.138757370057791E-5,600.0,98.33333333333333,0.0,-25.00000000000063,0.0,?,99.15966386554621,?,?,98.33333333333333,?,50.0,100.0,0.0,600.0,1583104.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,36.047805815,1.3740997387217942E-5,700.0,96.85714285714285,0.0,-83.33333333333377,0.0,?,98.4034833091437,?,?,96.85714285714285,?,50.0,100.0,0.0,700.0,1824704.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,40.903694201,1.612160804331972E-5,800.0,84.75,0.0,-838.461538461539,0.0,?,91.74560216508796,?,?,84.75,?,50.0,100.0,0.0,800.0,1895056.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,45.936661658,1.9180946419784986E-5,900.0,77.66666666666666,0.0,-617.8571428571435,0.0,?,87.4296435272045,?,?,77.66666666666666,?,50.0,100.0,0.0,900.0,2349664.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,51.24093429,2.301854930893901E-5,1000.0,74.3,0.0,-301.56250000000034,0.0,?,85.25530694205393,?,?,74.3,?,50.0,100.0,0.0,1000.0,2796640.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
