learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.590607624,5.12276373013854E-9,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,33528.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.773878673,7.685685799926933E-9,200.0,97.0,0.0,-50.0,0.0,?,98.47715736040608,?,?,97.0,?,50.0,100.0,0.0,200.0,54056.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,0.892418609,9.397359696835692E-9,300.0,98.0,0.0,-50.00000000000042,0.0,?,98.98989898989899,?,?,98.0,?,50.0,100.0,0.0,300.0,55816.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,0.99052084,1.0845593647559482E-8,400.0,98.5,0.0,-50.0,0.0,?,99.24433249370279,?,?,98.5,?,50.0,100.0,0.0,400.0,57064.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,1.095804651,1.2439066931843341E-8,500.0,98.4,0.0,-33.33333333333333,0.0,?,99.19354838709677,?,?,98.4,?,50.0,100.0,0.0,500.0,58504.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,1.179813183,1.3876752800459247E-8,600.0,98.33333333333333,0.0,-25.00000000000063,0.0,?,99.15966386554621,?,?,98.33333333333333,?,50.0,100.0,0.0,600.0,66152.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,1.266468696,1.5546433760997734E-8,700.0,96.85714285714285,0.0,-83.33333333333377,0.0,?,98.4034833091437,?,?,96.85714285714285,?,50.0,100.0,0.0,700.0,74480.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,1.349826251,1.720673999391703E-8,800.0,84.75,0.0,-838.461538461539,0.0,?,91.74560216508796,?,?,84.75,?,50.0,100.0,0.0,800.0,76992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,1.464388178,1.986792816557197E-8,900.0,77.66666666666666,0.0,-617.8571428571435,0.0,?,87.4296435272045,?,?,77.66666666666666,?,50.0,100.0,0.0,900.0,89792.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,1.597718662,2.3066918352066225E-8,1000.0,74.3,0.0,-301.56250000000034,0.0,?,85.25530694205393,?,?,74.3,?,50.0,100.0,0.0,1000.0,92744.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,1.730891277,2.6306494781008608E-8,1100.0,70.45454545454545,0.0,-238.5416666666666,0.0,?,82.66666666666667,?,?,70.45454545454545,?,50.0,100.0,0.0,1100.0,94032.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,1.863687831,2.9586118830212698E-8,1200.0,70.08333333333333,0.0,-206.83760683760676,0.0,?,82.41058304752573,?,?,70.08333333333333,?,50.0,100.0,0.0,1200.0,95464.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
