learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.308100093,2.703617832561334E-10,100.0,98.0,0.0,-100.0,-Infinity,?,?,98.98989898989899,50.0,0.0,100.0,?,?,98.0,100.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.34815235,3.055081524782711E-10,200.0,99.0,0.0,-100.0,-Infinity,?,?,99.49748743718592,50.0,0.0,100.0,?,?,99.0,200.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,0.37073671,3.253262180421088E-10,300.0,99.33333333333333,0.0,-100.00000000000333,-Infinity,?,?,99.66555183946488,50.0,0.0,100.0,?,?,99.33333333333333,300.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,0.390451246,3.4262597623798585E-10,400.0,99.5,0.0,-100.00000000000443,-Infinity,?,?,99.74937343358395,50.0,0.0,100.0,?,?,99.5,400.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,0.40739024,3.5749016073015E-10,500.0,99.6,0.0,-100.0,-Infinity,?,?,99.79959919839679,50.0,0.0,100.0,?,?,99.6,500.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,0.423811718,3.7190021829472646E-10,600.0,99.66666666666667,0.0,-99.99999999999334,-Infinity,?,?,99.83305509181972,50.0,0.0,100.0,?,?,99.66666666666667,600.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,0.439857675,3.859807513654232E-10,700.0,99.71428571428571,0.0,-100.0,-Infinity,?,?,99.85693848354792,50.0,0.0,100.0,?,?,99.71428571428571,700.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,0.456483176,4.005698417292701E-10,800.0,99.75,0.0,-100.0,-Infinity,?,?,99.87484355444306,50.0,0.0,100.0,?,?,99.75,800.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,0.471943731,4.1413667703668276E-10,900.0,99.77777777777777,0.0,-100.00000000000999,-Infinity,?,?,99.88876529477196,50.0,0.0,100.0,?,?,99.77777777777777,900.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,0.486541193,4.269461371666855E-10,1000.0,99.8,0.0,-100.0,-Infinity,?,?,99.8998998998999,50.0,0.0,100.0,?,?,99.8,1000.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,0.501503378,4.4007564640707437E-10,1100.0,99.81818181818181,0.0,-100.00000000001221,-Infinity,?,?,99.90900818926298,50.0,0.0,100.0,?,?,99.81818181818181,1100.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,0.516321384,4.5307863672574357E-10,1200.0,99.83333333333333,0.0,-100.0,-Infinity,?,?,99.9165971643036,50.0,0.0,100.0,?,?,99.83333333333333,1200.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,0.531069666,4.660204433401425E-10,1300.0,99.84615384615385,0.0,-100.0,-Infinity,?,?,99.92301770592763,50.0,0.0,100.0,?,?,99.84615384615385,1300.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
