learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,7.285102681,4.6757089243601505E-6,100.0,50.0,0.0,49.494949494949495,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,100.0,2480928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,13.087060312,9.145959569947743E-6,200.0,50.0,0.0,49.74874371859296,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,200.0,2978240.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,18.934725752,1.3917908745541E-5,300.0,50.0,0.0,49.832775919732434,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,300.0,3154392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,24.841646934,1.904075742962002E-5,400.0,50.0,0.0,49.87468671679198,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,400.0,3352376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,30.956467748,2.491642125410047E-5,500.0,50.0,0.0,49.899799599198396,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,500.0,3714288.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,37.498491883,3.144593739998774E-5,600.0,50.0,0.0,49.91652754590986,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,600.0,3858080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,44.369942856,3.846422475203448E-5,700.0,50.0,0.0,49.92846924177396,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,700.0,3948072.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,51.37417288,4.597833948536578E-5,800.0,50.0,0.0,49.93742177722153,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,800.0,4146864.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,58.475428252,5.379461144686193E-5,900.0,50.0,0.0,49.94438264738598,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,900.0,4254680.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,65.679519895,6.199207472218406E-5,1000.0,50.0,0.0,49.94994994994995,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,1000.0,4398480.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
