learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,9.827945453,4.699591242618354E-6,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,1848416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,19.124050152,1.4185687195076705E-5,200.0,97.0,0.0,-50.0,0.0,?,98.47715736040608,?,?,97.0,?,50.0,100.0,0.0,200.0,3944472.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,29.277956086,2.5619216810783126E-5,300.0,98.0,0.0,-50.00000000000042,0.0,?,98.98989898989899,?,?,98.0,?,50.0,100.0,0.0,300.0,4352608.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,39.553493243,3.749725933938856E-5,400.0,98.5,0.0,-50.0,0.0,?,99.24433249370279,?,?,98.5,?,50.0,100.0,0.0,400.0,4468304.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,49.939363876,4.994023701022838E-5,500.0,98.4,0.0,-33.33333333333333,0.0,?,99.19354838709677,?,?,98.4,?,50.0,100.0,0.0,500.0,4631096.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,60.409024427,6.280368140858459E-5,600.0,98.33333333333333,0.0,-25.00000000000063,0.0,?,99.15966386554621,?,?,98.33333333333333,?,50.0,100.0,0.0,600.0,4749272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,70.917708089,7.614819915040876E-5,700.0,96.85714285714285,0.0,-83.33333333333377,0.0,?,98.4034833091437,?,?,96.85714285714285,?,50.0,100.0,0.0,700.0,4908592.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,81.687689023,9.12120330608812E-5,800.0,84.75,0.0,-838.461538461539,0.0,?,91.74560216508796,?,?,84.75,?,50.0,100.0,0.0,800.0,5406584.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,92.561352277,1.073100493753729E-4,900.0,77.66666666666666,0.0,-617.8571428571435,0.0,?,87.4296435272045,?,?,77.66666666666666,?,50.0,100.0,0.0,900.0,5722672.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,103.500428376,1.2382068353200177E-4,1000.0,74.3,0.0,-301.56250000000034,0.0,?,85.25530694205393,?,?,74.3,?,50.0,100.0,0.0,1000.0,5834256.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,114.503664303,1.405092026273386E-4,1100.0,70.45454545454545,0.0,-238.5416666666666,0.0,?,82.66666666666667,?,?,70.45454545454545,?,50.0,100.0,0.0,1100.0,5862728.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,125.563807985,1.5735467221691807E-4,1200.0,70.08333333333333,0.0,-206.83760683760676,0.0,?,82.41058304752573,?,?,70.08333333333333,?,50.0,100.0,0.0,1200.0,5887416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,136.67241312,1.7438950232974301E-4,1300.0,67.76923076923077,0.0,-235.20000000000005,0.0,?,80.7886290692343,?,?,67.76923076923077,?,50.0,100.0,0.0,1300.0,5927624.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,147.895360972,1.917721590516212E-4,1400.0,65.85714285714286,0.0,-229.6551724137932,0.0,?,79.41429801894918,?,?,65.85714285714286,?,50.0,100.0,0.0,1400.0,5987032.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,159.150814549,2.0932624628523688E-4,1500.0,64.33333333333333,0.0,-198.88268156424593,0.0,?,78.29614604462475,?,?,64.33333333333333,?,50.0,100.0,0.0,1500.0,6028616.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1600.0,170.41577171,2.269443013312768E-4,1600.0,62.875,0.0,-166.36771300448424,0.0,?,77.20644666155026,?,?,62.875,?,50.0,100.0,0.0,1600.0,6045480.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1700.0,181.696467121,2.446448934223277E-4,1700.0,61.588235294117645,0.0,-172.08333333333326,0.0,?,76.22861303239898,?,?,61.588235294117645,?,50.0,100.0,0.0,1700.0,6065328.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1800.0,193.036756417,2.624813343073142E-4,1800.0,61.111111111111114,0.0,-146.47887323943655,0.0,?,75.86206896551725,?,?,61.111111111111114,?,50.0,100.0,0.0,1800.0,6079760.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1900.0,204.38662913,2.803671434090158E-4,1900.0,59.578947368421055,0.0,-154.30463576158942,0.0,?,74.67018469656993,?,?,59.578947368421055,?,50.0,100.0,0.0,1900.0,6091440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,215.752516976,2.983301992626593E-4,2000.0,59.599999999999994,0.0,-141.9161676646706,0.0,?,74.68671679197995,?,?,59.599999999999994,?,50.0,100.0,0.0,2000.0,6109128.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2100.0,227.168195807,3.164430606928593E-4,2100.0,57.99999999999999,0.0,-137.73584905660383,0.0,?,73.41772151898734,?,?,57.99999999999999,?,50.0,100.0,0.0,2100.0,6133208.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2200.0,238.606120256,3.346257795841907E-4,2200.0,56.59090909090909,0.0,-139.9497487437186,0.0,?,72.27866473149493,?,?,56.59090909090909,?,50.0,100.0,0.0,2200.0,6144888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2300.0,250.036437052,3.5283125034388723E-4,2300.0,55.869565217391305,0.0,-149.38574938574936,0.0,?,71.68758716875871,?,?,55.869565217391305,?,50.0,100.0,0.0,2300.0,6156672.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2400.0,261.497939508,3.7110793008806204E-4,2400.0,55.50000000000001,0.0,-147.79582366589327,0.0,?,71.38263665594855,?,?,55.50000000000001,?,50.0,100.0,0.0,2400.0,6163936.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2500.0,272.946600416,3.893839882630787E-4,2500.0,55.279999999999994,0.0,-143.5729847494554,0.0,?,71.20041215868109,?,?,55.279999999999994,?,50.0,100.0,0.0,2500.0,6170640.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2600.0,284.514421427,4.0787516600879285E-4,2600.0,53.15384615384615,0.0,-165.35947712418303,0.0,?,69.4123556002009,?,?,53.15384615384615,?,50.0,100.0,0.0,2600.0,6178960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2700.0,296.09330758,4.2645242388181405E-4,2700.0,51.18518518518519,0.0,-187.14596949891057,0.0,?,67.71190592846644,?,?,51.18518518518519,?,50.0,100.0,0.0,2700.0,6201792.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2800.0,307.579398791,4.450638427418078E-4,2800.0,50.535714285714285,2.297987610639083,-201.74291938997823,-0.21707670043416166,60.82115544454096,66.61846228006749,4.548587181254306,74.97289483194795,49.945789663895916,100.0,51.163610719322996,100.0,2.32722143864598,2800.0,6263392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
