learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,9.566603648,8.223179023562802E-6,100.0,50.0,0.0,49.494949494949495,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,100.0,3322648.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,17.584445146,1.6052866729910378E-5,200.0,50.0,0.0,49.74874371859296,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,200.0,3774760.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,25.696788975,2.4420411736235923E-5,300.0,50.0,0.0,49.832775919732434,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,300.0,3987072.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,34.048432676,3.3398279939953753E-5,400.0,50.0,0.0,49.87468671679198,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,400.0,4155312.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,42.544305449,4.287917909543612E-5,500.0,50.0,0.0,49.899799599198396,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,500.0,4313640.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,50.998203399,5.256677474293343E-5,600.0,50.0,0.0,49.91652754590986,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,600.0,4429568.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,59.48798607,6.247435957362318E-5,700.0,50.0,0.0,49.92846924177396,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,700.0,4511008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,68.063722732,7.289697951206559E-5,800.0,50.0,0.0,49.93742177722153,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,800.0,4697944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,76.705618297,8.360103738979967E-5,900.0,50.0,0.0,49.94438264738598,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,900.0,4787864.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,85.42789924,9.469545706727297E-5,1000.0,50.0,0.0,49.94994994994995,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,1000.0,4916736.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
