learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.219814655,5.993698371005141E-9,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,105400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.2960555,8.498432845611953E-9,200.0,95.5,44.92044063647486,-125.0,-50.0,73.9455871065281,97.65013054830287,47.05882352941177,67.65271765271766,98.94179894179894,36.36363636363637,81.52920962199313,96.3917525773196,66.66666666666666,200.0,126992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,0.340079525,9.947028480118347E-9,300.0,97.0,45.65217391304335,-125.00000000000063,-50.0,74.30692364736814,98.45626072041166,47.05882352941177,67.8357974205725,99.30795847750865,36.36363636363637,82.14285714285714,97.61904761904762,66.66666666666666,300.0,127192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,0.372769239,1.1023010723470814E-8,400.0,97.75,46.01079784043188,-124.99999999999945,-49.99999999999963,74.48381363769552,98.85057471264368,47.05882352941177,67.92474877307781,99.48586118251927,36.36363636363637,82.44500846023688,98.22335025380711,66.66666666666666,400.0,127232.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,0.403148525,1.2023196700078745E-8,500.0,97.8,41.01244101244095,-83.33333333333334,-37.5,70.8812920912951,98.87869520897044,42.10526315789474,67.77282022680795,99.18200408997954,36.36363636363637,74.28861788617887,98.57723577235772,50.0,500.0,127264.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,0.429013146,1.2875762123285483E-8,600.0,97.83333333333334,36.9951534733443,-62.4999999999999,-29.999999999999265,68.52865898709457,98.89737065309583,38.0952380952381,67.6724803210372,98.98132427843804,36.36363636363637,69.40677966101696,98.8135593220339,40.0,600.0,127416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,0.450828202,1.359926787275614E-8,700.0,96.42857142857143,22.62115316590042,-108.33333333333344,-13.636363636363427,62.45050106625347,98.17117776152158,24.242424242424246,66.87557725293574,97.38751814223512,36.36363636363637,58.574684902118534,98.96755162241888,18.181818181818183,700.0,128200.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,0.472888157,1.4335461344189115E-8,800.0,88.25,37.82657583173487,-623.076923076924,22.9508196721311,73.2472957184597,93.4540389972145,42.68292682926828,85.92788038698329,88.52242744063325,83.33333333333334,63.82803810629141,98.96755162241888,28.688524590163933,800.0,129000.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,0.494338092,1.5052051668336823E-8,900.0,88.33333333333333,60.07199716067535,-275.00000000000034,47.76119402985074,82.10884427641606,92.93880295897782,66.45367412140574,90.27374909354606,87.69035532994924,92.85714285714286,75.29840070036086,98.85550786838341,51.741293532338304,900.0,129136.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,0.516441455,1.5790883144982574E-8,1000.0,88.8,66.68827962809844,-75.00000000000013,56.42023346303503,84.81718868705023,92.9113924050633,73.33333333333333,91.08633668301192,87.69414575866189,94.47852760736197,79.35543673507863,98.78869448183042,59.92217898832685,1000.0,129208.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,0.538350738,1.652345398223028E-8,1100.0,84.63636363636363,57.342817806333166,-76.04166666666671,47.99999999999998,81.1926472559733,90.06466784244563,66.13226452905812,88.77448424815671,82.72138228941685,94.82758620689656,74.80397022332505,98.83870967741936,50.76923076923077,1100.0,129248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,0.560588338,1.7267232722596577E-8,1200.0,83.41666666666666,54.20163554628166,-70.08547008547009,44.56824512534818,79.68143451266718,89.26065839179708,63.61974405850091,87.13627953914724,81.7193675889328,92.5531914893617,73.40164083744315,98.33531510107015,48.467966573816156,1200.0,129288.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,0.581045976,1.795147725539282E-8,1300.0,80.76923076923077,48.87638151747484,-100.0,40.334128878281625,77.70627129107301,87.3991935483871,59.41558441558441,85.74860440607297,78.60380779691751,92.89340101522842,71.04315718469194,98.41089670828603,43.67541766109785,1300.0,129288.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,0.602771079,1.8678564184817177E-8,1400.0,79.92857142857143,48.96714906158707,-93.79310344827594,41.213389121338906,77.6958838055079,86.57429526994744,60.254596888260245,85.19143493226034,77.36976942783946,93.01310043668121,71.41265576924822,98.2646420824295,44.56066945606695,1400.0,129368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,0.623164414,1.9361122249518006E-8,1500.0,78.06666666666666,45.56344864101657,-83.79888268156435,38.50467289719625,76.33175484395336,85.20017993702204,57.65765765765766,83.92010143347042,75.27821939586646,92.56198347107438,70.00193695220571,98.13471502590674,41.86915887850468,1500.0,129376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1600.0,0.643464788,2.0040694982119736E-8,1600.0,76.75,43.673487928410815,-66.81614349775784,37.373737373737356,75.67142252613307,84.15672913117547,56.33802816901407,83.32235816032994,73.6214605067064,93.02325581395348,69.30738799526075,98.2107355864811,40.4040404040404,1600.0,129400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1700.0,0.660573029,2.0613514499213137E-8,1700.0,76.8235294117647,45.48683398795795,-64.16666666666664,39.66309341500765,76.28004095995105,83.892068683565,58.70020964360586,83.18067722792027,73.33809864188706,93.02325581395348,70.4366446245453,97.99426934097421,42.87901990811638,1700.0,129424.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1800.0,0.678688005,2.061598889583929E-8,1800.0,77.66666666666666,48.19587628865977,-41.5492957746479,42.57142857142855,77.34997865437809,84.28459734167319,61.420345489443385,83.75207566240704,73.93689986282578,93.56725146198829,71.85714285714285,98.0,45.714285714285715,1800.0,528.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1900.0,0.800746207,2.8519218978025023E-8,1900.0,77.42105263157895,49.197101037373876,-42.05298013245036,44.14062499999999,77.48633167586812,83.7067983289024,63.239074550128535,82.94946226325307,73.41772151898735,92.4812030075188,72.69834916077738,97.34982332155478,48.046875,1900.0,250288.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
2000.0,0.847284695,3.1562718406207864E-8,2000.0,77.05,48.84539942938659,-37.425149700598794,43.19306930693069,76.52128447752882,83.16831683168317,63.94344069128045,80.70155160940071,73.87622149837134,87.52688172043011,72.75275765831617,95.13422818791946,50.37128712871287,2000.0,252792.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
2100.0,0.878061402,3.358409982379733E-8,2100.0,77.61904761904762,51.514401254435924,-26.68463611859839,46.71201814058958,77.51507704470518,83.04473304473305,67.08683473389355,80.89793089793089,74.06692406692407,87.72893772893772,74.40378450230666,94.4991789819376,54.30839002267574,2100.0,253880.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
2200.0,0.907232011,3.5504461933904226E-8,2200.0,78.18181818181819,53.75337762381702,-20.603015075376863,49.73821989528797,78.34286878847028,82.95454545454545,69.6969696969697,81.05294795675594,74.3475493316359,87.75834658187598,75.80815408229778,93.81526104417671,57.80104712041884,2200.0,254472.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
2300.0,0.932239878,3.715533661008502E-8,2300.0,78.52173913043478,54.91251949412499,-21.37592137592134,51.33004926108376,78.80169847408105,82.95376121463077,70.97532314923619,81.21900750001578,74.5195288282703,87.91848617176127,76.52412259684499,93.5408560311284,59.50738916256157,2300.0,255176.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
2400.0,0.958348718,3.8882295358452116E-8,2400.0,78.79166666666667,55.771052197109924,-18.097447795823655,52.340823970037455,79.01087305683464,82.9137294394092,72.04832509610105,81.05150738878125,74.98482088646024,87.11819389110225,77.07046934575024,92.71771771771772,61.42322097378277,2400.0,255680.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
