learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,12.045418508,8.26470019147464E-6,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,2652208.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,24.261519033,2.2778176505657757E-5,200.0,97.0,0.0,-50.0,0.0,?,98.47715736040608,?,?,97.0,?,50.0,100.0,0.0,200.0,4592416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,37.495625634,3.95334396703294E-5,300.0,98.0,0.0,-50.00000000000042,0.0,?,98.98989898989899,?,?,98.0,?,50.0,100.0,0.0,300.0,4893944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,50.932920266,5.7134354361153904E-5,400.0,98.5,0.0,-50.0,0.0,?,99.24433249370279,?,?,98.5,?,50.0,100.0,0.0,400.0,5063208.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,64.56088052,7.567509308336294E-5,500.0,98.4,0.0,-33.33333333333333,0.0,?,99.19354838709677,?,?,98.4,?,50.0,100.0,0.0,500.0,5258944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,78.388732162,9.515349914321762E-5,600.0,98.33333333333333,0.0,-25.00000000000063,0.0,?,99.15966386554621,?,?,98.33333333333333,?,50.0,100.0,0.0,600.0,5445040.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,92.391608138,1.1559496294227929E-4,700.0,96.85714285714285,0.0,-83.33333333333377,0.0,?,98.4034833091437,?,?,96.85714285714285,?,50.0,100.0,0.0,700.0,5642832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,106.757967518,1.3809681863889475E-4,800.0,84.75,0.0,-838.461538461539,0.0,?,91.74560216508796,?,?,84.75,?,50.0,100.0,0.0,800.0,6054440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,121.086947614,1.6158171209140559E-4,900.0,77.66666666666666,0.0,-617.8571428571435,0.0,?,87.4296435272045,?,?,77.66666666666666,?,50.0,100.0,0.0,900.0,6335424.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,135.454628688,1.8553131531798842E-4,1000.0,74.3,0.0,-301.56250000000034,0.0,?,85.25530694205393,?,?,74.3,?,50.0,100.0,0.0,1000.0,6443384.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
