learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.885934521,5.487770714182407E-9,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,23944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,1.336678302,1.2285535437986255E-8,200.0,97.0,0.0,-50.0,0.0,?,98.47715736040608,?,?,97.0,?,50.0,100.0,0.0,200.0,58296.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,1.616810911,1.663898369189973E-8,300.0,98.0,0.0,-50.00000000000042,0.0,?,98.98989898989899,?,?,98.0,?,50.0,100.0,0.0,300.0,60072.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,1.806942069,1.9603980063587016E-8,400.0,98.5,0.0,-50.0,0.0,?,99.24433249370279,?,?,98.5,?,50.0,100.0,0.0,400.0,60280.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,1.986012088,2.25840095281394E-8,500.0,98.4,0.0,-33.33333333333333,0.0,?,99.19354838709677,?,?,98.4,?,50.0,100.0,0.0,500.0,64328.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,2.165816769,2.568939095515137E-8,600.0,98.33333333333333,0.0,-25.00000000000063,0.0,?,99.15966386554621,?,?,98.33333333333333,?,50.0,100.0,0.0,600.0,66760.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,2.381774958,2.998724584190175E-8,700.0,96.85714285714285,0.0,-83.33333333333377,0.0,?,98.4034833091437,?,?,96.85714285714285,?,50.0,100.0,0.0,700.0,76928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,2.561732506,3.3856909608011033E-8,800.0,84.75,0.0,-838.461538461539,0.0,?,91.74560216508796,?,?,84.75,?,50.0,100.0,0.0,800.0,83120.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,2.730851842,3.752081790344376E-8,900.0,77.66666666666666,0.0,-617.8571428571435,0.0,?,87.4296435272045,?,?,77.66666666666666,?,50.0,100.0,0.0,900.0,83744.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,2.907865164,4.135831094052436E-8,1000.0,74.3,0.0,-301.56250000000034,0.0,?,85.25530694205393,?,?,74.3,?,50.0,100.0,0.0,1000.0,83800.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,3.080168445,4.509619063287767E-8,1100.0,70.45454545454545,0.0,-238.5416666666666,0.0,?,82.66666666666667,?,?,70.45454545454545,?,50.0,100.0,0.0,1100.0,83856.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,3.259419413,4.898850050604799E-8,1200.0,70.08333333333333,0.0,-206.83760683760676,0.0,?,82.41058304752573,?,?,70.08333333333333,?,50.0,100.0,0.0,1200.0,83936.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,3.425299147,5.260522549240333E-8,1300.0,67.76923076923077,0.0,-235.20000000000005,0.0,?,80.7886290692343,?,?,67.76923076923077,?,50.0,100.0,0.0,1300.0,84280.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,3.526416765,5.482666476429958E-8,1400.0,65.85714285714286,0.0,-229.6551724137932,0.0,?,79.41429801894918,?,?,65.85714285714286,?,50.0,100.0,0.0,1400.0,84920.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,3.69653239,5.861883519302226E-8,1500.0,64.33333333333333,0.0,-198.88268156424593,0.0,?,78.29614604462475,?,?,64.33333333333333,?,50.0,100.0,0.0,1500.0,86168.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1600.0,3.862785448,6.233419246080435E-8,1600.0,62.875,0.0,-166.36771300448424,0.0,?,77.20644666155026,?,?,62.875,?,50.0,100.0,0.0,1600.0,86384.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1700.0,3.956418395,6.445243752530672E-8,1700.0,61.588235294117645,0.0,-172.08333333333326,0.0,?,76.22861303239898,?,?,61.588235294117645,?,50.0,100.0,0.0,1700.0,87448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1800.0,4.040018022,6.637017198945705E-8,1800.0,61.111111111111114,0.0,-146.47887323943655,0.0,?,75.86206896551725,?,?,61.111111111111114,?,50.0,100.0,0.0,1800.0,88672.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1900.0,4.122595563,6.827539809066181E-8,1900.0,59.578947368421055,0.0,-154.30463576158942,0.0,?,74.67018469656993,?,?,59.578947368421055,?,50.0,100.0,0.0,1900.0,89184.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,4.206179759,7.021561277083018E-8,2000.0,59.599999999999994,0.0,-141.9161676646706,0.0,?,74.68671679197995,?,?,59.599999999999994,?,50.0,100.0,0.0,2000.0,89728.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
