learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,7.087884586,3.877944948440514E-6,100.0,50.0,0.0,49.494949494949495,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,100.0,2114888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,12.388016861,7.208364742178773E-6,200.0,50.0,0.0,49.74874371859296,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,200.0,2428928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,17.648644527,1.0743043517914307E-5,300.0,50.0,0.0,49.832775919732434,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,300.0,2597256.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,23.037693466,1.4624693981985828E-5,400.0,50.0,0.0,49.87468671679198,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,400.0,2784240.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,28.494130756,1.8706871353444724E-5,500.0,50.0,0.0,49.899799599198396,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,500.0,2891912.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,33.998989777,2.2876166973802293E-5,600.0,50.0,0.0,49.91652754590986,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,600.0,2927648.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,39.548474322,2.7148069382789402E-5,700.0,50.0,0.0,49.92846924177396,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,700.0,2975576.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,45.199449124,3.15866189795143E-5,800.0,50.0,0.0,49.93742177722153,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,800.0,3036128.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,50.866445128,3.6086589659854425E-5,900.0,50.0,0.0,49.94438264738598,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,900.0,3069440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,56.636423434,4.075276208950358E-5,1000.0,50.0,0.0,49.94994994994995,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,1000.0,3126000.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,62.470719697,4.5538566630747135E-5,1100.0,50.0,0.0,49.95450409463148,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,1100.0,3170800.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,68.360265768,5.044066870877326E-5,1200.0,50.0,0.0,49.9582985821518,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,1200.0,3217384.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,74.251567685,5.537272652167772E-5,1300.0,50.0,0.0,49.96150885296382,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,1300.0,3236080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,80.167412684,6.034689196374364E-5,1400.0,50.0,0.0,49.96426018584703,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,1400.0,3250168.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,86.117018575,6.537047544753129E-5,1500.0,50.0,0.0,49.96664442961975,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,1500.0,3263832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1600.0,92.108041445,7.045576195550919E-5,1600.0,50.0,0.0,49.96873045653534,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,1600.0,3281080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1700.0,98.138428553,7.560646158978902E-5,1700.0,50.0,0.0,49.97057092407298,0.0,?,66.66666666666666,?,?,50.0,?,50.0,100.0,0.0,1700.0,3301592.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
