learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.85607794,1.0164494195290738E-8,100.0,64.0,-3.926096997690548,46.268656716417915,-9.090909090909099,39.02439024390244,78.04878048780488,?,32.6530612244898,65.3061224489796,0.0,48.484848484848484,96.96969696969697,0.0,100.0,45896.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,1.088975395,1.3849429341767812E-8,200.0,65.5,-1.9804906887377853,48.50746268656717,-4.545454545454549,39.577039274924466,79.15407854984893,?,33.08080808080808,66.16161616161617,0.0,49.24812030075188,98.49624060150376,0.0,200.0,61160.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,1.297684591,1.8282920480186326E-8,300.0,66.0,-1.3245033112582534,49.00000000000001,-3.0303030303030334,39.75903614457832,79.51807228915663,?,33.22147651006711,66.44295302013423,0.0,49.5,99.0,0.0,300.0,82112.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,1.470354678,2.2718817746742732E-8,400.0,57.99999999999999,-0.9979559937477693,36.84210526315788,-1.8181818181818334,36.708860759493675,73.41772151898735,?,29.145728643216078,58.291457286432156,0.0,49.572649572649574,99.14529914529915,0.0,400.0,99304.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,1.637192576,2.7578755752245586E-8,500.0,53.0,-0.7995333196074295,29.429429429429433,-1.2931034482758632,34.64052287581699,69.28104575163398,?,26.606425702811244,53.21285140562249,0.0,49.62546816479401,99.25093632958801,0.0,500.0,112600.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,1.80749307,3.274715406467517E-8,600.0,49.666666666666664,-0.666666666666671,24.310776942355883,-1.0033444816053634,33.18485523385301,66.36971046770601,?,24.91638795986622,49.83277591973244,0.0,49.666666666666664,99.33333333333333,0.0,600.0,117312.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,1.979852894,3.821419693513049E-8,700.0,51.857142857142854,-0.8567910524335809,27.526881720430108,-1.5060240963855367,34.148635936030104,68.29727187206021,?,26.040172166427546,52.08034433285509,0.0,49.59016393442623,99.18032786885246,0.0,700.0,122608.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,2.160481105,4.426686517112164E-8,800.0,53.75,-0.7494945506776953,30.451127819548862,-1.3698630136986252,34.959349593495936,69.91869918699187,?,26.97616060225847,53.95232120451694,0.0,49.65357967667436,99.30715935334872,0.0,800.0,129528.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,2.320220889,4.9716779315349546E-8,900.0,55.222222222222214,-0.6661115736886138,32.60869565217391,-1.2562814070351966,35.57623478883321,71.15246957766642,?,27.703455964325528,55.406911928651056,0.0,49.7,99.4,0.0,900.0,131880.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,2.468516007,5.5208363329857176E-8,1000.0,53.1,-0.5997374539901033,29.367469879518076,-1.077586206896553,34.68321358589157,69.36642717178314,?,26.629889669007024,53.25977933801405,0.0,49.71910112359551,99.43820224719101,0.0,1000.0,143144.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,2.634614568,6.171605610211277E-8,1100.0,51.272727272727266,-0.5453596679411131,26.675786593707247,-0.9416195856873767,33.89423076923077,67.78846153846153,?,25.706472196900638,51.412944393801276,0.0,49.735449735449734,99.47089947089947,0.0,1100.0,151448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,2.789766407,6.173724890893532E-8,1200.0,49.75,-0.5000000000000004,24.34127979924718,-0.836120401337801,33.2220367278798,66.4440734557596,?,24.93734335839599,49.87468671679198,0.0,49.75,99.5,0.0,1200.0,528.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1300.0,2.972480438,6.550131423207207E-8,1300.0,51.30769230769231,0.2003512210266944,26.651216685979147,-0.3169572107765349,51.46682279268221,67.62148337595907,1.8604651162790697,52.912758304534876,51.280062063615205,54.54545454545454,50.09781074449844,99.24924924924925,0.9463722397476341,1300.0,79632.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1400.0,3.159810411,7.179638588112883E-8,1400.0,52.42857142857142,0.26975512395685886,28.387096774193544,-0.30120481927711207,51.37364952686894,68.52551984877127,2.6315789473684212,52.681723448598525,52.42227042660882,52.94117647058824,50.12896007657835,98.90859481582538,1.3493253373313343,1400.0,129896.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1500.0,3.325218707,7.883777074122387E-8,1500.0,53.400000000000006,0.3611137508315038,29.819277108433738,-0.2869440459110396,51.44956480812856,69.30171277997366,3.319502074688797,52.79650289953195,53.41909275558565,52.17391304347826,50.16964285714286,98.625,1.7142857142857144,1500.0,164552.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
