learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,8.061149007,3.8547329612187295E-6,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,1848416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,14.377608523,7.577986975832507E-6,200.0,97.0,0.0,-50.0,0.0,?,98.47715736040608,?,?,97.0,?,50.0,100.0,0.0,200.0,2278512.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,20.569899602,1.1232945131597155E-5,300.0,98.0,0.0,-50.00000000000042,0.0,?,98.98989898989899,?,?,98.0,?,50.0,100.0,0.0,300.0,2281568.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,26.723466169,1.4867338786824842E-5,400.0,98.5,0.0,-50.0,0.0,?,99.24433249370279,?,?,98.5,?,50.0,100.0,0.0,400.0,2283008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,32.924039486,1.8541789138267316E-5,500.0,98.4,0.0,-33.33333333333333,0.0,?,99.19354838709677,?,?,98.4,?,50.0,100.0,0.0,500.0,2290672.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,39.130373569,2.2221669923242378E-5,600.0,98.33333333333333,0.0,-25.00000000000063,0.0,?,99.15966386554621,?,?,98.33333333333333,?,50.0,100.0,0.0,600.0,2291928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,45.336920729,2.6012080728437452E-5,700.0,96.85714285714285,0.0,-83.33333333333377,0.0,?,98.4034833091437,?,?,96.85714285714285,?,50.0,100.0,0.0,700.0,2360688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,51.565915424,2.9854024351322725E-5,800.0,84.75,0.0,-838.461538461539,0.0,?,91.74560216508796,?,?,84.75,?,50.0,100.0,0.0,800.0,2384160.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,57.804850663,3.372000827439881E-5,900.0,77.66666666666666,0.0,-617.8571428571435,0.0,?,87.4296435272045,?,?,77.66666666666666,?,50.0,100.0,0.0,900.0,2395256.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,64.084851667,3.7615220944766414E-5,1000.0,74.3,0.0,-301.56250000000034,0.0,?,85.25530694205393,?,?,74.3,?,50.0,100.0,0.0,1000.0,2397584.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,70.399117881,4.165548039802457E-5,1100.0,70.45454545454545,0.0,-238.5416666666666,0.0,?,82.66666666666667,?,?,70.45454545454545,?,50.0,100.0,0.0,1100.0,2473368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,76.654010878,4.5674176592722735E-5,1200.0,70.08333333333333,0.0,-206.83760683760676,0.0,?,82.41058304752573,?,?,70.08333333333333,?,50.0,100.0,0.0,1200.0,2483520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,82.885454391,4.984288364464172E-5,1300.0,67.76923076923077,0.0,-235.20000000000005,0.0,?,80.7886290692343,?,?,67.76923076923077,?,50.0,100.0,0.0,1300.0,2585920.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,89.148261916,5.405490531038574E-5,1400.0,65.85714285714286,0.0,-229.6551724137932,0.0,?,79.41429801894918,?,?,65.85714285714286,?,50.0,100.0,0.0,1400.0,2599704.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,95.645950312,5.8456093553375994E-5,1500.0,64.33333333333333,0.0,-198.88268156424593,0.0,?,78.29614604462475,?,?,64.33333333333333,?,50.0,100.0,0.0,1500.0,2618264.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1600.0,102.107949198,6.295578539650985E-5,1600.0,62.875,0.0,-166.36771300448424,0.0,?,77.20644666155026,?,?,62.875,?,50.0,100.0,0.0,1600.0,2691648.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1700.0,108.595808575,6.748918123441873E-5,1700.0,61.588235294117645,0.0,-172.08333333333326,0.0,?,76.22861303239898,?,?,61.588235294117645,?,50.0,100.0,0.0,1700.0,2701000.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1800.0,115.224175796,7.214023672862609E-5,1800.0,61.111111111111114,0.0,-146.47887323943655,0.0,?,75.86206896551725,?,?,61.111111111111114,?,50.0,100.0,0.0,1800.0,2712360.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1900.0,121.794150377,7.688165462730467E-5,1900.0,59.578947368421055,0.0,-154.30463576158942,0.0,?,74.67018469656993,?,?,59.578947368421055,?,50.0,100.0,0.0,1900.0,2789632.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,128.279590466,8.158029317997104E-5,2000.0,59.599999999999994,0.0,-141.9161676646706,0.0,?,74.68671679197995,?,?,59.599999999999994,?,50.0,100.0,0.0,2000.0,2800496.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2100.0,134.789120529,8.644286748843784E-5,2100.0,57.99999999999999,0.0,-137.73584905660383,0.0,?,73.41772151898734,?,?,57.99999999999999,?,50.0,100.0,0.0,2100.0,2887480.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2200.0,141.377438303,9.137985346282174E-5,2200.0,56.59090909090909,0.0,-139.9497487437186,0.0,?,72.27866473149493,?,?,56.59090909090909,?,50.0,100.0,0.0,2200.0,2896608.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2300.0,147.966312334,9.638028357949927E-5,2300.0,55.869565217391305,0.0,-149.38574938574936,0.0,?,71.68758716875871,?,?,55.869565217391305,?,50.0,100.0,0.0,2300.0,2933584.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2400.0,154.632879248,1.014585509223621E-4,2400.0,55.50000000000001,0.0,-147.79582366589327,0.0,?,71.38263665594855,?,?,55.50000000000001,?,50.0,100.0,0.0,2400.0,2944528.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2500.0,161.395563736,1.066286227795369E-4,2500.0,55.279999999999994,0.0,-143.5729847494554,0.0,?,71.20041215868109,?,?,55.279999999999994,?,50.0,100.0,0.0,2500.0,2955152.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2600.0,168.091943918,1.1175785865327894E-4,2600.0,53.15384615384615,0.0,-165.35947712418303,0.0,?,69.4123556002009,?,?,53.15384615384615,?,50.0,100.0,0.0,2600.0,2960840.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2700.0,174.502720611,1.1666944490895221E-4,2700.0,51.18518518518519,0.0,-187.14596949891057,0.0,?,67.71190592846644,?,?,51.18518518518519,?,50.0,100.0,0.0,2700.0,2961512.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2800.0,180.959991294,1.2161867027991526E-4,2800.0,50.535714285714285,2.297987610639083,-201.74291938997823,-0.21707670043416166,60.82115544454096,66.61846228006749,4.548587181254306,74.97289483194795,49.945789663895916,100.0,51.163610719322996,100.0,2.32722143864598,2800.0,2962720.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2900.0,187.488001672,1.2662358727509896E-4,2900.0,52.241379310344826,8.385096001197056,-201.74291938997828,-0.21707670043416083,63.03777325153208,66.61846228006749,16.1114476075106,74.97289483194795,49.945789663895916,100.0,54.38076416337287,100.0,8.761528326745719,2900.0,2963592.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
