learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.53003305,1.863734076316986E-9,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,13592.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.739635378,3.205025672345526E-9,200.0,97.0,0.0,-50.0,0.0,?,98.47715736040608,?,?,97.0,?,50.0,100.0,0.0,200.0,24736.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,0.878327616,4.092834977350302E-9,300.0,98.0,0.0,-50.00000000000042,0.0,?,98.98989898989899,?,?,98.0,?,50.0,100.0,0.0,300.0,24744.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,1.012322618,4.950575910189914E-9,400.0,98.5,0.0,-50.0,0.0,?,99.24433249370279,?,?,98.5,?,50.0,100.0,0.0,400.0,24744.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,1.140197003,5.846679316328633E-9,500.0,98.4,0.0,-33.33333333333333,0.0,?,99.19354838709677,?,?,98.4,?,50.0,100.0,0.0,500.0,27088.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,1.239263161,6.5411087709209995E-9,600.0,98.33333333333333,0.0,-25.00000000000063,0.0,?,99.15966386554621,?,?,98.33333333333333,?,50.0,100.0,0.0,600.0,27096.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,1.334073278,7.263392973440804E-9,700.0,96.85714285714285,0.0,-83.33333333333377,0.0,?,98.4034833091437,?,?,96.85714285714285,?,50.0,100.0,0.0,700.0,29448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,1.404631541,7.827498306102223E-9,800.0,84.75,0.0,-838.461538461539,0.0,?,91.74560216508796,?,?,84.75,?,50.0,100.0,0.0,800.0,30904.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,1.480854805,8.448568336698744E-9,900.0,77.66666666666666,0.0,-617.8571428571435,0.0,?,87.4296435272045,?,?,77.66666666666666,?,50.0,100.0,0.0,900.0,31496.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,1.559267019,9.134211336088678E-9,1000.0,74.3,0.0,-301.56250000000034,0.0,?,85.25530694205393,?,?,74.3,?,50.0,100.0,0.0,1000.0,33800.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,1.63510229,9.915347060256949E-9,1100.0,70.45454545454545,0.0,-238.5416666666666,0.0,?,82.66666666666667,?,?,70.45454545454545,?,50.0,100.0,0.0,1100.0,39816.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,1.690821977,1.0496779322183381E-8,1200.0,70.08333333333333,0.0,-206.83760683760676,0.0,?,82.41058304752573,?,?,70.08333333333333,?,50.0,100.0,0.0,1200.0,40336.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,1.741174918,1.104357304758082E-8,1300.0,67.76923076923077,0.0,-235.20000000000005,0.0,?,80.7886290692343,?,?,67.76923076923077,?,50.0,100.0,0.0,1300.0,41976.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,1.79358982,1.1637599567087988E-8,1400.0,65.85714285714286,0.0,-229.6551724137932,0.0,?,79.41429801894918,?,?,65.85714285714286,?,50.0,100.0,0.0,1400.0,43808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,1.845771125,1.2287727825894125E-8,1500.0,64.33333333333333,0.0,-198.88268156424593,0.0,?,78.29614604462475,?,?,64.33333333333333,?,50.0,100.0,0.0,1500.0,48160.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1600.0,1.915836185,1.3234478849102227E-8,1600.0,62.875,0.0,-166.36771300448424,0.0,?,77.20644666155026,?,?,62.875,?,50.0,100.0,0.0,1600.0,52232.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1700.0,1.965833051,1.3960554503169326E-8,1700.0,61.588235294117645,0.0,-172.08333333333326,0.0,?,76.22861303239898,?,?,61.588235294117645,?,50.0,100.0,0.0,1700.0,56136.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1800.0,2.02168695,1.4779086585150413E-8,1800.0,61.111111111111114,0.0,-146.47887323943655,0.0,?,75.86206896551725,?,?,61.111111111111114,?,50.0,100.0,0.0,1800.0,56648.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1900.0,2.071403428,1.552372689758945E-8,1900.0,59.578947368421055,0.0,-154.30463576158942,0.0,?,74.67018469656993,?,?,59.578947368421055,?,50.0,100.0,0.0,1900.0,57896.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,2.122376345,1.6293937428233527E-8,2000.0,59.599999999999994,0.0,-141.9161676646706,0.0,?,74.68671679197995,?,?,59.599999999999994,?,50.0,100.0,0.0,2000.0,58408.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2100.0,2.172190779,1.70471585402348E-8,2100.0,57.99999999999999,0.0,-137.73584905660383,0.0,?,73.41772151898734,?,?,57.99999999999999,?,50.0,100.0,0.0,2100.0,58448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
