learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.338125707,2.967096446454525E-10,100.0,98.0,0.0,-100.0,-Infinity,?,?,98.98989898989899,50.0,0.0,100.0,?,?,98.0,100.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.397032454,3.4840107066763776E-10,200.0,99.0,0.0,-100.0,-Infinity,?,?,99.49748743718592,50.0,0.0,100.0,?,?,99.0,200.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,0.42255116,3.707940624819862E-10,300.0,99.33333333333333,0.0,-100.00000000000333,-Infinity,?,?,99.66555183946488,50.0,0.0,100.0,?,?,99.33333333333333,300.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,0.443804796,3.894444006681443E-10,400.0,99.5,0.0,-100.00000000000443,-Infinity,?,?,99.74937343358395,50.0,0.0,100.0,?,?,99.5,400.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,0.460988967,4.0452373112241433E-10,500.0,99.6,0.0,-100.0,-Infinity,?,?,99.79959919839679,50.0,0.0,100.0,?,?,99.6,500.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,0.477746785,4.1922893135084053E-10,600.0,99.66666666666667,0.0,-99.99999999999334,-Infinity,?,?,99.83305509181972,50.0,0.0,100.0,?,?,99.66666666666667,600.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,0.49301302,4.326252483659321E-10,700.0,99.71428571428571,0.0,-100.0,-Infinity,?,?,99.85693848354792,50.0,0.0,100.0,?,?,99.71428571428571,700.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,0.515462191,4.523246838483546E-10,800.0,99.75,0.0,-100.0,-Infinity,?,?,99.87484355444306,50.0,0.0,100.0,?,?,99.75,800.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,0.532961413,4.676804755959246E-10,900.0,99.77777777777777,0.0,-100.00000000000999,-Infinity,?,?,99.88876529477196,50.0,0.0,100.0,?,?,99.77777777777777,900.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,0.549540015,4.822284114857515E-10,1000.0,99.8,0.0,-100.0,-Infinity,?,?,99.8998998998999,50.0,0.0,100.0,?,?,99.8,1000.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,0.565058804,4.958463478750653E-10,1100.0,99.81818181818181,0.0,-100.00000000001221,-Infinity,?,?,99.90900818926298,50.0,0.0,100.0,?,?,99.81818181818181,1100.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,0.5821553,5.10848742392328E-10,1200.0,99.83333333333333,0.0,-100.0,-Infinity,?,?,99.9165971643036,50.0,0.0,100.0,?,?,99.83333333333333,1200.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,0.597524374,5.243353019489182E-10,1300.0,99.84615384615385,0.0,-100.0,-Infinity,?,?,99.92301770592763,50.0,0.0,100.0,?,?,99.84615384615385,1300.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,0.613053861,5.37962625970443E-10,1400.0,99.85714285714286,0.0,-100.00000000001555,-Infinity,?,?,99.92852037169406,50.0,0.0,100.0,?,?,99.85714285714286,1400.0,3392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
