learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.63476132,4.9631799818740944E-9,100.0,71.0,28.781925343811366,56.71641791044776,12.1212121212121,65.27805604787959,80.0,47.27272727272727,67.66124171187462,73.41772151898735,61.904761904761905,63.057040998217474,87.87878787878788,38.23529411764706,100.0,30224.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.835155663,6.5968301230772496E-9,200.0,77.0,43.7996334758705,65.67164179104479,30.303030303030297,72.8003612053773,84.02777777777779,58.92857142857143,75.6989247311828,78.06451612903226,73.33333333333333,70.11558747615308,90.97744360902256,49.25373134328358,200.0,31512.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,1.051587869,8.403777047662685E-9,300.0,79.0,48.2191780821918,68.5,36.36363636363637,75.24907208439147,85.51724137931033,61.818181818181806,78.80523731587562,79.14893617021276,78.46153846153847,72.0,93.0,51.0,300.0,32272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,1.228253692,9.892616698926108E-9,400.0,63.5,19.92101799034664,45.11278195488722,11.515151515151514,60.85837533750392,72.86245353159852,44.27480916030534,62.44517543859649,64.47368421052632,60.416666666666664,59.35022139841417,83.76068376068376,34.93975903614458,400.0,32576.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,1.370183093,1.108871742911016E-8,500.0,54.6,6.1362884551769845,31.831831831831835,2.155172413793106,53.41558717767104,64.36420722135009,37.46556473829202,53.856548856548855,55.4054054054054,52.307692307692314,52.98178778672582,76.77902621722846,29.184549356223176,500.0,32576.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,1.503852816,1.2215763551226507E-8,600.0,53.333333333333336,6.666666666666665,29.824561403508763,6.354515050167215,53.760994423018225,61.95652173913043,39.655172413793096,54.19556947863057,52.293577981651374,56.09756097560976,53.333333333333336,76.0,30.666666666666664,600.0,32592.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,1.619630777,1.3191953963258614E-8,700.0,53.85714285714286,5.957807872758123,30.537634408602155,2.710843373493985,53.21763015314799,62.39813736903377,40.29574861367838,53.50902979882608,54.361054766734284,52.65700483091788,52.92938712738457,73.224043715847,32.634730538922156,700.0,32592.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,1.750185116,1.4292732495547583E-8,800.0,55.875,8.621426075251422,33.646616541353374,3.287671232876715,54.60726289223625,64.66466466466467,41.26455906821963,55.02929540032013,57.06713780918727,52.991452991452995,54.19165444808729,74.5958429561201,33.787465940054496,800.0,32592.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,1.875769391,1.5392931246397397E-8,900.0,57.88888888888889,11.65501165501166,36.62207357859532,4.773869346733662,56.17964072215741,66.72519754170327,42.662632375189105,56.74545356429766,59.4679186228482,54.02298850574713,55.625,76.0,35.25,900.0,33864.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,1.956497678,1.6100329864571493E-8,1000.0,54.0,5.348236184957781,30.722891566265066,0.8620689655172422,52.86966233419715,62.9032258064516,39.47368421052632,53.13060068219922,55.240793201133144,51.02040816326531,52.61127453344264,73.03370786516854,32.18884120171674,1000.0,33872.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,2.037092169,1.6806556067114904E-8,1100.0,52.63636363636364,4.054135499467606,28.72777017783858,1.8832391713747767,52.20477630520899,61.20625465376024,39.206534422403735,52.40788468881252,52.9639175257732,51.85185185185185,52.00323614957762,72.4867724867725,31.51969981238274,1100.0,33872.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,2.116072848,1.749864090210034E-8,1200.0,52.83333333333333,5.666666666666664,28.983688833124216,5.351170568561863,53.061770524265526,60.25280898876404,42.00819672131148,53.292191695930605,52.06310679611651,54.52127659574468,52.83333333333333,71.5,34.166666666666664,1200.0,33872.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,2.192954701,1.817233433219708E-8,1300.0,52.15384615384615,3.4521296411275224,27.925840092699882,1.4263074484944527,51.83834170796325,59.87096774193549,40.76190476190476,51.96549773755657,52.488687782805435,51.442307692307686,51.71180644366764,69.66966966966966,33.753943217665615,1300.0,33872.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,2.305530085,1.9217745470284592E-8,1400.0,52.78571428571428,3.8884965310955013,28.924731182795693,0.4518072289156563,52.064747641065864,60.95688127584171,40.28906955736225,52.21590909090909,53.75,50.68181818181819,51.91445886879207,70.3956343792633,33.43328335832084,1400.0,35896.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,2.378057707,1.989156044740644E-8,1500.0,53.93333333333333,5.540873052036807,30.622489959839356,0.8608321377331428,52.92085341189623,62.178434592227696,41.091219096334186,53.129046402523,55.30671859785784,50.95137420718816,52.714285714285715,71.0,34.42857142857143,1500.0,35912.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
