learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,6.384207072,1.7244542675610382E-6,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,1044112.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,11.171511679,3.318040035850255E-6,200.0,97.0,0.0,-50.0,0.0,?,98.47715736040608,?,?,97.0,?,50.0,100.0,0.0,200.0,1286728.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,15.784739544,4.855550903796943E-6,300.0,98.0,0.0,-50.00000000000042,0.0,?,98.98989898989899,?,?,98.0,?,50.0,100.0,0.0,300.0,1288296.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,20.406221716,6.39681708056464E-6,400.0,98.5,0.0,-50.0,0.0,?,99.24433249370279,?,?,98.5,?,50.0,100.0,0.0,400.0,1289136.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,25.007457349,7.931988097680707E-6,500.0,98.4,0.0,-33.33333333333333,0.0,?,99.19354838709677,?,?,98.4,?,50.0,100.0,0.0,500.0,1289688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,29.586622749,9.460439972008449E-6,600.0,98.33333333333333,0.0,-25.00000000000063,0.0,?,99.15966386554621,?,?,98.33333333333333,?,50.0,100.0,0.0,600.0,1290232.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,34.199036396,1.1001784202258281E-5,700.0,96.85714285714285,0.0,-83.33333333333377,0.0,?,98.4034833091437,?,?,96.85714285714285,?,50.0,100.0,0.0,700.0,1291736.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,38.752593914,1.2529095894799684E-5,800.0,84.75,0.0,-838.461538461539,0.0,?,91.74560216508796,?,?,84.75,?,50.0,100.0,0.0,800.0,1296520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,43.316927351,1.4062071807769729E-5,900.0,77.66666666666666,0.0,-617.8571428571435,0.0,?,87.4296435272045,?,?,77.66666666666666,?,50.0,100.0,0.0,900.0,1298256.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,47.893501755,1.560039976222439E-5,1000.0,74.3,0.0,-301.56250000000034,0.0,?,85.25530694205393,?,?,74.3,?,50.0,100.0,0.0,1000.0,1299304.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
