learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.650988124,5.774479565239615E-9,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,34288.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.82754328,8.085266388969288E-9,200.0,97.0,0.0,-50.0,0.0,?,98.47715736040608,?,?,97.0,?,50.0,100.0,0.0,200.0,50592.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,0.94121503,9.574905507697E-9,300.0,98.0,0.0,-50.00000000000042,0.0,?,98.98989898989899,?,?,98.0,?,50.0,100.0,0.0,300.0,50656.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,1.031032542,1.0751940957771408E-8,400.0,98.5,0.0,-50.0,0.0,?,99.24433249370279,?,?,98.5,?,50.0,100.0,0.0,400.0,50656.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,1.102087389,1.178221191605346E-8,500.0,98.4,0.0,-33.33333333333333,0.0,?,99.19354838709677,?,?,98.4,?,50.0,100.0,0.0,500.0,56048.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,1.191191859,1.307511828476356E-8,600.0,98.33333333333333,0.0,-25.00000000000063,0.0,?,99.15966386554621,?,?,98.33333333333333,?,50.0,100.0,0.0,600.0,56088.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,1.292719894,1.456278913973934E-8,700.0,96.85714285714285,0.0,-83.33333333333377,0.0,?,98.4034833091437,?,?,96.85714285714285,?,50.0,100.0,0.0,700.0,56640.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,1.392961754,1.6034518374510935E-8,800.0,84.75,0.0,-838.461538461539,0.0,?,91.74560216508796,?,?,84.75,?,50.0,100.0,0.0,800.0,56752.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,1.479389814,1.7303973011473814E-8,900.0,77.66666666666666,0.0,-617.8571428571435,0.0,?,87.4296435272045,?,?,77.66666666666666,?,50.0,100.0,0.0,900.0,56776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,1.566025054,1.8576650007367134E-8,1000.0,74.3,0.0,-301.56250000000034,0.0,?,85.25530694205393,?,?,74.3,?,50.0,100.0,0.0,1000.0,56784.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,1.659493659,1.995706039481693E-8,1100.0,70.45454545454545,0.0,-238.5416666666666,0.0,?,82.66666666666667,?,?,70.45454545454545,?,50.0,100.0,0.0,1100.0,57088.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,1.753293769,2.1354985083171892E-8,1200.0,70.08333333333333,0.0,-206.83760683760676,0.0,?,82.41058304752573,?,?,70.08333333333333,?,50.0,100.0,0.0,1200.0,57608.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,1.836293108,2.2592115164407426E-8,1300.0,67.76923076923077,0.0,-235.20000000000005,0.0,?,80.7886290692343,?,?,67.76923076923077,?,50.0,100.0,0.0,1300.0,57616.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,1.903581768,2.3595072855576873E-8,1400.0,65.85714285714286,0.0,-229.6551724137932,0.0,?,79.41429801894918,?,?,65.85714285714286,?,50.0,100.0,0.0,1400.0,57616.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,1.97406226,2.4645751628379026E-8,1500.0,64.33333333333333,0.0,-198.88268156424593,0.0,?,78.29614604462475,?,?,64.33333333333333,?,50.0,100.0,0.0,1500.0,57624.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1600.0,2.056154064,2.5869694423145716E-8,1600.0,62.875,0.0,-166.36771300448424,0.0,?,77.20644666155026,?,?,62.875,?,50.0,100.0,0.0,1600.0,57632.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1700.0,2.126263379,2.6929494885653257E-8,1700.0,61.588235294117645,0.0,-172.08333333333326,0.0,?,76.22861303239898,?,?,61.588235294117645,?,50.0,100.0,0.0,1700.0,58432.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1800.0,2.191823358,2.792147554774458E-8,1800.0,61.111111111111114,0.0,-146.47887323943655,0.0,?,75.86206896551725,?,?,61.111111111111114,?,50.0,100.0,0.0,1800.0,58488.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1900.0,2.269274035,2.9093373022725184E-8,1900.0,59.578947368421055,0.0,-154.30463576158942,0.0,?,74.67018469656993,?,?,59.578947368421055,?,50.0,100.0,0.0,1900.0,58488.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,2.35844787,3.044265228171522E-8,2000.0,59.599999999999994,0.0,-141.9161676646706,0.0,?,74.68671679197995,?,?,59.599999999999994,?,50.0,100.0,0.0,2000.0,58488.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
