learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.35837315,8.306940562195248E-10,100.0,98.0,0.0,-100.0,-Infinity,?,?,98.98989898989899,50.0,0.0,100.0,?,?,98.0,100.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.417479885,9.677010095781751E-10,200.0,99.0,0.0,-100.0,-Infinity,?,?,99.49748743718592,50.0,0.0,100.0,?,?,99.0,200.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,0.443865629,1.0288620667325127E-9,300.0,99.33333333333333,0.0,-100.00000000000333,-Infinity,?,?,99.66555183946488,50.0,0.0,100.0,?,?,99.33333333333333,300.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,0.465924586,1.07999381158087E-9,400.0,99.5,0.0,-100.00000000000443,-Infinity,?,?,99.74937343358395,50.0,0.0,100.0,?,?,99.5,400.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,0.486850706,1.1284996873802611E-9,500.0,99.6,0.0,-100.0,-Infinity,?,?,99.79959919839679,50.0,0.0,100.0,?,?,99.6,500.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,0.511841987,1.1864284372991987E-9,600.0,99.66666666666667,0.0,-99.99999999999334,-Infinity,?,?,99.83305509181972,50.0,0.0,100.0,?,?,99.66666666666667,600.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,0.541572013,1.2553414010339315E-9,700.0,99.71428571428571,0.0,-100.0,-Infinity,?,?,99.85693848354792,50.0,0.0,100.0,?,?,99.71428571428571,700.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,0.566031113,1.3120365775293776E-9,800.0,99.75,0.0,-100.0,-Infinity,?,?,99.87484355444306,50.0,0.0,100.0,?,?,99.75,800.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,0.592305266,1.3729389713870156E-9,900.0,99.77777777777777,0.0,-100.00000000000999,-Infinity,?,?,99.88876529477196,50.0,0.0,100.0,?,?,99.77777777777777,900.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,0.612203369,1.4190619465377597E-9,1000.0,99.8,0.0,-100.0,-Infinity,?,?,99.8998998998999,50.0,0.0,100.0,?,?,99.8,1000.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,0.63180602,1.4645000762409635E-9,1100.0,99.81818181818181,0.0,-100.00000000001221,-Infinity,?,?,99.90900818926298,50.0,0.0,100.0,?,?,99.81818181818181,1100.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,0.659673767,1.5290963547097314E-9,1200.0,99.83333333333333,0.0,-100.0,-Infinity,?,?,99.9165971643036,50.0,0.0,100.0,?,?,99.83333333333333,1200.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,0.685536688,1.5890455298953587E-9,1300.0,99.84615384615385,0.0,-100.0,-Infinity,?,?,99.92301770592763,50.0,0.0,100.0,?,?,99.84615384615385,1300.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,0.70057053,1.6238933503627777E-9,1400.0,99.85714285714286,0.0,-100.00000000001555,-Infinity,?,?,99.92852037169406,50.0,0.0,100.0,?,?,99.85714285714286,1400.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,0.71537902,1.6582188142670525E-9,1500.0,99.86666666666667,0.0,-99.99999999998334,-Infinity,?,?,99.93328885923948,50.0,0.0,100.0,?,?,99.86666666666667,1500.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1600.0,0.729359003,1.6906238334046469E-9,1600.0,99.875,0.0,-100.0,-Infinity,?,?,99.93746091307068,50.0,0.0,100.0,?,?,99.875,1600.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1700.0,0.743574713,1.7235752579238678E-9,1700.0,99.88235294117646,0.0,-100.0,-Infinity,?,?,99.94114184814596,50.0,0.0,100.0,?,?,99.88235294117646,1700.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1800.0,0.759252919,1.7599166873428556E-9,1800.0,99.8888888888889,0.0,-100.0,-Infinity,?,?,99.9444135630906,50.0,0.0,100.0,?,?,99.8888888888889,1800.0,8960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1900.0,0.776075478,1.8020441252117355E-9,1900.0,98.63157894736842,82.19755666870883,-1199.9999999999368,70.11494252873571,91.61040029389909,82.89473684210526,99.28728070175438,97.80758750785998,96.92307692307692,98.69209809264305,86.1517393537098,72.41379310344827,99.88968560397133,1900.0,9680.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.797017842,1.8049914108837644E-9,2000.0,98.25,88.8473941139733,-1649.9999999999943,81.28342245989309,94.65054801398274,89.79591836734694,99.04293136450643,98.46418043272706,98.71794871794873,98.21041214750542,91.12131339022096,82.35294117647058,99.88968560397133,2000.0,544.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
2100.0,0.855918274,2.0690282643958925E-9,2100.0,98.28571428571429,92.37772602159644,-1700.0000000000466,87.45644599303137,96.29750316730662,93.35793357933578,99.01585565882996,98.68643392316277,99.2156862745098,98.15718157181573,94.02149785425047,88.15331010452961,99.88968560397133,2100.0,17328.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
2200.0,0.878030425,2.1681518629193303E-9,2200.0,98.36363636363636,94.16630451595796,-1700.0000000000978,90.69767441860466,97.14740174712885,95.14824797843666,99.01585565882996,98.79690064506279,99.43661971830986,98.15718157181573,95.55207794410452,91.21447028423772,99.88968560397133,2200.0,17328.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
2300.0,0.90343451,2.282032431227465E-9,2300.0,98.43478260869564,95.19562732457946,-1699.9999999999231,92.6078028747433,97.6416430881415,96.17834394904459,99.01585565882996,98.85881056612764,99.56043956043956,98.15718157181573,96.45408304839222,93.01848049281314,99.88968560397133,2300.0,17328.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
2400.0,0.92490924,2.3782986205692086E-9,2400.0,98.5,95.8645051047515,-1699.9999999999602,93.8671209540034,97.96485590491967,96.84763572679509,99.01585565882996,98.89841060572768,99.63963963963964,98.15718157181573,97.04876103026506,94.20783645655877,99.88968560397133,2400.0,17328.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
2500.0,0.954229151,2.509732920502622E-9,2500.0,98.56,96.33405701763319,-1699.9999999999445,94.75982532751092,98.19272330416685,97.31743666169896,99.01585565882996,98.92591903018267,99.69465648854961,98.15718157181573,97.47031587331026,95.0509461426492,99.88968560397133,2500.0,17328.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
2600.0,0.992127546,2.6796225567782913E-9,2600.0,98.61538461538461,96.68182768901352,-1700.000000000058,95.42566709021601,98.3620126463597,97.66536964980546,99.01585565882996,98.94614045478203,99.73509933774835,98.15718157181573,97.78474115014322,95.67979669631512,99.88968560397133,2600.0,17328.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
2700.0,1.020966632,2.8089014307533697E-9,2700.0,98.66666666666667,96.94975569802583,-1700.000000000075,95.9413754227734,98.49273971392411,97.93340987370837,99.01585565882996,98.96163172158037,99.76608187134502,98.15718157181573,98.02827008496199,96.16685456595265,99.88968560397133,2700.0,17328.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
