learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,1.06402845,2.5366212997895972E-8,100.0,71.0,40.08264462809916,56.71641791044776,12.1212121212121,70.59016667272331,76.03305785123968,63.29113924050633,69.59595959595958,83.63636363636363,55.55555555555556,71.6131907308378,69.6969696969697,73.52941176470588,100.0,92152.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,1.464438863,3.685187970542659E-8,200.0,75.0,47.39610731194109,62.68656716417911,24.24242424242423,74.14378424468269,79.83870967741936,67.10526315789474,73.04347826086956,86.08695652173914,60.0,75.27774660531928,74.43609022556392,76.11940298507463,200.0,110880.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,1.784820592,4.759948180179422E-8,300.0,75.0,46.300715990453455,62.5,24.24242424242423,73.37341911348646,80.31496062992125,65.75342465753424,72.51729421050189,84.5303867403315,60.50420168067227,74.25,76.5,72.0,300.0,129672.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,2.084770566,5.858973874149016E-8,400.0,62.0,20.90748256842544,42.85714285714285,7.878787878787873,60.47471620227037,68.33333333333333,52.49999999999999,60.606060606060595,66.66666666666666,54.54545454545454,60.34393986201214,70.08547008547008,50.602409638554214,400.0,141632.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,2.331636796,6.82092607088118E-8,500.0,54.6,7.897299402752546,31.831831831831835,2.155172413793106,53.989743458709704,60.105448154657296,47.33178654292344,54.068834035721444,56.622516556291394,51.515151515151516,53.91088392727974,64.04494382022472,43.776824034334766,500.0,150624.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,2.608854178,7.932299770818195E-8,600.0,54.0,8.000000000000007,30.82706766917293,7.6923076923076925,54.04811148201421,57.27554179566564,50.18050541516246,54.09630877065222,53.46820809248555,54.7244094488189,54.0,61.66666666666667,46.33333333333333,600.0,154968.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,2.840775847,8.885312793971764E-8,700.0,53.714285714285715,6.917949896575497,30.32258064516129,2.409638554216873,53.46872317881841,57.25593667546174,49.532710280373834,53.49025974025974,55.35714285714286,51.62337662337663,53.447203952750236,59.2896174863388,47.604790419161674,700.0,158840.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,3.090595265,9.943358272706469E-8,800.0,56.00000000000001,10.953142886054193,33.83458646616542,3.5616438356164593,55.48679625017724,60.449438202247194,50.42253521126761,55.52436667070704,58.86214442013129,52.1865889212828,55.449276639125046,62.12471131639723,48.77384196185286,800.0,163712.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,3.327956355,1.0962885800284644E-7,900.0,58.55555555555556,15.75909661229613,37.62541806020068,6.281407035175883,57.88412750371437,63.2512315270936,52.48407643312102,57.91829529693607,62.33009708737865,53.5064935064935,57.85,64.2,51.5,900.0,166032.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,3.569592444,1.204668395232906E-7,1000.0,55.00000000000001,9.085031759628908,32.22891566265061,3.017241379310348,54.55756756903196,59.386281588447645,49.55156950672646,54.597503721516084,57.3170731707317,51.87793427230047,54.517689797624215,61.61048689138576,47.42489270386266,1000.0,173376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,3.806105746,1.3144951056593408E-7,1100.0,52.090909090909086,3.6947204040269646,27.90697674418604,0.7532956685499106,51.8641690917929,56.33802816901409,46.928499496475325,51.88858695652174,53.125,50.65217391304348,51.83977419749777,59.9647266313933,43.71482176360225,1100.0,179496.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,4.041131653,1.3148112727845088E-7,1200.0,51.24999999999999,2.499999999999991,26.59974905897114,2.1739130434782443,51.2660662632136,54.826254826254825,47.05882352941176,51.28214260274948,51.07913669064749,51.48514851485149,51.24999999999999,59.166666666666664,43.333333333333336,1200.0,520.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1300.0,4.402784687,1.463855933553953E-7,1300.0,52.0,3.48831675629373,27.694090382387028,1.1093502377179179,51.777603006395225,57.14285714285714,45.45454545454545,51.81931000248201,52.65822784810127,50.98039215686274,51.73596309242997,62.46246246246246,41.00946372239748,1300.0,159304.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1400.0,4.707220909,1.6132312569914385E-7,1400.0,53.07142857142857,4.926301862609302,29.354838709677416,1.0542168674698804,52.53087003731953,59.519408502772656,44.18011894647408,52.62502753910553,54.26966292134831,50.98039215686274,52.4370488698352,65.89358799454298,38.980509745127435,1400.0,189664.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1500.0,4.96788299,1.7618708017903898E-7,1500.0,54.0,6.0286907572180946,30.722891566265066,1.0043041606886745,53.11940122693299,61.36618141097425,43.16309719934102,53.275427976101206,55.57809330628803,50.97276264591439,52.96428571428572,68.5,37.42857142857143,1500.0,220424.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
