learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,6.542248401,1.7671432093781605E-6,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,1044112.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,11.534943118,3.429098714526145E-6,200.0,97.0,0.0,-50.0,0.0,?,98.47715736040608,?,?,97.0,?,50.0,100.0,0.0,200.0,1286728.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,16.302719114,5.018117862138821E-6,300.0,98.0,0.0,-50.00000000000042,0.0,?,98.98989898989899,?,?,98.0,?,50.0,100.0,0.0,300.0,1288296.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,21.156395771,6.636820993728226E-6,400.0,98.5,0.0,-50.0,0.0,?,99.24433249370279,?,?,98.5,?,50.0,100.0,0.0,400.0,1289136.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,26.002899375,8.258979604211443E-6,500.0,98.4,0.0,-33.33333333333333,0.0,?,99.19354838709677,?,?,98.4,?,50.0,100.0,0.0,500.0,1293800.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,30.919237835,9.905214495686601E-6,600.0,98.33333333333333,0.0,-25.00000000000063,0.0,?,99.15966386554621,?,?,98.33333333333333,?,50.0,100.0,0.0,600.0,1294352.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,35.762356534,1.1586410301872568E-5,700.0,96.85714285714285,0.0,-83.33333333333377,0.0,?,98.4034833091437,?,?,96.85714285714285,?,50.0,100.0,0.0,700.0,1341824.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,40.782239994,1.3349952748631745E-5,800.0,84.75,0.0,-838.461538461539,0.0,?,91.74560216508796,?,?,84.75,?,50.0,100.0,0.0,800.0,1357984.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,45.61938512,1.5059037816274486E-5,900.0,77.66666666666666,0.0,-617.8571428571435,0.0,?,87.4296435272045,?,?,77.66666666666666,?,50.0,100.0,0.0,900.0,1365768.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,50.676837351,1.6847365495576417E-5,1000.0,74.3,0.0,-301.56250000000034,0.0,?,85.25530694205393,?,?,74.3,?,50.0,100.0,0.0,1000.0,1366840.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,55.728309167,1.8842157311510698E-5,1100.0,70.45454545454545,0.0,-238.5416666666666,0.0,?,82.66666666666667,?,?,70.45454545454545,?,50.0,100.0,0.0,1100.0,1526448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,60.714919467,2.0824762489217218E-5,1200.0,70.08333333333333,0.0,-206.83760683760676,0.0,?,82.41058304752573,?,?,70.08333333333333,?,50.0,100.0,0.0,1200.0,1536856.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,65.65524793,2.2875803618940822E-5,1300.0,67.76923076923077,0.0,-235.20000000000005,0.0,?,80.7886290692343,?,?,67.76923076923077,?,50.0,100.0,0.0,1300.0,1604800.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,70.704680932,2.4990805205398685E-5,1400.0,65.85714285714286,0.0,-229.6551724137932,0.0,?,79.41429801894918,?,?,65.85714285714286,?,50.0,100.0,0.0,1400.0,1619088.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,75.696256026,2.71099609412784E-5,1500.0,64.33333333333333,0.0,-198.88268156424593,0.0,?,78.29614604462475,?,?,64.33333333333333,?,50.0,100.0,0.0,1500.0,1641072.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1600.0,80.739632347,2.9357490769362507E-5,1600.0,62.875,0.0,-166.36771300448424,0.0,?,77.20644666155026,?,?,62.875,?,50.0,100.0,0.0,1600.0,1722608.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
