learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.612666054,3.7950556717440486E-9,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,23944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.852496628,6.316537690539326E-9,200.0,97.0,0.0,-50.0,0.0,?,98.47715736040608,?,?,97.0,?,50.0,100.0,0.0,200.0,40640.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,1.014661857,8.023826892725708E-9,300.0,98.0,0.0,-50.00000000000042,0.0,?,98.98989898989899,?,?,98.0,?,50.0,100.0,0.0,300.0,40696.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,1.159503675,9.548733763460897E-9,400.0,98.5,0.0,-50.0,0.0,?,99.24433249370279,?,?,98.5,?,50.0,100.0,0.0,400.0,40696.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,1.306955447,1.1257363969789197E-8,500.0,98.4,0.0,-33.33333333333333,0.0,?,99.19354838709677,?,?,98.4,?,50.0,100.0,0.0,500.0,44792.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,1.429255017,1.267479055262895E-8,600.0,98.33333333333333,0.0,-25.00000000000063,0.0,?,99.15966386554621,?,?,98.33333333333333,?,50.0,100.0,0.0,600.0,44800.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,1.539193329,1.4017666471672968E-8,700.0,96.85714285714285,0.0,-83.33333333333377,0.0,?,98.4034833091437,?,?,96.85714285714285,?,50.0,100.0,0.0,700.0,47216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,1.645010611,1.5334732785885118E-8,800.0,84.75,0.0,-838.461538461539,0.0,?,91.74560216508796,?,?,84.75,?,50.0,100.0,0.0,800.0,48112.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,1.756323956,1.673310743144196E-8,900.0,77.66666666666666,0.0,-617.8571428571435,0.0,?,87.4296435272045,?,?,77.66666666666666,?,50.0,100.0,0.0,900.0,48560.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,1.874484201,1.826444896718487E-8,1000.0,74.3,0.0,-301.56250000000034,0.0,?,85.25530694205393,?,?,74.3,?,50.0,100.0,0.0,1000.0,50096.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,2.048578844,2.071273686148226E-8,1100.0,70.45454545454545,0.0,-238.5416666666666,0.0,?,82.66666666666667,?,?,70.45454545454545,?,50.0,100.0,0.0,1100.0,54360.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,2.2099388,2.3003644070103763E-8,1200.0,70.08333333333333,0.0,-206.83760683760676,0.0,?,82.41058304752573,?,?,70.08333333333333,?,50.0,100.0,0.0,1200.0,54880.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,2.36163019,2.518867599574228E-8,1300.0,67.76923076923077,0.0,-235.20000000000005,0.0,?,80.7886290692343,?,?,67.76923076923077,?,50.0,100.0,0.0,1300.0,55680.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,2.490931132,2.709534002730002E-8,1400.0,65.85714285714286,0.0,-229.6551724137932,0.0,?,79.41429801894918,?,?,65.85714285714286,?,50.0,100.0,0.0,1400.0,57000.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,2.5743097,2.8408354860581457E-8,1500.0,64.33333333333333,0.0,-198.88268156424593,0.0,?,78.29614604462475,?,?,64.33333333333333,?,50.0,100.0,0.0,1500.0,60872.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1600.0,2.642228288,2.9524438565178877E-8,1600.0,62.875,0.0,-166.36771300448424,0.0,?,77.20644666155026,?,?,62.875,?,50.0,100.0,0.0,1600.0,63520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1700.0,2.734412369,3.1140766555919415E-8,1700.0,61.588235294117645,0.0,-172.08333333333326,0.0,?,76.22861303239898,?,?,61.588235294117645,?,50.0,100.0,0.0,1700.0,67776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1800.0,2.821812064,3.267881392959712E-8,1800.0,61.111111111111114,0.0,-146.47887323943655,0.0,?,75.86206896551725,?,?,61.111111111111114,?,50.0,100.0,0.0,1800.0,68024.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1900.0,2.899993306,3.407502362904656E-8,1900.0,59.578947368421055,0.0,-154.30463576158942,0.0,?,74.67018469656993,?,?,59.578947368421055,?,50.0,100.0,0.0,1900.0,69032.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,2.986057859,3.562341810548057E-8,2000.0,59.599999999999994,0.0,-141.9161676646706,0.0,?,74.68671679197995,?,?,59.599999999999994,?,50.0,100.0,0.0,2000.0,69544.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2100.0,3.057091894,3.690183832935575E-8,2100.0,57.99999999999999,0.0,-137.73584905660383,0.0,?,73.41772151898734,?,?,57.99999999999999,?,50.0,100.0,0.0,2100.0,69568.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2200.0,3.121332038,3.8062241374109354E-8,2200.0,56.59090909090909,0.0,-139.9497487437186,0.0,?,72.27866473149493,?,?,56.59090909090909,?,50.0,100.0,0.0,2200.0,69824.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2300.0,3.219979571,3.991133206779551E-8,2300.0,55.869565217391305,0.0,-149.38574938574936,0.0,?,71.68758716875871,?,?,55.869565217391305,?,50.0,100.0,0.0,2300.0,72456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2400.0,3.298109821,4.139297828592567E-8,2400.0,55.50000000000001,0.0,-147.79582366589327,0.0,?,71.38263665594855,?,?,55.50000000000001,?,50.0,100.0,0.0,2400.0,73304.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2500.0,3.387037527,4.3079569315473653E-8,2500.0,55.279999999999994,0.0,-143.5729847494554,0.0,?,71.20041215868109,?,?,55.279999999999994,?,50.0,100.0,0.0,2500.0,73312.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2600.0,3.474384134,4.474087353091894E-8,2600.0,53.15384615384615,0.0,-165.35947712418303,0.0,?,69.4123556002009,?,?,53.15384615384615,?,50.0,100.0,0.0,2600.0,73520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2700.0,3.533214289,4.5859804052133116E-8,2700.0,51.18518518518519,0.0,-187.14596949891057,0.0,?,67.71190592846644,?,?,51.18518518518519,?,50.0,100.0,0.0,2700.0,73520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2800.0,3.615201598,4.741917615292594E-8,2800.0,50.535714285714285,2.297987610639083,-201.74291938997823,-0.21707670043416166,60.82115544454096,66.61846228006749,4.548587181254306,74.97289483194795,49.945789663895916,100.0,51.163610719322996,100.0,2.32722143864598,2800.0,73520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2900.0,3.673590171,4.852970792731684E-8,2900.0,52.241379310344826,8.385096001197056,-201.74291938997828,-0.21707670043416083,63.03777325153208,66.61846228006749,16.1114476075106,74.97289483194795,49.945789663895916,100.0,54.38076416337287,100.0,8.761528326745719,2900.0,73520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,3.730285449,4.961108453711909E-8,3000.0,53.833333333333336,13.419678883903604,-201.74291938997814,-0.21707670043415359,64.8916724314456,66.61846228006749,25.175580767152887,74.97289483194795,49.945789663895916,100.0,57.200247218788626,100.0,14.400494437577255,3000.0,73728.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3100.0,3.785795106,5.067283418168417E-8,3100.0,55.32258064516129,17.653002198732924,-201.7429193899782,-0.2170767004341552,66.46515035148911,66.61846228006749,32.47196489517308,74.97289483194795,49.945789663895916,100.0,59.69150174621654,100.0,19.383003492433062,3100.0,73936.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
