learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.443885491,1.6076689156600173E-9,100.0,67.0,0.0,50.000000000000014,0.0,?,80.23952095808384,?,?,67.0,?,50.0,100.0,0.0,100.0,14000.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.548659252,2.0623831824854848E-9,200.0,66.5,0.0,49.62406015037594,0.0,?,79.87987987987988,?,?,66.5,?,50.0,100.0,0.0,200.0,16776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,0.610418718,2.3347627953377867E-9,300.0,66.66666666666666,0.0,49.99999999999999,0.0,?,80.0,?,?,66.66666666666666,?,50.0,100.0,0.0,300.0,17048.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,0.680977222,2.344400662053377E-9,400.0,66.75,0.0,49.999999999999986,0.0,?,80.0599700149925,?,?,66.75,?,50.0,100.0,0.0,400.0,528.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
500.0,0.766164609,2.718518394130386E-9,500.0,67.0,3.5313376987839358,50.30120481927711,0.6024096385542175,55.50610939418874,79.85347985347985,8.83977900552486,60.37800687285224,67.42268041237114,53.333333333333336,51.361734362600096,97.90419161676647,4.819277108433735,500.0,16976.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
600.0,0.827075726,3.0138816513162524E-9,600.0,68.5,10.426540284360238,52.63157894736842,5.500000000000027,60.1311579888867,80.45501551189244,18.88412017167382,67.63668430335098,68.60670194003528,66.66666666666666,54.125,97.25,11.0,600.0,18744.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
700.0,0.906926398,3.5924548374157815E-9,700.0,68.71428571428572,11.309358511524593,52.903225806451616,6.410256410256421,60.87071070377979,80.5678793256433,19.78021978021978,68.95729081810777,68.6838124054463,69.23076923076923,54.4816771211621,97.42489270386267,11.538461538461538,700.0,28008.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
800.0,0.956654266,4.029234925462968E-9,800.0,68.75,11.544347241510465,53.00751879699247,6.3670411985018704,60.73189639368621,80.55987558320373,20.382165605095544,68.43830352349467,68.79150066401063,68.08510638297872,54.585379907385935,97.18574108818011,11.985018726591761,800.0,33952.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
900.0,1.011512551,4.523907009783305E-9,900.0,69.11111111111111,12.761506276150635,53.511705685618736,7.3333333333333455,61.40246946212905,80.74792243767313,21.910112359550563,69.3593432633717,69.07582938388626,69.64285714285714,55.08333333333333,97.16666666666667,13.0,900.0,34856.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
1000.0,1.062593884,5.02532852265156E-9,1000.0,68.5,10.774983004758688,52.560240963855435,5.405405405405411,59.91848813569162,80.39825762289982,19.84732824427481,66.86170212765958,68.72340425531915,65.0,54.281642962302634,96.85157421289355,11.711711711711711,1000.0,37944.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
1100.0,1.1107248,5.5086460394619245E-9,1100.0,68.36363636363636,9.861542808703005,52.32876712328767,4.918032786885243,59.65058562727842,80.38331454340472,18.309859154929576,66.77884615384615,68.5576923076923,65.0,53.89735114128735,97.13896457765668,10.655737704918032,1100.0,38816.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
1200.0,1.155025607,5.9650549831241376E-9,1200.0,67.75,8.510638297872347,51.44291091593476,3.2500000000000075,58.14002282891339,79.95857068876231,17.48400852878465,63.83923422903932,68.25817860300619,59.42028985507246,53.37499999999999,96.5,10.25,1200.0,39824.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
1300.0,1.212285449,6.698839779719711E-9,1300.0,67.6923076923077,7.901883457086679,51.38888888888889,3.002309468822174,57.967109823808194,79.98093422306958,16.334661354581673,63.7881303052779,68.15597075548334,59.42028985507246,53.11964753297054,96.77047289504037,9.468822170900692,1300.0,49536.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
1400.0,1.259285966,7.3417139892466375E-9,1400.0,67.57142857142857,7.3407254713872865,51.23523093447905,2.7837259100642235,57.79631099773497,79.9469964664311,15.298507462686567,63.70713966833262,67.99398948159279,59.42028985507246,52.889185721728396,96.9989281886388,8.779443254817988,1400.0,52872.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
1500.0,1.294156779,7.823296619152858E-9,1500.0,67.53333333333333,6.883365200764854,51.20240480961924,2.600000000000013,57.66892659535746,79.96709173179761,14.411247803163446,63.67240907847962,67.9245283018868,59.42028985507246,52.7,97.2,8.200000000000001,1500.0,53384.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
