learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,11.899252762,8.164411764953724E-6,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,2652208.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,23.772513248,2.236358177873739E-5,200.0,97.0,0.0,-50.0,0.0,?,98.47715736040608,?,?,97.0,?,50.0,100.0,0.0,200.0,4622696.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,36.816154001,3.884287865462962E-5,300.0,98.0,0.0,-50.00000000000042,0.0,?,98.98989898989899,?,?,98.0,?,50.0,100.0,0.0,300.0,4883624.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,50.169201832,5.622179460870142E-5,400.0,98.5,0.0,-50.0,0.0,?,99.24433249370279,?,?,98.5,?,50.0,100.0,0.0,400.0,5030888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,63.711212717,7.486827137403437E-5,500.0,98.4,0.0,-33.33333333333333,0.0,?,99.19354838709677,?,?,98.4,?,50.0,100.0,0.0,500.0,5322504.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,77.407808071,9.421791130840598E-5,600.0,98.33333333333333,0.0,-25.00000000000063,0.0,?,99.15966386554621,?,?,98.33333333333333,?,50.0,100.0,0.0,600.0,5460880.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,91.247922933,1.1450197769903449E-4,700.0,96.85714285714285,0.0,-83.33333333333377,0.0,?,98.4034833091437,?,?,96.85714285714285,?,50.0,100.0,0.0,700.0,5665232.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,105.471536278,1.3685263825074243E-4,800.0,84.75,0.0,-838.461538461539,0.0,?,91.74560216508796,?,?,84.75,?,50.0,100.0,0.0,800.0,6074112.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,119.633310918,1.6012864007031876E-4,900.0,77.66666666666666,0.0,-617.8571428571435,0.0,?,87.4296435272045,?,?,77.66666666666666,?,50.0,100.0,0.0,900.0,6353208.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,133.867557463,1.8392787760071293E-4,1000.0,74.3,0.0,-301.56250000000034,0.0,?,85.25530694205393,?,?,74.3,?,50.0,100.0,0.0,1000.0,6462952.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,148.204212282,2.0826130679315732E-4,1100.0,70.45454545454545,0.0,-238.5416666666666,0.0,?,82.66666666666667,?,?,70.45454545454545,?,50.0,100.0,0.0,1100.0,6560816.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,162.541555239,2.3284669716638188E-4,1200.0,70.08333333333333,0.0,-206.83760683760676,0.0,?,82.41058304752573,?,?,70.08333333333333,?,50.0,100.0,0.0,1200.0,6628432.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,176.945446339,2.577715694090938E-4,1300.0,67.76923076923077,0.0,-235.20000000000005,0.0,?,80.7886290692343,?,?,67.76923076923077,?,50.0,100.0,0.0,1300.0,6688912.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,191.356610847,2.8291190031320615E-4,1400.0,65.85714285714286,0.0,-229.6551724137932,0.0,?,79.41429801894918,?,?,65.85714285714286,?,50.0,100.0,0.0,1400.0,6743328.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,205.82668017,3.082681019861303E-4,1500.0,64.33333333333333,0.0,-198.88268156424593,0.0,?,78.29614604462475,?,?,64.33333333333333,?,50.0,100.0,0.0,1500.0,6773544.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1600.0,220.374768349,3.33837765061468E-4,1600.0,62.875,0.0,-166.36771300448424,0.0,?,77.20644666155026,?,?,62.875,?,50.0,100.0,0.0,1600.0,6793936.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1700.0,234.915823602,3.5951210363619027E-4,1700.0,61.588235294117645,0.0,-172.08333333333326,0.0,?,76.22861303239898,?,?,61.588235294117645,?,50.0,100.0,0.0,1700.0,6825048.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
