learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.603348078,3.7373370541756356E-9,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,23944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,1.004542195,9.83100885756521E-9,200.0,97.0,0.0,-50.0,0.0,?,98.47715736040608,?,?,97.0,?,50.0,100.0,0.0,200.0,58712.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,1.316889789,1.4703846196517764E-8,300.0,98.0,0.0,-50.00000000000042,0.0,?,98.98989898989899,?,?,98.0,?,50.0,100.0,0.0,300.0,60304.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,1.589927614,1.8965684419371602E-8,400.0,98.5,0.0,-50.0,0.0,?,99.24433249370279,?,?,98.5,?,50.0,100.0,0.0,400.0,60336.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,1.788434606,2.2289719710149286E-8,500.0,98.4,0.0,-33.33333333333333,0.0,?,99.19354838709677,?,?,98.4,?,50.0,100.0,0.0,500.0,64728.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,2.019610508,2.627514964543076E-8,600.0,98.33333333333333,0.0,-25.00000000000063,0.0,?,99.15966386554621,?,?,98.33333333333333,?,50.0,100.0,0.0,600.0,66640.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,2.22269419,3.037100384397018E-8,700.0,96.85714285714285,0.0,-83.33333333333377,0.0,?,98.4034833091437,?,?,96.85714285714285,?,50.0,100.0,0.0,700.0,77960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,2.425240264,3.483580200422762E-8,800.0,84.75,0.0,-838.461538461539,0.0,?,91.74560216508796,?,?,84.75,?,50.0,100.0,0.0,800.0,85208.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,2.603609892,3.881639824095492E-8,900.0,77.66666666666666,0.0,-617.8571428571435,0.0,?,87.4296435272045,?,?,77.66666666666666,?,50.0,100.0,0.0,900.0,86264.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,2.784162942,4.2845720942461236E-8,1000.0,74.3,0.0,-301.56250000000034,0.0,?,85.25530694205393,?,?,74.3,?,50.0,100.0,0.0,1000.0,86264.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
