learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.408849509,1.0957736814911995E-9,100.0,67.0,0.0,50.000000000000014,0.0,?,80.23952095808384,?,?,67.0,?,50.0,100.0,0.0,100.0,10360.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.48635175,1.353374606207427E-9,200.0,66.5,0.0,49.62406015037594,0.0,?,79.87987987987988,?,?,66.5,?,50.0,100.0,0.0,200.0,12848.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,0.540124129,1.5361088835510115E-9,300.0,66.66666666666666,0.0,49.99999999999999,0.0,?,80.0,?,?,66.66666666666666,?,50.0,100.0,0.0,300.0,13136.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,0.591394913,1.543006053564863E-9,400.0,58.25,0.0,37.453183520599254,0.0,?,73.61769352290679,?,?,58.25,?,50.0,100.0,0.0,400.0,520.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
500.0,0.654278694,1.6532385576640566E-9,500.0,59.199999999999996,14.759907071584951,38.92215568862275,12.44635193133046,59.293704259152726,69.73293768545994,37.42331288343558,61.665477794510046,57.73955773955773,65.59139784946237,57.097619392068935,88.01498127340824,26.180257510729614,500.0,6776.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
600.0,0.719202402,1.771884157322347E-9,600.0,60.5,20.999999999999996,40.89775561097257,20.999999999999996,61.35573218998093,66.7601683029453,51.33470225872691,62.23601921508203,57.6271186440678,66.84491978609626,60.5,79.33333333333333,41.66666666666667,600.0,7064.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
700.0,0.799341588,1.9291161362454295E-9,700.0,56.714285714285715,12.603837025316464,35.25641025641026,9.009009009009022,56.372033441441715,61.401273885350314,50.73170731707317,56.48732566425736,57.655502392344495,55.319148936170215,56.257210889363485,65.66757493188011,46.846846846846844,700.0,7584.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
800.0,0.873729227,2.079990157853398E-9,800.0,54.25,7.872960336288871,31.588785046728972,0.27247956403269175,53.93648016814443,57.736720554272516,50.13623978201635,53.93648016814443,57.736720554272516,50.13623978201635,53.93648016814443,57.736720554272516,50.13623978201635,800.0,7840.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
900.0,0.927163231,2.192236288053294E-9,900.0,54.333333333333336,7.409261576971221,31.727574750830563,-2.7500000000000053,53.70486858976715,59.1044776119403,48.301886792452834,53.709738062413834,58.81188118811881,48.60759493670886,53.69999999999999,59.4,48.0,900.0,8120.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1000.0,0.966970076,2.275938913801478E-9,1000.0,52.6,4.04741757997062,29.14798206278027,-1.4989293361884382,52.0380051047432,57.82918149466192,45.890410958904106,52.06789702092098,54.99153976311336,49.1442542787286,52.00814749046848,60.97560975609756,43.0406852248394,1000.0,8128.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1100.0,1.011103285,2.3691953608290187E-9,1100.0,53.81818181818182,7.40219066399323,30.978260869565215,4.690431519699809,53.705938502963036,56.28227194492255,51.05973025048169,53.716615359014895,54.957983193277315,52.475247524752476,53.695265890387844,57.67195767195767,49.71857410881801,1100.0,8168.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1200.0,1.062424238,2.4871992680968507E-9,1200.0,55.166666666666664,10.333333333333329,33.00124533001245,10.333333333333329,55.167126003761915,55.463576158940405,54.865771812080546,55.16758534850641,55.098684210526315,55.23648648648649,55.16666666666667,55.833333333333336,54.50000000000001,1200.0,8888.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1300.0,1.103007797,2.5847979324724934E-9,1300.0,53.46153846153846,7.0502365993977465,30.459770114942526,4.423380726698256,53.53599106495231,52.84489477786438,54.06226271829916,53.53962557909926,55.032467532467535,52.046783625730995,53.5323570442267,50.82458770614693,56.24012638230648,1300.0,9296.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1400.0,1.139090036,2.671571454087065E-9,1400.0,52.35714285714286,5.17409459437503,28.815368196371395,0.0,52.616383049355406,50.99191770756797,53.648366921473254,52.62738853503185,55.254777070063696,50.0,52.605382165670235,47.33969986357435,57.87106446776612,1400.0,9296.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1500.0,1.170821373,2.7482099272414208E-9,1500.0,52.666666666666664,5.818889281924293,29.282868525896404,-1.4285714285714377,52.939769475757025,52.41286863270776,52.91777188328912,52.94203914611114,56.5028901734104,49.38118811881188,52.93749999999999,48.875,56.99999999999999,1500.0,9336.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
