learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,1.194298895,1.8693183203343715E-7,100.0,56.99999999999999,22.438672438672423,35.82089552238805,-30.303030303030333,63.9624395126571,56.565656565656575,57.42574257425742,64.06603346901855,84.84848484848484,43.28358208955223,63.85918003565062,42.42424242424242,85.29411764705883,100.0,605024.0
200.0,1.948888859,3.0512625367374885E-7,200.0,70.0,41.35470628482063,55.22388059701492,9.090909090909067,72.47851740079298,73.45132743362831,65.51724137931035,71.25916993267008,89.24731182795699,53.271028037383175,73.74032095163281,62.40601503759399,85.07462686567165,200.0,605464.0
300.0,2.301336118,3.6037523261149105E-7,300.0,78.33333333333333,55.17241379310344,67.5,34.34343434343433,78.43810341128514,82.1917808219178,72.3404255319149,76.93602693602693,90.9090909090909,62.96296296296296,80.0,75.0,85.0,300.0,605944.0
400.0,2.704219148,4.236855179894695E-7,400.0,61.75000000000001,21.839080459770123,42.4812030075188,7.27272727272728,60.93126140093369,66.66666666666666,55.13196480938416,60.857142857142854,68.0,53.714285714285715,61.00556070435589,65.38461538461539,56.62650602409639,400.0,607432.0
500.0,3.027734226,4.745330516007481E-7,500.0,57.199999999999996,14.283425458623716,35.73573573573573,7.758620689655156,57.14998874476092,59.00383141762452,55.23012552301255,57.13485394157662,60.3921568627451,53.87755102040816,57.16513156837215,57.67790262172284,56.65236051502146,500.0,607544.0
600.0,3.362944593,5.272277767546165E-7,600.0,56.99999999999999,13.99999999999999,35.33834586466164,13.712374581939782,57.04025207991148,54.577464788732385,59.17721518987341,57.08056105017083,57.83582089552238,56.325301204819276,57.00000000000001,51.66666666666667,62.33333333333333,600.0,607648.0
700.0,3.61783332,5.672965501764666E-7,700.0,55.42857142857143,11.6647791619479,32.90322580645161,6.02409638554217,56.01425406655947,51.702786377708975,58.62068965517242,56.13095238095238,59.64285714285714,52.61904761904762,55.898039985602566,45.62841530054645,66.1676646706587,700.0,607656.0
800.0,3.875031776,6.077273508045493E-7,800.0,56.375,14.305357756715617,34.398496240601496,4.38356164383562,57.492206633314225,53.15436241610738,59.18128654970759,57.652900378310214,63.46153846153846,51.84426229508197,57.33240618962816,45.72748267898383,68.93732970027247,800.0,607640.0
900.0,4.136175798,6.487773012563795E-7,900.0,59.111111111111114,20.0,38.46153846153847,7.537688442211055,60.49870674482315,57.20930232558139,60.851063829787236,60.64814814814815,68.33333333333333,52.96296296296297,60.349999999999994,49.2,71.5,900.0,607624.0
1000.0,4.433911652,6.955841524631284E-7,1000.0,56.599999999999994,14.433526285074356,34.63855421686746,6.465517241379293,57.50964005215508,53.232758620689665,59.51492537313433,57.66530967817594,62.69035532994924,52.64026402640264,57.354808635128826,46.254681647940075,68.45493562231759,1000.0,607688.0
1100.0,4.675816185,7.336137996495538E-7,1100.0,55.45454545454545,11.57004997358586,32.96853625170999,7.721280602636549,56.011474744489675,50.20325203252033,59.70394736842105,56.19024546102502,59.2326139088729,53.14787701317716,55.833837947659084,43.56261022927689,68.10506566604127,1100.0,607688.0
1200.0,4.926435755,7.730135318782742E-7,1200.0,55.166666666666664,10.333333333333329,32.496863237139266,10.0334448160535,55.35848514525799,48.36852207293666,60.382916053019144,55.55164221158323,57.01357466063348,54.089709762532976,55.166666666666664,42.0,68.33333333333333,1200.0,607688.0
1300.0,5.160422314,8.097959784551857E-7,1300.0,54.230769230769226,9.098387627509029,31.05446118192352,5.705229793977811,54.78362185715876,47.39168877099912,59.496255956432954,54.984868971733945,57.634408602150536,52.33532934131736,54.58384251759646,40.24024024024024,68.92744479495269,1300.0,607648.0
1400.0,5.462830475,8.573329788095527E-7,1400.0,55.07142857142857,11.348874293790995,32.365591397849464,5.271084337349402,56.01811203322664,48.90333062550772,59.91077119184195,56.27409861174186,60.44176706827309,52.106430155210646,55.76444383538109,41.06412005457026,70.4647676161919,1400.0,607632.0
1500.0,5.782094048,9.075235273360484E-7,1500.0,56.06666666666666,13.781072830353242,33.835341365461844,5.451936872309896,57.350710695216975,50.636704119850194,60.42042042042043,57.65096121253208,63.177570093457945,52.12435233160622,57.05357142857142,42.25,71.85714285714285,1500.0,607680.0
