learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,1.171818472,1.9670330117762087E-7,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,648864.0
200.0,1.747681759,2.9383104514812426E-7,200.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,200.0,651968.0
300.0,2.101811167,3.57484126565208E-7,300.0,97.0,-0.5961251862896784,-349.9999999999975,-800.00000000001,49.23857868020304,98.47715736040608,?,49.82876712328767,99.65753424657534,0.0,48.66220735785953,97.32441471571906,0.0,300.0,694800.0
400.0,2.458641228,4.2167950185983335E-7,400.0,92.75,-0.4851004851007406,-1349.9999999999989,-2800.0000000000623,48.119325551232166,96.23865110246433,?,49.865591397849464,99.73118279569893,0.0,46.49122807017544,92.98245614035088,0.0,400.0,695416.0
500.0,2.745043661,4.73337395530728E-7,500.0,93.0,4.684095860566594,-774.9999999999986,-1649.9999999999973,59.78299632613593,96.36552440290758,5.405405405405405,51.32104454685099,99.78494623655914,2.857142857142857,71.5863453815261,93.17269076305222,50.0,500.0,697208.0
600.0,3.008912627,5.209364291809996E-7,600.0,92.66666666666666,3.7339556592763827,-999.9999999999934,-2100.0000000000236,59.53321746089305,96.18717504332757,4.347826086956522,51.04643557880968,99.82014388489209,2.272727272727273,71.4046822742475,92.80936454849498,50.0,600.0,697288.0
700.0,3.220690213,5.591470834966004E-7,700.0,92.0,2.9126213592232526,-1300.0000000000098,-2699.999999999965,59.256230554473035,95.82712369597616,3.448275862068965,50.815217391304344,99.84472049689441,1.7857142857142856,71.06017191977078,92.12034383954155,50.0,700.0,697440.0
800.0,3.434097967,5.976545161532611E-7,800.0,91.0,2.2270505160237786,-1699.999999999998,-3500.0000000000755,58.95034867265744,95.28178243774575,2.7027027027027026,50.62576312576312,99.86263736263736,1.3888888888888888,70.5513784461153,91.10275689223057,50.0,800.0,697488.0
900.0,3.648742076,6.363854817315336E-7,900.0,90.55555555555556,1.8727552591071621,-2024.9999999999861,-4149.999999999973,58.80354603752364,95.0379451255108,2.298850574712644,50.52688560086611,99.87730061349693,1.1764705882352942,70.32293986636971,90.64587973273942,50.0,900.0,697496.0
1000.0,3.874368537,6.770985996689212E-7,1000.0,90.0,1.574803149606344,-2399.9999999999973,-4899.9999999999945,58.64874255215341,94.73129610115912,1.9607843137254901,50.44444444444445,99.8888888888889,1.0,70.04008016032064,90.08016032064128,50.0,1000.0,697504.0
1100.0,4.089708215,7.159978597553922E-7,1100.0,90.27272727272727,1.3113764421785623,-1683.3333333333221,-3466.666666666717,55.535910741935076,94.88283118125298,1.834862385321101,50.371094491477166,99.79879275653923,0.9433962264150944,61.880887268307504,90.42844120328168,33.33333333333333,1100.0,698264.0
1200.0,4.309129055,7.556343466435723E-7,1200.0,90.25,1.1991217699711576,-1849.9999999999989,-3800.0000000000846,55.5090634218725,94.87067075843927,1.680672268907563,50.338783560249404,99.81549815498155,0.8620689655172413,61.86299081035923,90.39264828738513,33.33333333333333,1200.0,698264.0
1300.0,4.526335083,7.948707467998005E-7,1300.0,90.6923076923077,1.1810528960925062,-1916.666666666683,-3933.333333333269,55.59173132798051,95.11505853855472,1.6260162601626014,50.33192090395481,99.83050847457628,0.8333333333333334,62.079157029041376,90.82498072474942,33.33333333333333,1300.0,698264.0
1400.0,4.744179519,8.34222920720571E-7,1400.0,91.0,1.1487811711963825,-1999.999999999974,-4100.000000000056,55.64523745484312,95.28443113772454,1.5625,50.32156862745097,99.84313725490196,0.8,62.22858506323073,91.12383679312813,33.33333333333333,1400.0,698272.0
1500.0,4.959197077,8.730644376020733E-7,1500.0,91.4,1.1403347434248012,-2049.9999999999973,-4199.9999999999945,55.72121982022129,95.50365981178109,1.5267175572519083,50.317738702623906,99.85422740524781,0.78125,62.4248496993988,91.51636606546425,33.33333333333333,1500.0,698272.0
1600.0,5.175349626,9.121114305420012E-7,1600.0,91.8125,1.1414017545515438,-2083.333333333316,-4266.666666666762,55.80123555065546,95.72872513857189,1.5037593984962405,50.316588173731034,99.8639455782313,0.7692307692307693,62.62784387393029,91.92235441452723,33.33333333333333,1600.0,698280.0
1700.0,5.381560414,9.493633422934221E-7,1700.0,92.17647058823529,1.1403186596008035,-2116.6666666666606,-4333.333333333461,55.87123133099689,95.92649310872893,1.4814814814814816,50.3150123685838,99.87244897959184,0.7575757575757576,62.80691416224711,92.28049499116088,33.33333333333333,1700.0,698296.0
1702.0,5.402058548,9.530663235304503E-7,1702.0,92.18566392479435,1.1407209426233178,-2116.6666666666833,-4333.333333333367,55.87307909339076,95.93147751605994,1.4814814814814816,50.315093611271955,99.87261146496816,0.7575757575757576,62.81145772022758,92.28958210712183,33.33333333333333,1702.0,698296.0
