learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,1.061644067,1.2649191944381844E-7,100.0,70.0,2.597402597402564,33.333333333333314,-15.384615384615397,51.624088407677505,81.70731707317074,16.666666666666668,52.22222222222223,74.44444444444444,30.0,51.03950103950103,90.54054054054053,11.538461538461538,100.0,460560.0
200.0,1.509490635,1.7987104885047923E-7,200.0,71.5,20.943134535367523,28.749999999999996,-3.636363636363639,60.83362943345971,81.43322475570032,38.70967741935483,62.264457439896034,77.1604938271605,47.368421052631575,59.46708463949844,86.20689655172413,32.72727272727273,200.0,460728.0
300.0,1.750687808,2.086239924854661E-7,300.0,71.33333333333334,23.718289870498484,27.118644067796616,-6.172839506172817,61.93739264934669,80.88888888888889,42.666666666666664,62.582345191040844,78.78787878787878,46.3768115942029,61.305597835278206,83.10502283105022,39.50617283950617,300.0,460800.0
400.0,1.965420997,2.342230722152028E-7,400.0,70.25,20.41730756369961,21.710526315789476,-16.66666666666666,60.215319446843715,80.19966722129783,40.201005025125625,60.38753359872069,79.53795379537954,41.23711340206185,60.04408474799315,80.87248322147651,39.21568627450981,400.0,460816.0
500.0,2.198036201,2.619558539532953E-7,500.0,69.8,23.576807838691373,23.73737373737373,-13.533834586466176,61.79267026472104,79.28669410150891,44.28044280442804,61.65625750660582,79.8342541436464,43.47826086956522,61.9296879801684,78.7465940054496,45.11278195488722,500.0,460848.0
600.0,2.438588696,2.90641902958312E-7,600.0,70.66666666666667,25.92592592592593,25.423728813559315,-12.820512820512816,62.988296116507414,79.86270022883294,46.0122699386503,62.64021887824897,81.16279069767441,44.11764705882353,63.340263340263334,78.6036036036036,48.07692307692308,600.0,460960.0
700.0,2.71111676,3.2314218841449257E-7,700.0,70.42857142857143,26.131729200652526,24.452554744525557,-11.89189189189191,63.09280088454441,79.56564659427443,46.51162790697674,62.73907511233051,80.92369477911646,44.554455445544555,63.45053791655734,78.25242718446603,48.64864864864865,700.0,460976.0
800.0,2.965927649,3.5353330684612407E-7,800.0,70.5,26.998832290643627,23.376623376623368,-14.009661835748794,63.58311381843674,79.51388888888889,47.32142857142858,62.95771197826588,81.9320214669052,43.983402489626556,64.22106540883577,77.23440134907251,51.20772946859904,800.0,461032.0
900.0,3.221741973,3.8404357484115706E-7,900.0,69.88888888888889,25.620288370050503,20.760233918128655,-17.316017316017295,62.91064215899149,79.07335907335907,46.336633663366335,62.24493365359949,81.78913738019169,42.700729927007295,63.59074408401762,76.5321375186846,50.649350649350644,900.0,461024.0
1000.0,3.530724262,4.209001549710934E-7,1000.0,69.39999999999999,24.81572481572479,16.393442622950804,-22.40000000000002,62.58225811632138,78.6908077994429,45.744680851063826,61.72215929137806,82.36151603498543,41.082802547770704,63.46666666666667,75.33333333333333,51.6,1000.0,461088.0
1100.0,3.781151895,4.5078144265385767E-7,1100.0,67.9090909090909,24.63706233988043,12.18905472636816,-26.978417266187076,62.68576593506388,77.03318152244631,46.757164404223225,61.52847152847153,82.7972027972028,40.25974025974026,63.887430201823946,72.01946472019465,55.75539568345324,1100.0,461232.0
1200.0,4.039946938,4.816643520912508E-7,1200.0,65.16666666666666,22.014925373134314,4.128440366972451,-39.33333333333336,61.67468872278644,74.32432432432434,45.854922279792746,60.30219780219781,83.1043956043956,37.5,63.111111111111114,67.22222222222223,59.0,1200.0,461280.0
1300.0,4.344336199,5.1799195738185E-7,1300.0,63.0,19.894131633426927,-1.9067796610169485,-51.25786163522016,60.87744035239348,72.18045112781954,44.776119402985074,59.39817134723342,83.53413654618474,35.2622061482821,62.43227145217691,63.543788187372705,61.32075471698113,1300.0,461328.0
1400.0,4.618355099,5.50694985105828E-7,1400.0,61.71428571428571,19.522108898255087,-5.098039215686274,-55.36231884057972,60.89782956532065,70.58177826564214,45.194274028629856,59.37311410040144,83.83311603650587,34.913112164297,62.50291915653548,60.947867298578196,64.05797101449275,1400.0,461328.0
1460.0,4.758126606,5.673767176446589E-7,1460.0,61.02739726027397,19.504745958474317,-6.554307116104866,-56.74931129476587,61.0185023287223,69.62092899092366,45.65425023877746,59.48106951226865,84.02061855670104,34.941520467836256,62.637521314077205,59.43482224247949,65.84022038567493,1460.0,461344.0
