learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,8.834744843,5.490975948325946E-5,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,2.4024696E7
200.0,18.917235526,1.217921309657548E-4,200.0,98.5,65.9863945578232,25.0,50.0,85.43335761107066,99.23273657289002,66.66666666666666,99.23857868020305,98.47715736040608,100.0,75.0,100.0,50.0,200.0,2.5641664E7
300.0,29.197955046,1.9002662775348666E-4,300.0,99.0,66.21621621621627,24.99999999999979,50.0,85.52821997105646,99.49238578680203,66.66666666666666,99.49494949494951,98.98989898989899,100.0,75.0,100.0,50.0,300.0,2.565564E7
400.0,39.553403554,2.587749847639307E-4,400.0,99.25,66.32996632996662,25.000000000000554,50.00000000000037,85.5751893256401,99.62073324905182,66.66666666666666,99.62216624685138,99.24433249370277,100.0,75.0,100.0,50.0,400.0,2.5662312E7
500.0,50.011863849,3.282216379449849E-4,500.0,99.0,54.145267791636165,16.666666666666664,37.5,81.31399955153599,99.49443882709808,54.54545454545454,99.49698189134809,98.99396378269618,100.0,68.75,100.0,37.5,500.0,2.566764E7
600.0,60.374184191,3.970471415874416E-4,600.0,98.83333333333333,45.7364341085271,12.49999999999948,29.999999999999932,78.60526717946105,99.41027801179445,46.15384615384615,99.41373534338358,98.82747068676717,100.0,65.0,100.0,30.0,600.0,2.5673976E7
700.0,70.915054944,4.670981107497295E-4,700.0,97.57142857142857,36.29550321199153,-41.66666666666656,22.727272727272968,75.69990402483103,98.76183539694101,37.03703703703704,98.77697841726618,97.55395683453237,100.0,61.36363636363637,100.0,22.727272727272727,700.0,2.5688576E7
800.0,81.78218387,5.394451154934033E-4,800.0,86.75,20.372596153846178,-715.3846153846158,13.11475409836067,70.40718044640491,92.74965800273597,23.188405797101453,93.23979591836735,86.4795918367347,100.0,56.557377049180324,100.0,13.114754098360656,800.0,2.5734048E7
900.0,92.76179272,6.125903240341311E-4,900.0,79.77777777777779,13.953415072335867,-550.0000000000003,9.452736318407993,67.97027766914351,88.48101265822785,17.272727272727273,89.67082860385925,79.3416572077185,100.0,54.72636815920397,100.0,9.45273631840796,900.0,2.5751432E7
1000.0,103.993907198,6.874455520875343E-4,1000.0,76.4,11.67862997088391,-268.7500000000003,8.17120622568094,66.97989131347276,86.29500580720094,15.107913669064748,87.94688457609806,75.89376915219613,100.0,54.08560311284047,100.0,8.171206225680933,1000.0,2.5761016E7
1100.0,115.251362691,7.624981566890987E-4,1100.0,72.36363636363636,8.870418313121647,-216.66666666666666,6.4615384615384475,65.73363227596722,83.60302049622437,12.138728323699423,85.91288229842446,71.82576459684893,100.0,53.230769230769226,100.0,6.461538461538462,1100.0,2.57708E7
1200.0,126.445082165,8.371468038312462E-4,1200.0,71.83333333333334,8.010940710601892,-188.88888888888874,5.8495821727019734,65.42788953290146,83.26732673267327,11.052631578947368,85.66581849024597,71.33163698049194,100.0,52.92479108635098,100.0,5.8495821727019495,1200.0,2.577804E7
1300.0,137.839416737,9.13147532227421E-4,1300.0,69.38461538461539,6.674218346975678,-218.39999999999998,5.011933174224353,64.74996593541354,81.57407407407408,9.545454545454545,84.44096950742768,68.88193901485535,100.0,52.50596658711218,100.0,5.011933174224343,1300.0,2.5782864E7
1400.0,148.827482649,9.864661742108678E-4,1400.0,67.5,6.242456712569109,-213.79310344827593,4.811715481171557,64.38951497624943,80.20878642888214,9.181636726546907,83.47857661583151,66.95715323166304,100.0,52.40585774058577,100.0,4.811715481171548,1400.0,2.5792624E7
1500.0,159.661414002,0.001058771028905526,1500.0,66.0,6.032354350149271,-184.9162011173185,4.6728971962616965,63.57804069380579,79.08121410992615,9.252669039145907,80.87048351814136,65.44467073998642,96.29629629629629,52.378093070553476,99.89637305699482,4.859813084112149,1500.0,2.5797864E7
1600.0,171.165541758,0.001135561867282684,1600.0,64.5,5.523860215232623,-154.70852017937213,4.377104377104374,63.24992680836191,77.96741660201705,8.681672025723472,80.17993456924755,63.93129770992366,96.42857142857143,52.22302548346286,99.90059642147118,4.545454545454546,1600.0,2.580228E7
