learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.348122211,2.0036429762654007E-9,100.0,92.0,0.0,-699.999999999999,-Infinity,?,?,95.83333333333334,50.0,0.0,100.0,?,?,92.0,100.0,22248.0
200.0,0.530350143,3.0524692346714438E-9,200.0,95.0,0.0,-900.0,-Infinity,?,?,97.43589743589743,50.0,0.0,100.0,?,?,95.0,200.0,22248.0
300.0,0.708090008,4.0754640935361385E-9,300.0,96.66666666666667,0.0,-900.00000000001,-Infinity,?,?,98.3050847457627,50.0,0.0,100.0,?,?,96.66666666666667,300.0,22248.0
400.0,0.900920406,5.1853136244043705E-9,400.0,97.5,0.0,-900.0000000000222,-Infinity,?,?,98.73417721518987,50.0,0.0,100.0,?,?,97.5,400.0,22248.0
500.0,1.121922118,6.4573052239045494E-9,500.0,98.0,0.0,-900.0,-Infinity,?,?,98.98989898989899,50.0,0.0,100.0,?,?,98.0,500.0,22248.0
600.0,1.323450379,7.617215944658964E-9,600.0,98.33333333333333,0.0,-899.9999999999801,-Infinity,?,?,99.15966386554621,50.0,0.0,100.0,?,?,98.33333333333333,600.0,22248.0
700.0,1.544522832,8.889614699184893E-9,700.0,98.57142857142858,0.0,-899.9999999999845,-Infinity,?,?,99.28057553956835,50.0,0.0,100.0,?,?,98.57142857142858,700.0,22248.0
800.0,1.697261096,9.768711005598306E-9,800.0,98.75,0.0,-900.0000000000177,-Infinity,?,?,99.37106918238993,50.0,0.0,100.0,?,?,98.75,800.0,22248.0
900.0,1.844084413,1.0613763399738817E-8,900.0,98.88888888888889,0.0,-900.00000000004,-Infinity,?,?,99.44134078212291,50.0,0.0,100.0,?,?,98.88888888888889,900.0,22248.0
1000.0,1.998596249,1.15030676301755E-8,1000.0,99.0,0.0,-900.0,-Infinity,?,?,99.49748743718592,50.0,0.0,100.0,?,?,99.0,1000.0,22248.0
1100.0,2.163997931,1.2455049169789998E-8,1100.0,99.0909090909091,0.0,-900.0000000000489,-Infinity,?,?,99.5433789954338,50.0,0.0,100.0,?,?,99.0909090909091,1100.0,22248.0
1200.0,2.335884846,1.3444356944672762E-8,1200.0,99.16666666666667,0.0,-899.9999999999734,-Infinity,?,?,99.581589958159,50.0,0.0,100.0,?,?,99.16666666666667,1200.0,22248.0
1300.0,2.534302145,1.4586362294945864E-8,1300.0,99.23076923076923,0.0,-900.000000000029,-Infinity,?,?,99.61389961389962,50.0,0.0,100.0,?,?,99.23076923076923,1300.0,22248.0
