learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,7.389157557,3.4504743972558174E-5,100.0,53.0,6.000000000000005,52.52525252525253,6.000000000000005,62.37290849411576,68.02721088435374,11.320754716981131,75.77319587628865,51.546391752577314,100.0,53.0,100.0,6.0,100.0,1.8050376E7
200.0,14.32104559,6.69070688325991E-5,200.0,48.0,-4.0000000000000036,47.73869346733668,-4.0000000000000036,45.85581036911057,63.12056737588653,11.864406779661017,43.894993894993895,48.9010989010989,38.88888888888889,48.0,89.0,7.000000000000001,200.0,1.8068704E7
300.0,21.191843329,9.904236249263559E-5,300.0,48.333333333333336,-3.3333333333333326,48.16053511705685,-3.3333333333333326,47.578228427449936,61.53846153846154,21.319796954314725,46.846354385669834,49.01185770750988,44.680851063829785,48.333333333333336,82.66666666666667,14.000000000000002,300.0,1.8079128E7
400.0,28.090939719,1.3133151458639882E-4,400.0,52.75,5.499999999999994,52.63157894736842,5.499999999999994,53.24169482961295,62.42544731610338,36.36363636363637,53.742642305467655,51.81518151815182,55.670103092783506,52.75000000000001,78.5,27.0,400.0,1.8091176E7
500.0,34.999521123,1.6368987984103842E-4,500.0,57.99999999999999,15.999999999999993,57.91583166332664,15.999999999999993,59.124347743764226,66.01941747572816,45.0261780104712,60.2931488801054,55.434782608695656,65.15151515151516,57.99999999999999,81.6,34.4,500.0,1.8105064E7
600.0,42.114911287,1.9703262194288438E-4,600.0,62.16666666666667,24.33333333333334,62.103505843071794,24.33333333333334,63.620005850243984,69.03137789904503,51.39186295503212,65.14292431303674,58.429561200923786,71.8562874251497,62.16666666666667,84.33333333333334,40.0,600.0,1.8113608E7
700.0,49.257849482,2.3051721199586218E-4,700.0,64.42857142857143,28.857142857142847,64.37768240343347,28.857142857142847,66.037271103304,70.74030552291423,54.644808743169406,67.72836237073592,60.079840319361274,75.37688442211056,64.42857142857143,86.0,42.857142857142854,700.0,1.8120512E7
800.0,56.551991485,2.647374090557769E-4,800.0,65.5,31.000000000000007,65.45682102628285,31.000000000000007,67.26014970289962,71.66324435318275,55.91054313099041,69.11751102340354,60.801393728223,77.43362831858407,65.5,87.25,43.75,800.0,1.8134712E7
900.0,63.78549754,2.98685919623085E-4,900.0,66.55555555555556,33.111111111111114,66.51835372636263,33.111111111111114,68.46189555477153,72.56153144940747,57.18349928876244,70.48066173460971,61.514683153013905,79.44664031620553,66.55555555555556,88.44444444444444,44.666666666666664,900.0,1.8141544E7
1000.0,71.22035404,3.33599940774899E-4,1000.0,68.4,36.80000000000001,68.36836836836837,36.80000000000001,70.31529516994634,73.88429752066116,60.0,72.34094220495386,62.95774647887325,81.72413793103448,68.39999999999999,89.4,47.4,1000.0,1.8152216E7
