learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,9.144747641,5.7368236260052575E-5,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,2.4249464E7
200.0,20.095808831,1.3064715938729775E-4,200.0,98.5,65.9863945578232,25.0,50.0,85.43335761107066,99.23273657289002,66.66666666666666,99.23857868020305,98.47715736040608,100.0,75.0,100.0,50.0,200.0,2.586576E7
300.0,31.678257523,2.0819417801057224E-4,300.0,99.0,66.21621621621627,24.99999999999979,50.0,85.52821997105646,99.49238578680203,66.66666666666666,99.49494949494951,98.98989898989899,100.0,75.0,100.0,50.0,300.0,2.5880168E7
400.0,43.355739631,2.863981053557829E-4,400.0,99.25,66.32996632996662,25.000000000000554,50.00000000000037,85.5751893256401,99.62073324905182,66.66666666666666,99.62216624685138,99.24433249370277,100.0,75.0,100.0,50.0,400.0,2.5887E7
500.0,55.141222771,3.653410708189095E-4,500.0,99.0,54.145267791636165,16.666666666666664,37.5,81.31399955153599,99.49443882709808,54.54545454545454,99.49698189134809,98.99396378269618,100.0,68.75,100.0,37.5,500.0,2.5892168E7
600.0,66.814245878,4.435503594732485E-4,600.0,98.66666666666667,42.3076923076929,0.0,20.0000000000004,74.320456725006,99.32546374367622,42.85714285714285,86.91275167785236,98.8255033557047,75.0,64.91525423728814,99.83050847457628,30.0,600.0,2.5898664E7
700.0,78.783233732,5.237876218532146E-4,700.0,97.28571428571429,28.800856531049252,-58.333333333333435,13.636363636363779,70.87789907651263,98.61616897305171,29.629629629629626,88.70503597122303,97.41007194244604,80.0,59.01716277822473,99.85250737463127,18.181818181818183,700.0,2.59132E7
800.0,90.970857071,6.056340869311297E-4,800.0,85.125,5.16039051603899,-815.3846153846164,2.459016393442571,63.48713214678303,91.92124915139172,6.299212598425196,82.57861635220127,85.15723270440252,80.0,51.56559794961072,99.85250737463127,3.278688524590164,800.0,2.595872E7
900.0,103.336938839,6.887348659557586E-4,900.0,78.0,2.8300343530181626,-607.1428571428576,1.4925373134328699,61.92635985458001,87.57841907151818,3.8834951456310676,78.99441340782123,77.98882681564245,80.0,50.92349411739585,99.85693848354794,1.9900497512437811,900.0,2.5976184E7
1000.0,115.71074055,7.719182028915017E-4,1000.0,74.6,2.0930501484022837,-296.87500000000034,1.1673151750972772,61.23979591706661,85.385500575374,3.053435114503817,77.28643216080403,74.57286432160805,80.0,50.7109153657221,99.86541049798116,1.556420233463035,1000.0,2.5985768E7
1100.0,128.202503493,8.559261050886851E-4,1100.0,70.72727272727273,1.5427380125086922,-235.41666666666666,0.9230769230769104,60.505619312376744,82.7807486631016,2.424242424242424,75.34246575342466,70.68493150684931,80.0,50.55086848635235,99.87096774193547,1.2307692307692308,1100.0,2.5995536E7
1200.0,140.807428326,9.407187936722595E-4,1200.0,70.33333333333334,1.3873179289490187,-204.27350427350413,0.8356545961002979,60.40425297575186,82.5147347740668,2.1978021978021975,75.14644351464435,70.29288702928869,80.0,50.497650031962216,99.88109393579072,1.1142061281337048,1200.0,2.6002824E7
1300.0,153.312032349,0.0010248521311471634,1300.0,68.0,1.135262609458715,-232.79999999999998,0.7159904534606317,59.96836205516228,80.88235294117648,1.886792452830189,73.97683397683397,67.95366795366795,80.0,50.42057327998396,99.88649262202043,0.9546539379474941,1300.0,2.600752E7
1400.0,166.051678683,0.0011105987278626414,1400.0,66.07142857142857,0.9561824193500471,-227.58620689655186,0.6276150627614976,59.60897590495039,79.4993526111351,1.6563146997929605,73.01075268817205,66.02150537634408,80.0,50.36418010691692,99.89154013015184,0.8368200836820083,1400.0,2.601728E7
1500.0,178.683232057,0.0011956349600016347,1500.0,64.53333333333333,0.826446280991717,-197.20670391061466,0.5607476635514024,59.32146413552957,78.3739837398374,1.4814814814814816,72.24080267558529,64.48160535117057,80.0,50.322018304198345,99.89637305699482,0.7476635514018692,1500.0,2.6022536E7
1600.0,191.475579182,0.0012817682248119366,1600.0,63.0625,0.7202402200617422,-165.02242152466366,0.5050505050504943,59.047649938081356,77.27797001153404,1.335559265442404,71.50470219435736,63.00940438871473,80.0,50.28699854743592,99.90059642147118,0.6734006734006733,1600.0,2.6026936E7
1700.0,204.276893204,0.0013679732841891143,1700.0,61.76470588235294,0.6357513465879275,-170.8333333333332,0.4594180704441198,58.805608225230266,76.2946754194019,1.21580547112462,70.85545722713864,61.71091445427729,80.0,50.25852322174783,99.90448901623687,0.6125574272588056,1700.0,2.6030384E7
1800.0,217.072554795,0.0014541770101481838,1800.0,61.38888888888889,0.9344314222362976,-144.71830985915489,0.7142857142857119,59.78608320749353,75.97649498790183,1.6973125884016973,73.50410325870449,61.29392080312326,85.71428571428571,50.383116883116884,99.90909090909092,0.8571428571428572,1800.0,2.604148E7
1900.0,230.053571555,0.0015416409898570231,1900.0,60.31578947368421,2.213206063518439,-149.66887417218544,1.8229166666666667,61.275811601147225,74.99999999999999,3.826530612244898,76.89092356687898,60.031847133757964,93.75,50.932392888692576,99.91166077738515,1.953125,1900.0,2.6044912E7
2000.0,242.848168781,0.0016278602648868892,2000.0,60.45,2.5439599432266204,-136.82634730538913,2.103960396039619,61.54737870154713,75.07091080995903,4.353083434099154,77.42899651956748,60.12115093387178,94.73684210526315,51.07191507741378,99.91610738255034,2.2277227722772275,2000.0,2.6048344E7
2100.0,255.910313915,0.0017159011789277293,2100.0,59.238095238095234,3.4383178413500555,-130.72776280323458,2.947845804988662,61.89843925597408,73.98176291793312,5.934065934065933,77.58204633204633,58.73552123552124,96.42857142857143,51.48956134177809,99.91789819376025,3.061224489795918,2100.0,2.605388E7
2200.0,268.744639887,0.0018024144979968083,2200.0,58.13636363636364,4.0370552798090475,-131.40703517587937,3.5602094240837796,62.04351664373174,72.98327955412144,7.063572149344097,77.35417950297803,57.48613678373382,97.22222222222221,51.79230009041401,99.91967871485944,3.664921465968586,2200.0,2.6056272E7
2300.0,281.794498433,0.0018903900727168105,2300.0,58.130434782608695,5.7120234304493565,-136.60933660933657,5.123152709359611,62.69888258094335,72.72727272727273,9.915809167446211,77.6582236733617,57.16829919857525,98.14814814814815,52.57192693258707,99.92217898832685,5.22167487684729,2300.0,2.6059056E7
2400.0,294.738235388,0.001977667909475748,2400.0,58.166666666666664,6.627234343321593,-132.9466357308585,5.99250936329587,63.03829336808954,72.61320240043644,11.46384479717813,77.75570616187582,57.026563838903165,98.48484848484848,53.005533623511155,99.92492492492492,6.086142322097379,2400.0,2.6064336E7
2500.0,307.752249427,0.0020654286108546397,2500.0,58.56,8.063961924991544,-125.70806100217867,7.334525939177112,63.58625896761433,72.72248551869406,13.810316139767053,77.98505991800694,57.16059602649006,98.80952380952381,53.67580623865752,99.92764109985528,7.4239713774597496,2500.0,2.6067008E7
2600.0,320.841610918,0.0021537103436585327,2600.0,57.769230769230774,10.418199025482565,-139.2156862745098,9.852216748768484,64.27701270866297,71.55440414507773,18.059701492537318,77.45537781658926,55.73042776432607,99.18032786885246,54.93097982743175,99.92764109985528,9.934318555008211,2600.0,2.6070824E7
2700.0,333.956717063,0.0022421808038949535,2700.0,57.333333333333336,12.85813223240521,-150.98039215686268,12.5948406676783,65.03268874303828,70.56719468574347,22.476446837146703,76.97331302189122,54.54186413902053,99.40476190476191,56.29917715083811,99.92764109985528,12.670713201820941,2700.0,2.6075272E7
2800.0,347.139547514,0.0023311198159268044,2800.0,57.464285714285715,15.833702660874527,-159.47712418300654,13.820549927641093,66.03145225850382,69.87098406273716,27.686703096539162,76.63891337542185,53.71450797355115,99.56331877729258,58.00331279252284,99.92764109985528,16.07898448519041,2800.0,2.6078704E7
2900.0,360.23784926,0.002419509991022167,2900.0,57.27586206896552,17.664684380144386,-169.93464052287584,10.34732272069465,66.61929256807825,69.03274181454636,31.1284046692607,76.18708887557257,52.73004963726613,99.644128113879,59.18648194650208,99.92764109985528,18.44532279314888,2900.0,2.6085032E7
3000.0,373.522758013,0.0025091722705311197,3000.0,57.3,19.501398828151505,-179.08496732026143,7.308248914616488,67.23537863527109,68.31560722235963,34.542667347981606,75.80139876884398,51.8977827884254,99.70501474926253,60.40881436945793,99.92764109985528,20.88998763906057,3000.0,2.6088768E7
3100.0,386.616946152,0.0025975584526465893,3100.0,57.774193548387096,21.77849777088284,-185.18518518518516,5.282199710564401,68.04783534116552,67.84573814787521,38.515735086895255,75.55703646196679,51.35738192636667,99.7566909975669,61.89630017740144,99.92764109985528,23.864959254947614,3100.0,2.6092048E7
3200.0,399.851115159,0.002686894330581453,3200.0,57.875,22.982651099411225,-191.1447084233262,2.881844380403448,68.46419422553551,67.29742843279962,40.8252853380158,75.25846831035663,50.731528895391364,99.78540772532189,62.79510277305953,99.92795389048992,25.662251655629138,3200.0,2.6093456E7
3300.0,412.842516027,0.002774599735614767,3300.0,58.69696969696969,24.575615213728405,-188.16067653276966,4.081632653061225,69.0813018632327,67.5707827742089,43.13725490196078,75.42468266767332,51.04241552839683,99.8069498069498,63.72213123380419,99.92962702322308,27.51463544438531,3300.0,2.6095928E7
3400.0,426.087109126,0.0028640178218847434,3400.0,59.55882352941176,26.705940785298417,-188.2599580712789,3.644008409250168,69.80825791559457,67.44020838266636,46.64338377958867,75.21660555760832,50.92989985693849,99.50331125827815,65.12549765208023,99.78976874562018,30.461226558540293,3400.0,2.6096912E7
3500.0,439.168715587,0.0029523388140542317,3500.0,60.25714285714285,27.772334719780094,-186.21399176954725,5.502717391304344,70.23626536282589,67.86786786786789,47.92212654436541,75.47550394627041,51.41757087854393,99.53343701399689,65.67719052825657,99.7961956521739,31.558185404339252,3500.0,2.609788E7
3600.0,452.334743832,0.003041235478227741,3600.0,60.97222222222223,28.887764140199927,-184.98985801217037,7.260726072607262,70.61602517582651,68.24858757062148,49.36936936936937,75.58269834155087,51.890034364261176,99.27536231884058,66.26184201153929,99.66996699669967,32.853717026378895,3600.0,2.6099552E7
3700.0,465.447951307,0.003129784073978096,3700.0,61.70270270270271,30.01258542685528,-185.11066398390346,9.224855861627173,71.06640763505214,68.71274011923163,50.64437478230581,75.87140795074603,52.42587601078167,99.31693989071039,66.8337686460442,99.67969250480462,33.98784478728378,3700.0,2.610208E7
3800.0,478.6233111,0.003218756778517989,3800.0,62.23684210526316,31.14290404454939,-177.02702702702712,9.463722397476342,71.5019350254443,68.77040261153428,52.24625623960066,75.92939147987721,52.49169435215947,99.36708860759494,67.56236158682913,99.6845425867508,35.44018058690745,3800.0,2.6103376E7
3900.0,491.886139044,0.0033083232264296118,3900.0,62.717948717948715,31.786407949182273,-171.77570093457956,11.178985949908352,71.76403600023882,69.18185671894871,52.82284231018819,76.17965719231542,52.96981499513145,99.38949938949939,67.83225730868496,99.69456322541234,35.96995139195758,3900.0,2.6104272E7
4000.0,505.095873208,0.003397536480185955,4000.0,63.275000000000006,33.194598812873934,-174.57943925233636,10.262675626145397,72.2955415404627,68.96260300021129,55.03520048974595,76.08004047472046,52.71317829457365,99.44690265486726,68.86971072823727,99.69456322541234,38.04485823106221,4000.0,2.610584E7
4100.0,518.426118622,0.0034875729711087954,4100.0,63.926829268292686,34.54477862946768,-175.4189944134078,10.200364298724963,72.81298291215407,68.9481419273567,56.96828629618853,76.09381685922122,52.695763799743254,99.49186991869918,69.80336581527496,99.69641772920461,39.91031390134529,4100.0,2.6108552E7
