learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.539689489,4.308836620953555E-8,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,308616.0
200.0,0.82326444,6.730807426700368E-8,200.0,98.5,65.9863945578232,25.0,50.0,85.43335761107066,99.23273657289002,66.66666666666666,99.23857868020305,98.47715736040608,100.0,75.0,100.0,50.0,200.0,330144.0
300.0,1.012319361,8.34655336574465E-8,300.0,98.33333333333333,53.703703703703745,-25.00000000000063,16.666666666666483,76.99997382110841,99.15110356536503,54.54545454545454,79.49152542372882,98.98305084745763,60.0,74.65986394557824,99.31972789115646,50.0,300.0,330360.0
400.0,1.134337422,9.38944877454266E-8,400.0,98.0,41.86046511627918,-100.0,-33.33333333333333,71.24038321962549,98.98218829516539,42.857142857142854,68.36734693877551,99.23469387755102,37.5,74.36548223350255,98.73096446700508,50.0,400.0,330384.0
500.0,1.242660122,1.031542365370815E-7,500.0,97.2,28.629690048939455,-133.33333333333331,-75.0,64.7798363811357,98.57142857142857,30.0,61.98770491803278,98.97540983606558,25.0,67.83536585365853,98.17073170731707,37.5,500.0,330432.0
600.0,1.337122502,1.1123287816518296E-7,600.0,97.16666666666667,35.68726355611614,-112.50000000000031,-69.9999999999994,68.78937391543445,98.55072463768116,37.03703703703704,64.27706588638887,99.14236706689536,29.411764705882355,73.98305084745762,97.96610169491525,50.0,600.0,330584.0
700.0,1.432632009,1.1942044388892128E-7,700.0,96.28571428571429,41.56177754944769,-116.66666666666687,-18.18181818181802,70.80949259457957,98.07976366322009,43.47826086956522,69.94575936883629,98.22485207100591,41.66666666666667,71.69482434969161,97.93510324483776,45.45454545454545,700.0,331368.0
800.0,1.542399169,1.2884751417239712E-7,800.0,95.625,82.6668317444596,-169.2307692307692,71.31147540983609,91.35943989444851,97.43213499633163,85.23206751054852,92.38019676293241,96.93430656934306,87.82608695652175,90.3609942453697,97.93510324483776,82.78688524590164,800.0,331976.0
900.0,1.64088023,1.3730754885075198E-7,900.0,94.88888888888889,84.83683111745962,-64.28571428571439,77.11442786069652,92.47910691348233,96.74681753889675,88.08290155440415,93.77811377811378,95.66433566433567,91.8918918918919,91.2155958405398,97.85407725321889,84.5771144278607,900.0,332064.0
1000.0,1.737841346,1.456380157149852E-7,1000.0,94.19999999999999,84.49720147757705,9.374999999999844,77.43190661478597,92.28810506229654,96.13848202396802,88.35341365461846,93.205735872162,95.12516469038208,91.28630705394191,91.38836664903562,97.1736204576043,85.60311284046692,1000.0,332104.0
1100.0,1.852782357,1.5551632748230254E-7,1100.0,89.36363636363637,72.72149215769394,-21.874999999999947,64.00000000000001,86.88696747655217,92.78223318938927,79.79274611398964,89.91688538932634,88.88888888888889,90.94488188976378,84.0545905707196,97.03225806451613,71.07692307692308,1100.0,332208.0
1200.0,1.951676905,1.6401659031433983E-7,1200.0,87.83333333333333,68.63194456877876,-24.78632478632478,59.33147632311977,85.06802724309264,91.77927927927927,76.6025641025641,88.67722732317627,87.16577540106952,90.18867924528303,81.74112924327386,96.90844233055887,66.57381615598887,1200.0,332248.0
1300.0,2.047255662,1.722326428829506E-7,1300.0,84.84615384615385,61.90189999583466,-57.59999999999999,52.98329355608593,82.26905657714308,89.65879265091863,71.6546762589928,86.8079144021739,83.3984375,90.21739130434783,78.18125421589157,96.93530079455165,59.427207637231504,1300.0,332280.0
1400.0,2.138632204,1.8009049435313377E-7,1400.0,83.71428571428572,60.56844685140531,-57.24137931034483,52.301255230125534,81.60427765108706,88.63409770687937,71.28463476070529,85.78401606800878,82.01107011070111,89.55696202531645,77.81292260775648,96.42082429501085,59.20502092050209,1400.0,332408.0
1500.0,2.232888101,1.8819653883420343E-7,1500.0,81.6,56.30191786027168,-54.1899441340783,48.41121495327101,79.71706591595374,87.03007518796993,68.348623853211,84.02448390150307,79.62166809974205,88.4272997032641,75.8297419011186,95.95854922279793,55.700934579439256,1500.0,332432.0
1600.0,2.324989298,1.961178501011907E-7,1600.0,80.1875,53.78520324669882,-42.152466367712975,46.63299663299663,78.74344888348578,85.90484659848823,66.66666666666666,83.25536167805818,77.71520514883346,88.79551820728291,74.69543011292514,96.02385685884693,53.36700336700336,1600.0,332456.0
1700.0,2.416707035,2.0400637109499215E-7,1700.0,79.41176470588235,52.96227020685532,-45.83333333333331,46.40122511485451,78.34275246692745,85.13169073916738,66.53919694072657,82.60686730873688,76.66411629686306,88.54961832061069,74.49725095108755,95.70200573065902,53.29249617151608,1700.0,332464.0
