learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.927508823,1.462718105825285E-7,100.0,48.0,9.847434119278773,22.388059701492537,-57.5757575757576,56.84935078479428,43.47826086956522,51.85185185185186,57.380457380457386,76.92307692307693,37.83783783783784,56.32798573975044,30.303030303030305,82.35294117647058,100.0,609600.0
200.0,1.461201644,2.3051128348502643E-7,200.0,57.49999999999999,23.57489660133068,36.56716417910447,-28.787878787878817,64.7678334227631,57.28643216080401,57.71144278606965,64.8236092265943,86.36363636363636,43.28358208955223,64.71215351812366,42.857142857142854,86.56716417910447,200.0,610136.0
300.0,1.787998489,2.8213162863573685E-7,300.0,66.66666666666666,36.170212765957444,49.99999999999999,-1.0101010101010337,70.2258726899384,69.6969696969697,62.962962962962955,69.23076923076923,88.46153846153845,50.0,71.24999999999999,57.49999999999999,85.0,300.0,610584.0
400.0,2.05898925,3.2504236616942E-7,400.0,56.75,14.874772425330903,34.96240601503759,-4.848484848484853,57.70426410470719,58.31325301204821,55.064935064935064,57.62632760665001,66.85082872928176,48.401826484018265,57.78241169807434,51.70940170940172,63.85542168674698,400.0,612088.0
500.0,2.330563056,3.6804542748149694E-7,500.0,51.800000000000004,4.121578612348815,27.627627627627632,-3.87931034482759,52.0834857594466,51.50905432595574,52.087475149105366,52.085346215781,55.65217391304348,48.51851851851852,52.08162543601615,47.940074906367045,56.22317596566524,500.0,612088.0
600.0,2.628594055,4.1524100592973126E-7,600.0,51.0,2.0000000000000018,26.31578947368421,1.6722408026755793,51.00439345219154,48.6013986013986,53.184713375796164,51.00878766140602,51.10294117647059,50.91463414634146,51.0,46.33333333333333,55.666666666666664,600.0,612128.0
700.0,2.889924391,4.566285285264481E-7,700.0,50.71428571428571,1.902641926364015,25.806451612903224,-3.91566265060241,50.962320721863954,49.189985272459495,52.14979195561721,50.966721978684234,53.35463258785943,48.57881136950905,50.95792022512352,45.62841530054645,56.287425149700596,700.0,612184.0
800.0,3.146116053,4.972022267905312E-7,800.0,53.25,7.246089269438946,29.69924812030074,-2.46575342465753,53.682226965629845,52.89672544080604,53.598014888337474,53.6872393187741,58.17174515235457,49.202733485193626,53.6772155483258,48.49884526558891,58.855585831062676,800.0,612184.0
900.0,3.352793061,5.299350240332323E-7,900.0,54.888888888888886,10.703812316715549,32.10702341137124,-2.0100502512562946,55.46496112006463,55.28634361233481,54.48430493273542,55.45492587278814,61.51960784313726,49.390243902439025,55.47500000000001,50.2,60.75000000000001,900.0,612200.0
1000.0,3.529062504,5.57853434424152E-7,1000.0,52.1,4.7827296942710555,27.86144578313253,-3.2327586206896584,52.42141204446611,51.56723963599595,52.6211671612265,52.42564774674867,56.043956043956044,48.80733944954129,52.41717702657086,47.752808988764045,57.08154506437768,1000.0,612232.0
1100.0,3.708918651,5.863391799499032E-7,1100.0,51.272727272727266,2.780388548664203,26.675786593707247,-0.9416195856873767,51.39850495105386,50.09310986964619,52.39786856127886,51.402124057461975,53.05719921104537,49.747048903878586,51.39488635423595,47.44268077601411,55.34709193245778,1100.0,612216.0
1200.0,3.884095844,6.140838693861415E-7,1200.0,52.5,5.000000000000004,28.481806775407787,4.682274247491636,52.5073896226257,50.60658578856153,54.25361155698235,52.514781325792725,52.707581227436826,52.32198142414861,52.5,48.66666666666667,56.333333333333336,1200.0,612216.0
1300.0,4.068522554,6.432954124099762E-7,1300.0,52.23076923076923,4.595218061320013,28.041714947856327,1.584786053882743,52.30526543565415,51.446442533229096,52.990158970476905,52.3083078661984,53.67047308319739,50.94614264919942,52.302223359005694,49.3993993993994,55.20504731861199,1300.0,612256.0
1400.0,4.250226202,6.720756467433854E-7,1400.0,52.714285714285715,5.587531197473634,28.817204301075268,0.30120481927711207,52.803373026085474,52.982954545454554,52.4425287356322,52.80204342273308,55.25925925925927,50.3448275862069,52.80470269640078,50.886766712141885,54.72263868065967,1400.0,612256.0
1500.0,4.438208189,7.018510919750524E-7,1500.0,53.333333333333336,6.7992188886916365,29.71887550200803,-0.4304160688665714,53.41281783190514,54.367666232073006,52.251023192360165,53.40599455040872,56.81198910081744,50.0,53.419642857142854,52.125,54.714285714285715,1500.0,612272.0
