learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.833012273,1.3983075701214375E-7,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,648864.0
200.0,1.267747294,2.1315516016114919E-7,200.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,200.0,651968.0
300.0,1.582360073,2.697587071481844E-7,300.0,80.0,-0.6598814450284848,-2899.99999999998,-5900.00000000006,44.44444444444445,88.8888888888889,?,49.79253112033195,99.5850622406639,0.0,40.13377926421405,80.2675585284281,0.0,300.0,695456.0
400.0,1.818650427,3.1230559879497937E-7,400.0,60.75000000000001,-0.4992958648060162,-7749.999999999993,-15600.000000000333,37.791601866251945,75.58320373250389,?,49.795081967213115,99.59016393442623,0.0,30.451127819548873,60.902255639097746,0.0,400.0,696024.0
500.0,2.023612533,3.492818820412457E-7,500.0,50.0,0.0,-6149.9999999999945,-12399.999999999989,50.0,66.57754010695187,0.7936507936507936,50.0,99.6,0.4,50.0,50.0,50.0,500.0,697352.0
600.0,2.156125819,3.731912935104428E-7,600.0,41.66666666666667,-0.09532888465205495,-8649.999999999945,-17400.00000000018,47.792350860947245,58.72641509433962,0.5681818181818181,49.94285714285714,99.6,0.2857142857142857,45.81939799331104,41.63879598662207,50.0,600.0,697448.0
700.0,2.295503689,3.9834476459289175E-7,700.0,35.714285714285715,-0.1271455816910378,-11150.000000000084,-22399.999999999727,46.10408868848362,52.531645569620245,0.4424778761061947,49.91111111111111,99.6,0.2222222222222222,42.836676217765046,35.673352435530084,50.0,700.0,697600.0
800.0,2.425366313,4.217820979136684E-7,800.0,31.25,-0.13654984069185772,-13649.999999999989,-27400.000000000586,44.76940926230301,47.519083969465655,0.36231884057971014,49.89090909090909,99.6,0.18181818181818182,40.6015037593985,31.203007518796994,50.0,800.0,697632.0
900.0,2.54857536,4.4401886264193597E-7,900.0,27.77777777777778,-0.13693940431359555,-16149.999999999894,-32399.99999999979,43.68718888856284,43.379790940766554,0.3067484662576688,49.87692307692308,99.6,0.15384615384615385,38.8641425389755,27.728285077951004,50.0,900.0,697640.0
1000.0,2.665195334,4.650666730504173E-7,1000.0,25.0,-0.13351134846461962,-18649.99999999998,-37399.99999999996,42.79176201372998,39.90384615384615,0.26595744680851063,49.86666666666667,99.6,0.13333333333333333,37.4749498997996,24.949899799599198,50.0,1000.0,697648.0
1100.0,2.785574413,4.868210868919186E-7,1100.0,22.818181818181817,-0.07501071581654799,-14049.999999999909,-28200.000000000393,47.155199514128476,36.971046770601326,0.4689331770222743,49.917647058823526,99.6,0.2352941176470588,44.68246733515648,22.69826800364631,66.66666666666666,1100.0,698552.0
1200.0,2.906807287,5.087302968754536E-7,1200.0,20.916666666666668,-0.07909306617453386,-15716.666666666655,-31533.33333333401,46.61646488190006,34.41603317208016,0.4197271773347324,49.90526315789474,99.6,0.21052631578947367,43.73433583959899,20.80200501253133,66.66666666666666,1200.0,698568.0
1300.0,3.024713235,5.300382646552142E-7,1300.0,19.30769230769231,-0.08072801996183504,-17383.333333333478,-34866.66666666612,46.152688612128316,32.191338073691014,0.3798670465337133,49.89523809523809,99.6,0.19047619047619047,42.93240812130558,19.198149575944488,66.66666666666666,1300.0,698568.0
1400.0,3.14797069,5.523136120948072E-7,1400.0,17.92857142857143,-0.08088098052634951,-19049.99999999977,-38200.00000000053,45.749212855980396,30.236794171220403,0.34692107545533396,49.88695652173913,99.6,0.17391304347826086,42.24528752087807,17.823908375089477,66.66666666666666,1400.0,698576.0
1500.0,3.273204682,5.749461634731169E-7,1500.0,16.733333333333334,-0.08012820512820631,-20716.66666666665,-41533.3333333333,45.39497633782308,28.506010303377217,0.3192338387869114,49.88,99.6,0.16,41.649966599866396,16.63326653306613,66.66666666666666,1500.0,698576.0
1600.0,3.39089389,5.962154491316652E-7,1600.0,15.687499999999998,-0.07882412945704494,-22383.333333333147,-44866.666666667625,45.081472161366904,26.962642122360585,0.2956393200295639,49.87407407407407,99.6,0.14814814814814814,41.129200584429135,15.59173450219161,66.66666666666666,1600.0,698584.0
1700.0,3.50568526,6.169610253927112E-7,1700.0,14.76470588235294,-0.07719184204111534,-24049.999999999935,-48200.00000000138,44.80204920542628,25.577812018489986,0.2752924982794218,49.86896551724138,99.6,0.13793103448275862,40.669809467688076,14.672952268709489,66.66666666666666,1700.0,698584.0
1702.0,3.524653165,6.203889844778739E-7,1702.0,14.747356051703878,-0.07715692925147315,-24083.333333333518,-48266.666666667035,44.79677020618214,25.551564905079527,0.27491408934707906,49.86887052341598,99.6,0.13774104683195593,40.661173239160284,14.655679811653913,66.66666666666666,1702.0,698584.0
