learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,6.9635587,4.3684866591754265E-5,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,2.4249464E7
200.0,14.366329573,9.322209302790763E-5,200.0,96.0,53.703703703703674,-100.0,-33.33333333333333,79.05462887005133,97.90575916230367,55.55555555555556,70.56737588652481,99.46808510638297,41.66666666666667,89.86254295532646,96.3917525773196,83.33333333333334,200.0,2.5866624E7
300.0,21.933899623,1.4388950108414165E-4,300.0,96.33333333333334,46.078431372549126,-175.0000000000002,-83.33333333333296,76.46753702453555,98.10017271157167,47.61904761904761,66.49122807017544,99.64912280701755,33.33333333333333,89.96598639455782,96.5986394557823,83.33333333333334,300.0,2.5880616E7
400.0,29.442231572,1.9417346759163077E-4,400.0,96.5,40.32395566922425,-250.0,-133.33333333333331,74.64544590985788,98.1958762886598,41.66666666666667,63.75799883653287,99.73821989528795,27.77777777777778,90.01692047377327,96.7005076142132,83.33333333333334,400.0,2.58874E7
500.0,37.021054843,2.449398729649655E-4,500.0,91.60000000000001,20.04264392324092,-599.9999999999991,-424.9999999999993,67.23387913121617,95.56025369978859,22.222222222222218,56.30147481325416,99.55947136563876,13.043478260869565,83.4349593495935,91.869918699187,75.0,500.0,2.589268E7
600.0,44.537323504,2.952995481215491E-4,600.0,92.0,20.353982300884997,-500.0000000000008,-379.99999999999824,66.60026936883618,95.78207381370825,22.58064516129032,56.457046603032005,99.45255474452554,13.461538461538462,81.1864406779661,92.37288135593221,70.0,600.0,2.5899E7
700.0,52.045066945,3.45630398361627E-4,700.0,92.28571428571428,35.60038162736813,-350.0000000000007,-145.45454545454524,72.03176161974629,95.8841463414634,38.63636363636363,62.484466112226364,99.21135646687698,25.757575757575758,85.02279431482971,92.77286135693215,77.27272727272727,700.0,2.5913568E7
800.0,59.441661923,3.953034726743465E-4,800.0,92.125,72.74084330311752,-384.6153846153849,48.36065573770492,86.82253245400686,95.23088569265707,77.41935483870968,83.30625749125812,97.82270606531883,68.78980891719745,90.6487257604333,92.77286135693215,88.52459016393442,800.0,2.5959216E7
900.0,66.973797207,4.459207580992024E-4,900.0,92.11111111111111,78.29808044993275,-153.57142857142878,64.6766169154229,89.28747016437093,94.82129832239242,83.44988344988346,87.61748120300751,96.72619047619048,78.50877192982456,91.02235603100378,92.98998569384835,89.05472636815921,900.0,2.5976648E7
1000.0,74.835550607,4.987726280772101E-4,1000.0,92.30000000000001,80.36255317412551,-20.312500000000036,70.0389105058366,90.24038039815073,94.74402730375427,85.60747663551402,89.24799218796709,96.1218836565097,82.37410071942446,91.25508638341773,93.40511440107672,89.10505836575877,1000.0,2.5986232E7
1100.0,82.803756937,5.523603460999083E-4,1100.0,87.90909090909092,70.0204918032787,-38.54166666666659,59.076923076923094,85.12344765591854,91.60883280757098,78.3739837398374,86.36653895274584,89.62962962962962,83.10344827586206,83.91563275434244,93.6774193548387,74.15384615384616,1100.0,2.5996032E7
1200.0,90.855522591,6.065251308558465E-4,1200.0,86.66666666666667,66.6598365637405,-36.75213675213668,55.43175487465183,83.58592705074162,90.80459770114942,75.75757575757575,85.46594776773011,87.87541713014461,83.05647840531562,81.78683686684177,93.935790725327,69.63788300835655,1200.0,2.6003288E7
1300.0,98.864899343,6.604147580145432E-4,1300.0,83.6923076923077,59.96408970600624,-69.60000000000007,49.403341288782805,80.65639284872013,88.66310160427808,70.95890410958904,83.55089261620591,83.82204246713853,83.27974276527331,77.95572941358134,94.09761634506243,61.813842482100235,1300.0,2.6008112E7
1400.0,106.988325553,7.1509229071786E-4,1400.0,81.92857142857143,56.6490260105844,-74.48275862068971,47.071129707112966,79.2857949585465,87.28004022121671,68.8039457459926,82.56668102028927,81.34957825679476,83.78378378378379,76.25568393250984,94.14316702819957,58.36820083682008,1400.0,2.6017888E7
1500.0,115.652091458,7.734185472124425E-4,1500.0,79.80000000000001,52.13572602047265,-69.27374301675981,43.36448598130843,77.44118335397923,85.72774375883185,65.4503990877993,81.25094688361665,78.58376511226253,83.91812865497076,73.97268897389957,94.30051813471503,53.64485981308411,1500.0,2.6023144E7
1600.0,124.656710087,8.340465388601823E-4,1600.0,77.8125,48.128422336924146,-59.19282511210763,40.23569023569022,75.84014121047959,84.2572062084257,62.43386243386243,80.05321636226358,76.06084867894315,84.04558404558404,72.04834963284267,94.43339960238568,49.66329966329967,1600.0,2.6026168E7
1700.0,133.563368124,8.940261519857497E-4,1700.0,76.47058823529412,45.837707469458024,-66.66666666666664,38.74425727411944,74.94202337151242,83.17914213624896,60.861056751467714,79.29343831379711,74.30503380916605,84.28184281842819,71.04335145555521,94.4603629417383,47.626339969372125,1700.0,2.6031024E7
1800.0,142.606055692,9.549478535196679E-4,1800.0,75.83333333333333,44.59382960656665,-53.16901408450705,37.85714285714284,74.50001079753491,82.71752085816448,59.83379501385042,79.03018365207265,73.46506704304869,84.59530026109661,70.46103896103897,94.63636363636364,46.285714285714285,1800.0,2.6042152E7
1900.0,151.637562247,0.0010158021711443573,1900.0,74.63157894736842,42.98542698050623,-59.6026490066225,37.23958333333335,73.95231485019139,81.65905631659056,58.873720136518756,78.56031926722085,71.72459893048129,85.39603960396039,69.85493043286219,94.78798586572438,44.921875,1900.0,2.6045552E7
2000.0,160.775447111,0.001077381379296979,2000.0,74.55000000000001,42.73383496543781,-52.395209580838255,37.00495049504952,73.87969834409746,81.63118007939372,58.58421480878763,78.56915062451205,71.62761241291958,85.5106888361045,69.71850289055752,94.88255033557047,44.554455445544555,2000.0,2.6048984E7
2100.0,169.751259048,0.0011378813620159208,2100.0,73.38095238095238,41.35543432647923,-50.67385444743938,36.62131519274377,73.41776494735,80.54298642533936,57.87490580256217,78.10075019518654,69.90936555891238,86.29213483146067,69.26460239268121,94.99178981937602,43.53741496598639,2100.0,2.6054568E7
2200.0,178.662354535,0.0011979505746815688,2200.0,71.5909090909091,38.43026275724956,-57.035175879396974,34.554973821989535,72.23758212490206,79.08999665439946,55.705173635719355,76.97971994205697,67.77522935779817,86.18421052631578,68.04579574843879,94.93975903614458,41.15183246073298,2200.0,2.6056928E7
2300.0,187.579798375,0.0012580690037976906,2300.0,70.82608695652173,37.29991061997238,-64.86486486486484,33.89162561576355,71.85566500791944,78.45906902086676,54.8148148148148,76.68585048250203,66.77595628415301,86.59574468085106,67.59789921603956,95.09727626459143,40.09852216748768,2300.0,2.6059712E7
2400.0,196.652321636,0.0013192453191144603,2400.0,70.375,36.606720935831014,-64.96519721577728,33.42696629213482,71.58968666022344,78.08936825885978,54.276527331189705,76.44201405921443,66.23105070569785,86.652977412731,67.31661436717616,95.12012012012012,39.51310861423221,2400.0,2.6064992E7
2500.0,205.790176484,0.0013808684839443708,2500.0,69.84,35.5879707716322,-64.27015250544662,32.558139534883736,71.18322795269772,77.71867612293144,53.34158415841584,76.11525021163575,65.68431568431569,86.54618473895582,66.8514687950625,95.1519536903039,38.55098389982111,2500.0,2.6067664E7
2600.0,214.874530991,0.0014421398629714292,2600.0,68.07692307692308,33.64916086788621,-80.82788671023964,31.855500821018072,70.45444604876906,76.01156069364161,52.29885057471264,75.22337644139111,63.28200192492781,87.16475095785441,66.25413776469217,95.1519536903039,37.35632183908046,2600.0,2.6071496E7
2700.0,224.0262784,0.0015038763945775663,2700.0,67.03703703703704,33.14912946423603,-93.8997821350762,32.47344461305007,70.32110265783282,74.7159090909091,52.659574468085104,74.79218613198219,61.50608044901777,88.07829181494662,66.35442904545545,95.1519536903039,37.55690440060698,2700.0,2.6075976E7
