learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.458830095,3.7192880964248135E-8,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,313336.0
200.0,0.71171559,5.909814569394415E-8,200.0,91.5,33.954933954934,-324.9999999999995,-183.33333333333297,72.33265107225915,95.44235924932975,37.03703703703704,61.62543229582336,99.4413407821229,23.809523809523807,87.54295532646049,91.75257731958763,83.33333333333334,200.0,334832.0
300.0,0.810061804,6.762210887070539E-8,300.0,77.33333333333333,9.478168264110733,-1600.0000000000032,-1033.3333333333323,64.02881046949223,86.97318007662834,12.820512820512823,53.25292397660819,99.56140350877193,6.944444444444445,80.27210884353741,77.21088435374149,83.33333333333334,300.0,335032.0
400.0,0.924167134,7.751361526358667E-8,400.0,70.25,5.035511930412572,-2874.9999999999973,-1883.3333333333314,61.87197002068754,82.26527570789865,7.751937984496124,51.852014910040786,99.63898916967509,4.0650406504065035,76.69204737732656,70.05076142131979,83.33333333333334,400.0,335088.0
500.0,1.058688931,8.917553106078051E-8,500.0,64.60000000000001,2.356679465113229,-2849.9999999999973,-2112.4999999999977,56.550762410559955,78.22878228782287,5.3475935828877,50.929358325066566,99.06542056074767,2.793296089385475,63.56707317073172,64.63414634146342,62.5,500.0,335104.0
600.0,1.138974656,9.614610065456067E-8,600.0,60.83333333333333,2.503111602821196,-2837.500000000006,-2249.9999999999927,57.31668892651511,75.28916929547844,5.622489959839357,51.048922681069556,99.16897506925207,2.928870292887029,65.33898305084746,60.67796610169491,70.0,600.0,335608.0
700.0,1.217390436,1.029747663362821E-7,700.0,59.42857142857143,4.544232320516296,-2266.666666666669,-1190.909090909089,58.104757536702365,73.80073800738008,10.126582278481013,51.98217217921651,98.52216748768473,5.442176870748299,65.86216143738268,58.99705014749262,72.72727272727273,700.0,336616.0
800.0,1.288273001,1.0916120826570318E-7,800.0,60.875,16.683303387236318,-2307.6923076923094,-156.5573770491804,61.31040103244325,71.87780772686433,35.728952772073924,57.894819713430955,91.95402298850574,23.835616438356162,65.15426277866435,58.99705014749262,71.31147540983606,800.0,337368.0
900.0,1.387011358,1.1777944275299088E-7,900.0,63.77777777777778,26.37870552987759,-1064.2857142857151,-62.18905472636812,65.72352622938126,71.9449225473322,48.90282131661443,62.989359020614735,90.28077753779698,35.6979405034325,68.70582708773728,59.7997138769671,77.61194029850746,900.0,337392.0
1000.0,1.500289175,1.2766040305748582E-7,1000.0,66.10000000000001,31.66865546489503,-429.68750000000034,-31.906614785992204,68.05599152150008,72.90167865707436,54.73965287049399,65.71522309711287,89.76377952755905,41.66666666666667,70.56967494278636,61.37281292059219,79.76653696498055,1000.0,337176.0
1100.0,1.592193013,1.3567296662631134E-7,1100.0,63.18181818181819,24.10562180579217,-321.87499999999994,-24.615384615384627,62.87971993926049,70.32967032967034,51.49700598802396,61.75639747424394,81.35593220338984,42.15686274509804,64.04466501240695,61.935483870967744,66.15384615384615,1100.0,337008.0
1200.0,1.690032555,1.4419877758804708E-7,1200.0,62.5,21.697596116200764,-284.61538461538447,-25.348189415041773,61.43423945193152,70.07978723404256,49.77678571428571,60.507090674688435,79.48717948717949,41.527001862197395,62.3902437408709,62.66349583828775,62.116991643454035,1200.0,336840.0
1300.0,1.788878903,1.528115040867486E-7,1300.0,61.0,17.48873309964947,-305.6,-21.00238663484488,58.95974247030238,68.91477621091354,47.6780185758514,58.46666666666667,74.93333333333332,42.0,59.46120567049269,63.7911464245176,55.131264916467785,1300.0,336808.0
1400.0,1.877155279,1.6050324281223532E-7,1400.0,60.07142857142858,15.51114354684782,-285.5172413793104,-16.94560669456066,57.851640702660156,67.92885829030408,47.11447492904446,57.55618385262507,72.10718635809987,43.005181347150256,58.150146579656735,64.20824295010846,52.09205020920502,1400.0,336808.0
1500.0,1.969333383,1.6853781032245607E-7,1500.0,59.199999999999996,13.12001362823315,-241.89944134078226,-14.392523364485982,56.58183324806969,67.34258271077908,45.648312611012436,56.45127964573107,69.41694169416942,43.48561759729272,56.71299210691976,65.38860103626943,48.03738317757009,1500.0,336928.0
1600.0,2.067070279,1.7705710395695021E-7,1600.0,58.6875,11.841688478402228,-196.41255605381158,-11.27946127946128,55.9215130799643,66.96651674162918,44.87072560467056,55.8997466672204,67.33668341708542,44.46280991735537,55.9432964502547,66.6003976143141,45.28619528619529,1600.0,336936.0
1700.0,2.169426322,1.859792400747041E-7,1700.0,59.29411764705882,13.768206240883133,-188.33333333333326,-5.972434915773355,56.88445972024344,67.07897240723119,46.68721109399075,56.90069436790477,66.82464454976304,46.97674418604651,56.868234333931554,67.3352435530086,46.40122511485452,1700.0,336944.0
1800.0,2.260290659,1.9389910698253868E-7,1800.0,60.72222222222222,17.126855952070848,-148.94366197183095,-1.0000000000000138,58.564166185567814,68.02351876978743,49.100071994240466,58.5893930467067,67.68676867686769,49.49201741654572,58.538961038961034,68.36363636363636,48.714285714285715,1800.0,336920.0
1900.0,2.343247705,2.0113010635788449E-7,1900.0,62.421052631578945,21.683408382403865,-136.4238410596027,7.031249999999989,60.843872928997285,68.71165644171779,52.96442687747035,60.88695652173913,68.17391304347827,53.6,60.80085026501767,69.25795053003534,52.34375,1900.0,336936.0
2000.0,2.428334388,2.0854356706045153E-7,2000.0,63.800000000000004,24.618511361364696,-116.76646706586821,10.396039603960405,62.31059492890968,69.80817347789824,54.80649188514358,62.346328809353736,69.40298507462687,55.2896725440806,62.27490198684298,70.21812080536914,54.331683168316836,2000.0,336792.0
2100.0,2.51468388,2.1607009226373913E-7,2100.0,65.28571428571428,28.624578992715588,-96.49595687331542,17.3469387755102,64.31313220142296,70.20841847159788,58.414147176269246,64.33861549111175,69.89422294548413,58.78300803673938,64.28766909062476,70.52545155993431,58.049886621315196,2100.0,336928.0
2200.0,2.600516833,2.2355159411237885E-7,2200.0,66.5909090909091,31.942152934442237,-84.67336683417086,23.036649214659683,65.9714151236924,70.56467761313576,61.376773515501846,65.98539383400062,70.36741214057508,61.60337552742617,65.95744233478416,70.76305220883535,61.15183246073298,2200.0,336928.0
2300.0,2.687142139,2.3110233951350053E-7,2300.0,67.6086956521739,34.25091707212255,-83.04668304668303,26.600985221674872,67.12600266676279,71.11283443195036,63.13706086095991,67.14250816584266,70.86553323029366,63.41948310139165,67.10950528071152,71.36186770428016,62.857142857142854,2300.0,336936.0
2400.0,2.775152364,2.3877343789535055E-7,2400.0,68.33333333333333,35.92661911747349,-76.33410672853829,28.83895131086142,67.9635406346456,71.40707298720842,64.51914098972922,67.95377368824624,71.56862745098039,64.3389199255121,67.97331038904073,71.24624624624624,64.70037453183521,2400.0,336920.0
2500.0,2.864105459,2.4652690228664004E-7,2500.0,69.24,37.8658561810303,-67.53812636165578,31.216457960644018,68.93432498482093,72.0261913423063,65.83740559751222,68.91147467315251,72.42136064374543,65.40158870255958,68.95719045535624,71.63531114327061,66.27906976744185,2500.0,336928.0
2600.0,2.953159534,2.5428935275645306E-7,2600.0,70.15384615384616,40.092592812536374,-69.06318082788671,36.288998357963884,70.04667932113274,71.8432510885341,68.24877250409165,70.03925144432492,72.0524017467249,68.02610114192495,70.05410877360576,71.63531114327061,68.4729064039409,2600.0,336936.0
2700.0,3.040497369,2.619025676738616E-7,2700.0,71.03703703703704,42.04354557132975,-70.37037037037037,40.667678300455215,71.02179588415478,71.68718320057928,70.35633055344958,71.02108036890645,71.73913043478261,70.3030303030303,71.02251141382044,71.63531114327061,70.40971168437025,2700.0,336952.0
2800.0,3.127787498,2.695116240724466E-7,2800.0,71.92857142857143,43.84889208210186,-71.24183006535947,43.12590448625181,71.92446842083298,71.58351409978309,72.2653493295695,71.92408804415271,71.53179190751445,72.31638418079096,71.92484880153658,71.63531114327061,72.21438645980254,2800.0,336952.0
2900.0,3.215871437,2.7718969437012244E-7,2900.0,72.79310344827586,45.4751083777838,-71.89542483660132,42.90882778581766,72.7376900281467,71.50595882990251,73.96898713295941,72.73414116827436,71.37707281903388,74.09120951751487,72.74123923434941,71.63531114327061,73.8471673254282,2900.0,336944.0
3000.0,3.304761847,2.84938246820805E-7,3000.0,73.53333333333333,46.76514444480201,-72.98474945533769,42.54703328509405,73.38309887127689,71.37707281903388,75.38747675139493,73.37129010121805,71.12068965517241,75.62189054726367,73.39491144308154,71.63531114327061,75.15451174289247,3000.0,336952.0
3100.0,3.393417541,2.92663219943059E-7,3100.0,74.35483870967742,48.140332743577346,-73.20261437908498,42.474674384949346,74.07078844896188,71.35135135135135,76.78832116788323,74.05268454583572,71.06963388370423,77.03573520796719,74.08890120609398,71.63531114327061,76.54249126891735,3100.0,336816.0
3200.0,3.482216704,3.004010617291555E-7,3200.0,75.03125,49.208649786012046,-72.57019438444925,42.43515850144093,74.60472988127435,71.31059245960503,77.89764868603044,74.5864781952929,71.08088761632068,78.09206877426512,74.62299050200075,71.54178674351584,77.70419426048565,3200.0,336832.0
3300.0,3.571939809,3.082190432179719E-7,3300.0,75.33333333333333,49.68911084465431,-72.093023255814,42.71639690358902,74.84457452806983,71.33802816901408,78.35106382978724,74.84885575460851,71.38830162085976,78.30940988835727,74.84029379126079,71.2878254750176,78.39276210750398,3300.0,336816.0
3400.0,3.6616837,3.160388358853385E-7,3400.0,75.88235294117646,50.44942090870927,-71.90775681341725,42.536790469516454,75.22500778152575,71.18763176387914,79.26150733434497,75.24488276398868,71.38830162085976,79.10146390711762,75.20514329573986,70.98808689558514,79.42219969589458,3400.0,336816.0
3500.0,3.764084751,3.249653191044554E-7,3500.0,76.02857142857142,50.71038148637279,-72.63374485596707,43.00271739130434,75.35752639875594,71.27695994522423,79.43123314537878,75.41425532967305,71.84265010351967,78.98586055582642,75.30088275019295,70.72010869565217,79.88165680473372,3500.0,336960.0
3600.0,3.856089652,3.3298593211568065E-7,3600.0,76.16666666666667,50.9305373525557,-74.0365111561866,43.36633663366337,75.47199676916577,71.30434782608697,79.61995249406175,75.57088733798605,72.27118644067797,78.87058823529412,75.37336467459697,70.36303630363037,80.38369304556355,3600.0,336976.0
3700.0,3.949210713,3.4110384741538515E-7,3700.0,76.21621621621621,50.97952130358341,-77.0623742454729,43.62588084561179,75.50512437311022,71.24183006535947,79.72350230414746,75.65788975173211,72.71514342895263,78.60063607451158,75.35297466680683,69.82703395259449,80.87891538101917,3700.0,336976.0
3800.0,4.042598039,3.492451678896199E-7,3800.0,76.57894736842105,51.538321552263966,-71.81467181467184,43.848580441640394,75.78703441453396,71.30883301096065,80.21342819030681,75.96294413063106,72.90705339485827,79.01883486640385,75.61193753515963,69.77917981072555,81.44469525959369,3800.0,336984.0
3900.0,4.137433071,3.5751269648013016E-7,3900.0,76.71794871794872,51.85464049643069,-69.71962616822438,44.53268173488087,75.95460406156595,71.51819322459222,80.3122289679098,76.17151378462212,73.5009671179884,78.84206045125586,75.73892619605559,69.63958460598656,81.83826778612462,3900.0,336984.0
4000.0,4.231499432,3.6571321386881797E-7,4000.0,77.075,52.2430656097993,-71.40186915887843,43.982895540623105,76.1428271599124,71.31685955583357,80.90776597959608,76.35403530895334,73.07692307692307,79.6311475409836,75.93278426236697,69.63958460598656,82.22598391874736,4000.0,336984.0
4100.0,4.327355243,3.7406973193282885E-7,4100.0,77.48780487804878,52.77466766434337,-71.88081936685286,43.958712811171836,76.41150638214947,71.25506072874495,81.49929845660454,76.65569759655338,73.1457800511509,80.16561514195584,76.16886599831538,69.45962355798422,82.87810843864656,4100.0,336984.0
4200.0,4.42306846,3.824134227596079E-7,4200.0,77.83333333333333,53.2727032856094,-70.20109689213892,44.18465227817745,76.66461614711052,71.30970724191063,81.93986420950533,76.94282155006043,73.36715282181358,80.51849027830728,76.38841533408345,69.36450839328538,83.41232227488152,4200.0,336968.0
4300.0,4.518100772,3.9069775646748027E-7,4300.0,78.34883720930233,53.968337925039435,-69.89051094890509,44.25149700598802,77.01201243990647,71.34502923976609,82.60138291908054,77.31051314582544,73.4008866371121,81.22013965453877,76.7158079278705,69.40119760479043,84.03041825095056,4300.0,336968.0
4400.0,4.615486211,3.991874228945686E-7,4400.0,78.3409090909091,53.88313423998016,-70.78853046594978,44.20374707259954,76.97705228108146,71.21715493808517,82.63800327928584,77.31823665450305,73.5495945102932,81.0868787987129,76.63886578673562,69.02810304449649,84.24962852897474,4400.0,336976.0
4500.0,4.714685149,4.0783497748482776E-7,4500.0,78.53333333333333,54.20750541830448,-72.19251336898391,44.51464675473865,77.14275095657425,71.3353115727003,82.84191829484904,77.50682669714865,73.78759975445058,81.22605363984674,76.78207959788642,69.04078116025273,84.52337803552011,4500.0,336968.0
4600.0,4.812257016,4.1634069401130917E-7,4600.0,78.91304347826087,54.6752453905781,-72.59786476868331,44.47624499141385,77.3759067484814,71.31874630396214,83.32760398762461,77.75763107817504,73.76146788990826,81.75379426644183,76.99791199815577,69.0326273611906,84.96319663512094,4600.0,336968.0
4700.0,4.911073989,4.2495495123714425E-7,4700.0,79.1063829787234,55.08751580072067,-73.80530973451334,45.108999441028494,77.58906282190875,71.56919513607413,83.48469559367642,78.00673820443178,74.23423423423424,81.77924217462933,77.17583637861745,69.08887646730017,85.26279628993473,4700.0,336968.0
4800.0,5.011240982,4.3368316340968023E-7,4800.0,79.20833333333334,55.189996323828616,-72.96360485268625,45.01377410468321,77.63876656938193,71.53451226468911,83.62323596980636,78.05645805400052,74.15730337078652,81.95561273721454,77.22552154712959,69.0909090909091,85.36013400335008,4800.0,336824.0
4900.0,5.112120544,4.424732576481254E-7,4900.0,79.46938775510203,55.51168957567065,-72.55574614065185,45.05734571272529,77.80140991571962,71.53367289190719,83.9451005426109,78.2432921645017,74.22196124486202,82.26462308414139,77.3644907345864,69.03331512834517,85.69566634082764,4900.0,336816.0
5000.0,5.213203282,4.5128147393671187E-7,5000.0,79.67999999999999,55.629351358763756,-71.9120135363791,44.752582925502985,77.86357990044493,71.33182844243791,84.2627013630731,78.34210725394826,74.13489736070382,82.54931714719271,77.39086291447269,68.73300706905927,86.04871875988611,5000.0,336832.0
5100.0,5.315688072,4.602118631848777E-7,5100.0,79.98039215686275,56.008288903149804,-72.1753794266441,44.870410367170635,78.05578999173466,71.36044880785416,84.61190655614168,78.5656964896687,74.25569176882661,82.87570121051078,77.55245959633574,68.68250539956804,86.42241379310344,5100.0,336832.0
5200.0,5.418007084,4.691278067570678E-7,5200.0,80.28846153846155,56.3332944456606,-71.69179229480739,44.77370689655173,78.21751503967023,71.3126224461237,84.98608466383477,78.74472581777101,74.19918462434478,83.29026701119724,77.69731686190397,68.64224137931035,86.75239234449761,5200.0,336832.0
5300.0,5.519880458,4.780053396979307E-7,5300.0,80.58490566037736,56.66179912854752,-70.64676616915423,44.73684210526315,78.38098188589842,71.2970711297071,85.33143264433357,78.92321176874697,74.17295414973883,83.6734693877551,77.84615177934865,68.6358754027927,87.0564281559046,5300.0,336848.0
5400.0,5.623301845,4.870181989376828E-7,5400.0,80.61111111111111,56.50451987415253,-71.9211822660099,44.426751592356695,78.3112399274411,71.03734439834024,85.42797494780794,78.91177333346559,74.17677642980935,83.64677023712184,77.71977783091673,68.15286624203821,87.28668941979522,5400.0,336864.0
5500.0,5.727568462,4.961047174005047E-7,5500.0,80.76363636363637,56.58745624427407,-72.03252032520328,44.25711275026343,78.35527171810078,70.91808686091258,85.62890518880738,78.98385913426266,74.13793103448276,83.82978723404256,77.73661044180467,67.96628029504743,87.5069405885619,5500.0,336864.0
5600.0,5.832117888,5.052158818072911E-7,5600.0,81.07142857142857,56.89805402265466,-71.79902755267418,44.21052631578948,78.51145890875607,70.87912087912089,85.97883597883597,79.1674111130963,74.13793103448276,84.19689119170984,77.86628733997155,67.89473684210526,87.83783783783784,5600.0,336864.0
5700.0,5.936286709,5.142934464694603E-7,5700.0,81.19298245614036,56.99159047074866,-70.97288676236047,44.25377015080602,78.56623950705746,70.82199237887862,86.1247734921046,79.27478838919815,74.30039977155911,84.24917700683717,77.87024427760272,67.65470618824753,88.0857823669579,5700.0,336848.0
5800.0,6.040668589,5.233895776933972E-7,5800.0,81.32758620689656,57.05047960092653,-69.48356807511729,44.146467251160395,78.60166325544635,70.70597781985394,86.29634316082499,79.35501185222964,74.34584755403868,84.36417615042059,77.86248381916252,67.40587931923672,88.31908831908832,5800.0,336848.0
5900.0,6.145704933,5.325431755225403E-7,5900.0,81.40677966101694,57.1059865126053,-69.55177743431223,44.22979156075241,78.63940611414571,70.66060443968976,86.39126659223422,79.44965396258772,74.54853273137697,84.35077519379846,77.84551765715801,67.15810879511947,88.53292651919654,5900.0,336864.0
6000.0,6.251082869,5.417261058737049E-7,6000.0,81.55,57.282162826863484,-68.49315068493144,44.28787116255663,78.72729678968508,70.69102462271644,86.53775994162713,79.5470348598044,74.58100558659217,84.51306413301663,77.9242813147156,67.18671363865123,88.66184899077997,6000.0,336848.0
6100.0,6.358938866,5.511247582254457E-7,6100.0,81.52459016393443,57.28013128093365,-67.95827123695976,44.40059200789345,78.73013848680735,70.7196674460899,86.5046102263202,79.56505573918894,74.69813391877058,84.43197755960729,77.9125617083684,67.14356191415885,88.68156150257795,6100.0,336840.0
6200.0,6.467885095,5.60618865161617E-7,6200.0,81.41935483870968,57.00941442300921,-67.19883889695215,44.21307506053268,78.60857290880762,70.50691244239631,86.4374852837297,79.50643489361076,74.79630635524171,84.21656343197981,77.73076348773682,66.68280871670702,88.77871825876663,6200.0,336856.0
6300.0,6.578308431,5.702416944220292E-7,6300.0,81.46031746031746,57.04470062110756,-67.095851216023,44.30138292799236,78.63447050528721,70.49014653865589,86.4846100439713,79.57266324003487,74.95969908651263,84.1856273935571,77.71814328412466,66.52360515021459,88.91268141803474,6300.0,336856.0
6400.0,6.689115528,5.798979664918472E-7,6400.0,81.65625,57.35675926807726,-66.05374823196608,44.59650778669182,78.79407619066973,70.62062062062063,86.66515220354384,79.75991060195383,75.17314864144912,84.34667256245855,77.8513530212792,66.58801321378009,89.11469282877832,6400.0,336856.0
6500.0,6.801313873,5.89675478712958E-7,6500.0,81.81538461538462,57.73799537389744,-65.54621848739504,45.15081206496519,78.98939885787878,70.88669950738917,86.77852348993288,79.97795161350206,75.53805774278214,84.41784548422197,78.02498538202964,66.77494199535963,89.27502876869966,6500.0,336856.0
6600.0,6.915450555,5.996219070950526E-7,6600.0,81.77272727272728,57.64369232541987,-66.62049861495845,45.06849315068494,78.94505709854208,70.82221683240358,86.74672248540267,79.94426198143485,75.53026383859286,84.35826012427684,77.9705215419501,66.66666666666666,89.27437641723355,6600.0,336856.0
