learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.281713035,1.6214200819842517E-9,100.0,98.0,0.0,-100.0,-Infinity,?,?,98.98989898989899,50.0,0.0,100.0,?,?,98.0,100.0,22248.0
200.0,0.335180154,1.929154015816748E-9,200.0,99.0,0.0,-100.0,-Infinity,?,?,99.49748743718592,50.0,0.0,100.0,?,?,99.0,200.0,22248.0
300.0,0.363020738,2.0893925436213613E-9,300.0,99.33333333333333,0.0,-100.00000000000333,-Infinity,?,?,99.66555183946488,50.0,0.0,100.0,?,?,99.33333333333333,300.0,22248.0
400.0,0.385715584,2.220014398097992E-9,400.0,99.25,0.0,-200.00000000000443,-Infinity,?,?,99.62358845671267,50.0,0.0,100.0,?,?,99.25,400.0,22248.0
500.0,0.40702412,2.3426572434604166E-9,500.0,99.4,0.0,-200.0,-Infinity,?,?,99.69909729187563,50.0,0.0,100.0,?,?,99.4,500.0,22248.0
600.0,0.429700232,2.47317127302289E-9,600.0,99.5,0.0,-199.99999999999335,-Infinity,?,?,99.74937343358395,50.0,0.0,100.0,?,?,99.5,600.0,22248.0
700.0,0.449995342,2.589981270544231E-9,700.0,99.57142857142857,0.0,-200.0,-Infinity,?,?,99.78525411596279,50.0,0.0,100.0,?,?,99.57142857142857,700.0,22248.0
800.0,0.469116839,2.7000364521704614E-9,800.0,99.625,0.0,-200.00000000000887,-Infinity,?,?,99.81214777708203,50.0,0.0,100.0,?,?,99.625,800.0,22248.0
900.0,0.487107222,2.8035814240202306E-9,900.0,99.66666666666667,0.0,-200.00000000001,-Infinity,?,?,99.83305509181972,50.0,0.0,100.0,?,?,99.66666666666667,900.0,22248.0
1000.0,0.504539596,2.9039147340506314E-9,1000.0,99.7,0.0,-200.0,-Infinity,?,?,99.849774661993,50.0,0.0,100.0,?,?,99.7,1000.0,22248.0
1100.0,0.522162862,3.0053467370197176E-9,1100.0,99.72727272727273,0.0,-200.00000000001222,-Infinity,?,?,99.86345015930816,50.0,0.0,100.0,?,?,99.72727272727273,1100.0,22248.0
1200.0,0.53943791,3.1047745456919073E-9,1200.0,99.75,0.0,-199.99999999998667,-Infinity,?,?,99.87484355444306,50.0,0.0,100.0,?,?,99.75,1200.0,22248.0
1300.0,0.556538649,3.2031991061009467E-9,1300.0,99.76923076923076,0.0,-200.00000000001444,-Infinity,?,?,99.88448209472467,50.0,0.0,100.0,?,?,99.76923076923076,1300.0,22248.0
1400.0,0.573804943,3.3025765304826202E-9,1400.0,99.78571428571429,0.0,-200.00000000001555,-Infinity,?,?,99.89274222381124,50.0,0.0,100.0,?,?,99.78571428571429,1400.0,22248.0
