learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,4.297433858,2.006772254652475E-5,100.0,50.0,0.0,49.494949494949495,0.0,50.0,65.27777777777779,10.714285714285712,50.0,50.0,50.0,50.0,94.0,6.0,100.0,1.8050584E7
200.0,8.804104991,4.113400034032636E-5,200.0,52.5,5.000000000000004,52.26130653266332,5.000000000000004,53.88837333942068,65.2014652014652,25.196850393700785,55.35217298223078,51.445086705202314,59.25925925925925,52.5,89.0,16.0,200.0,1.8069008E7
300.0,13.075100043,6.111008301403868E-5,300.0,56.666666666666664,13.33333333333333,56.52173913043478,13.33333333333333,59.39565627950897,67.66169154228855,34.34343434343434,62.40079365079365,53.96825396825397,70.83333333333334,56.666666666666664,90.66666666666666,22.666666666666664,300.0,1.8079384E7
400.0,17.381550657,8.126545476312905E-5,400.0,59.75,19.500000000000007,59.64912280701755,19.500000000000007,62.57523719646374,69.21606118546846,41.87725631768953,65.68091351373086,56.03715170278638,75.32467532467533,59.75,90.5,28.999999999999996,400.0,1.8091464E7
500.0,21.691454635,1.0145243830123838E-4,500.0,59.8,19.599999999999994,59.71943887775551,19.599999999999994,62.71078166363624,69.31297709923663,41.73913043478261,65.91942820012994,56.04938271604938,75.78947368421053,59.8,90.8,28.799999999999997,500.0,1.810532E7
600.0,26.200396033,1.225816327217626E-4,600.0,60.66666666666667,21.333333333333336,60.60100166944908,21.333333333333336,63.9300150976477,70.05076142131979,42.71844660194174,67.56440281030444,56.557377049180324,78.57142857142857,60.66666666666667,92.0,29.333333333333332,600.0,1.8113848E7
700.0,30.756455115,1.4393966683930913E-4,700.0,61.857142857142854,23.714285714285708,61.80257510729613,23.714285714285708,65.15826793053444,70.75575027382257,45.17453798767968,68.83159819009218,57.37122557726465,80.2919708029197,61.857142857142854,92.28571428571428,31.428571428571427,700.0,1.8120672E7
800.0,35.361429888,1.655439260458045E-4,800.0,61.5,23.0,61.45181476846058,23.0,64.80949572958475,70.5544933078394,44.4043321299639,68.49543645209279,57.120743034055735,79.87012987012987,61.5,92.25,30.75,800.0,1.8134872E7
900.0,39.98584132,1.8724750752476714E-4,900.0,61.0,21.999999999999996,60.95661846496107,21.999999999999996,64.3238229273687,70.27942421676543,43.29563812600969,68.03074332801788,56.771545827633375,79.28994082840237,61.0,92.22222222222223,29.777777777777775,900.0,1.8141672E7
1000.0,44.648075131,2.0914150973831998E-4,1000.0,61.6,23.2,61.56156156156156,23.2,64.82344870159163,70.5521472392638,44.82758620689655,68.40288354147629,57.2139303482587,79.59183673469387,61.6,92.0,31.2,1000.0,1.8152376E7
1100.0,49.333362258,2.311505684612026E-4,1100.0,61.18181818181818,22.363636363636363,61.146496815286625,22.363636363636363,64.20001432284963,70.16072676450035,44.47334200260077,67.5314477632827,56.980703745743476,78.08219178082192,61.18181818181818,91.27272727272727,31.09090909090909,1100.0,1.8157984E7
1200.0,54.077579786,2.534430793626238E-4,1200.0,61.25000000000001,22.500000000000007,61.217681401167646,22.500000000000007,64.28357728888935,70.21140294682895,44.576877234803334,67.63330561348666,57.02393340270552,78.24267782426779,61.25000000000001,91.33333333333333,31.166666666666664,1200.0,1.8163384E7
1300.0,58.835988785,2.7581050724289886E-4,1300.0,60.84615384615385,21.6923076923077,60.81601231716706,21.6923076923077,63.72892080224489,69.86382474837183,44.12733260153677,66.898432400739,56.78537054860443,77.01149425287356,60.84615384615385,90.76923076923077,30.923076923076927,1300.0,1.8170072E7
1400.0,63.587512077,2.981502293073365E-4,1400.0,61.07142857142858,22.142857142857153,61.04360257326663,22.142857142857153,64.05525406189469,70.07138934651293,44.330949948927476,67.34562394687283,56.91347011596789,77.77777777777779,61.07142857142858,91.14285714285715,31.0,1400.0,1.8173864E7
1500.0,68.387447379,3.207229192837682E-4,1500.0,61.0,21.999999999999996,60.9739826551034,21.999999999999996,63.8866050637812,69.95377503852079,44.44444444444444,67.05997667435916,56.89223057644111,77.22772277227723,61.0,90.8,31.2,1500.0,1.8178176E7
1600.0,73.220192026,3.4345395276068634E-4,1600.0,61.18749999999999,22.37499999999999,61.16322701688554,22.37499999999999,64.05311612619995,70.04341534008682,44.89795918367347,67.20033343663142,57.03063629222309,77.37003058103976,61.18749999999999,90.75,31.624999999999996,1600.0,1.8181416E7
1700.0,78.076895348,3.66302511704055E-4,1700.0,61.411764705882355,22.82352941176471,61.38905238375515,22.82352941176471,64.28929164895467,70.18181818181817,45.33333333333333,67.44973544973544,57.18518518518518,77.71428571428571,61.411764705882355,90.8235294117647,32.0,1700.0,1.8185264E7
1800.0,83.000688118,3.894709654327074E-4,1800.0,61.27777777777778,22.55555555555555,61.2562534741523,22.55555555555555,64.0852429111577,70.0472711645896,45.247446975648074,67.16231017658299,57.11282410651717,77.21179624664879,61.27777777777778,90.55555555555556,32.0,1800.0,1.8188616E7
1900.0,88.045022395,4.1321139754942304E-4,1900.0,61.10526315789474,22.21052631578948,61.08478146392839,22.21052631578948,63.74039364356518,69.79975480179812,45.380635624538066,66.61304411967028,57.047428189712754,76.1786600496278,61.105263157894726,89.89473684210526,32.315789473684205,1900.0,1.819228E7
2000.0,92.943565553,4.3627026718078373E-4,2000.0,61.7,23.4,61.6808404202101,23.4,64.33948563149166,70.14809041309432,46.582984658298464,67.2148948567191,57.47126436781609,76.95852534562212,61.7,90.0,33.4,2000.0,1.8195896E7
2100.0,97.880972982,4.595163127107079E-4,2100.0,61.71428571428571,23.42857142857142,61.69604573606479,23.42857142857142,64.40360629201186,70.20014825796888,46.47137150466045,67.33799080677034,57.463592233009706,77.21238938053098,61.71428571428571,90.19047619047619,33.23809523809524,2100.0,1.8199208E7
2200.0,102.820873161,4.827786644464871E-4,2200.0,61.772727272727266,23.545454545454536,61.75534333788085,23.545454545454536,64.48139186898865,70.25114962858154,46.53528289891926,67.4384939604907,57.498552403011004,77.3784355179704,61.772727272727266,90.27272727272727,33.27272727272727,2200.0,1.8202784E7
2300.0,107.778607811,5.06129032410889E-4,2300.0,61.69565217391304,23.39130434782608,61.67899086559373,23.39130434782608,64.29000716436727,70.10519172039362,46.70296430732003,67.11212967050231,57.484696716750136,76.73956262425448,61.69565217391304,89.82608695652175,33.565217391304344,2300.0,1.8205928E7
2400.0,112.702353814,5.293238829178176E-4,2400.0,61.791666666666664,23.583333333333336,61.775739891621505,23.583333333333336,64.42695559918825,70.19824504387391,46.77887405687755,67.29703739847668,57.53862546616942,77.05544933078394,61.791666666666664,90.0,33.58333333333333,2400.0,1.8209512E7
2500.0,117.696193294,5.528524240661183E-4,2500.0,61.760000000000005,23.520000000000007,61.744697879151666,23.520000000000007,64.43907098417506,70.21806853582552,46.59217877094972,67.36111111111111,57.49999999999999,77.22222222222223,61.75999999999999,90.16,33.36,2500.0,1.8212216E7
2600.0,122.736338566,5.766024318013448E-4,2600.0,61.73076923076923,23.461538461538467,61.71604463255098,23.461538461538467,64.45083655323242,70.23631468740652,46.41895530425417,67.42166402595542,57.4645129711209,77.37881508078995,61.73076923076923,90.3076923076923,33.15384615384615,2600.0,1.8214744E7
