learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,9.065790544,5.7323213152565795E-5,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,2.4441464E7
200.0,18.607991517,1.216508604639307E-4,200.0,97.0,55.621301775147955,-50.0,0.0,78.19560030594656,98.44559585492227,57.14285714285715,74.47916666666667,98.95833333333334,50.0,82.30240549828179,97.9381443298969,66.66666666666666,200.0,2.6058624E7
300.0,28.142564636,1.8596159815689105E-4,300.0,98.0,56.140350877192816,-50.00000000000042,0.0,78.45210591789585,98.97610921501708,57.14285714285715,74.65753424657534,99.31506849315068,50.0,82.65306122448979,98.63945578231292,66.66666666666666,300.0,2.6072616E7
400.0,37.826964858,2.512999166904725E-4,400.0,98.5,56.39534883720939,-50.0,0.0,78.57810090207562,99.23664122137404,57.14285714285715,74.74489795918367,99.48979591836735,50.0,82.82571912013536,98.98477157360406,66.66666666666666,400.0,2.60794E7
500.0,47.501377532,3.16584066305472E-4,500.0,93.8,22.391347887041857,-416.6666666666667,-287.5,66.1808270068062,96.7674661105318,24.390243902439025,57.254558432288626,99.3576017130621,15.151515151515152,78.40447154471545,94.3089430894309,62.5,500.0,2.608468E7
600.0,57.248095819,3.823723210968958E-4,600.0,94.33333333333334,24.107142857142993,-325.0000000000006,-239.9999999999988,66.3174150945908,97.05372616984403,26.08695652173913,57.97872340425532,99.29078014184397,16.666666666666664,77.45762711864407,94.91525423728814,60.0,600.0,2.6091096E7
700.0,66.862868634,4.4730620798934885E-4,700.0,94.42857142857143,40.949991347984124,-225.0000000000003,-77.27272727272702,72.67241189644776,97.06987227648384,43.47826086956522,65.42145905965918,98.92802450229709,31.914893617021278,81.73102708500939,95.28023598820059,68.18181818181817,700.0,2.6105568E7
800.0,76.384393788,5.117225466147354E-4,800.0,92.25,70.21808050725333,-376.9230769230774,49.180327868852444,85.1107965163307,95.42097488921712,74.79674796747967,84.87783928230579,95.56213017751479,74.19354838709677,85.34503602688717,95.28023598820059,75.40983606557377,800.0,2.6151216E7
900.0,86.014638341,5.769178379854514E-4,900.0,90.88888888888889,72.97000329634106,-192.85714285714317,59.20398009950249,86.53843712601554,94.2008486562942,78.75647668393782,87.65450765450767,93.14685314685315,82.16216216216216,85.45043025217261,95.27896995708154,75.62189054726367,900.0,2.6168648E7
1000.0,96.041983883,6.448263043502884E-4,1000.0,91.3,76.59377555852095,-35.937500000000064,66.147859922179,88.36023555146446,94.2269409422694,82.3529411764706,89.47444316265862,92.93193717277487,86.01694915254238,87.27343664081361,95.5585464333782,78.98832684824903,1000.0,2.6178232E7
1100.0,106.230723771,7.138536172332109E-4,1100.0,86.9090909090909,66.26557342136088,-49.999999999999936,55.69230769230769,83.69526489166739,91.14391143911439,74.91289198606272,86.70970603919793,87.07403055229143,86.34538152610442,80.8833746898263,95.61290322580646,66.15384615384615,1100.0,2.6188032E7
1200.0,116.536676284,7.836943751836163E-4,1200.0,85.83333333333333,63.285448439451585,-45.2991452991453,52.64623955431753,82.4471330121046,90.46015712682379,72.49190938511329,86.07002326449724,85.65356004250798,86.48648648648648,79.11691546408143,95.83828775267538,62.39554317548747,1200.0,2.6195288E7
1300.0,126.879433527,8.537960867369574E-4,1300.0,82.92307692307692,56.79989940932917,-77.60000000000004,47.016706443914074,79.81031979656237,88.40125391849529,67.63848396501457,84.39438601071024,81.8973862536302,86.89138576779027,75.69858508583486,96.0272417707151,55.36992840095465,1300.0,2.61996E7
1400.0,137.554167209,9.261722766514912E-4,1400.0,81.0,53.22689227615728,-83.44827586206898,44.35146443514646,78.37650184690189,86.9351669941061,65.18324607329843,83.25319205031951,79.44344703770197,87.06293706293707,74.03951751241162,95.98698481561823,52.09205020920502,1400.0,2.6208432E7
1500.0,148.814843554,0.0010025366446237366,1500.0,78.86666666666666,48.76408852875891,-77.09497206703921,40.747663551401864,76.65963791086085,85.41187298665437,61.66868198307135,82.0749795881339,76.82119205298014,87.32876712328768,71.91467725533872,96.16580310880829,47.66355140186916,1500.0,2.621372E7
1600.0,160.769401427,0.0010836203319254712,1600.0,76.8125,44.70877096241759,-66.3677130044843,37.54208754208752,75.08031107597624,83.91850888599915,58.454647256438975,80.84763714045538,74.4043043812452,87.29096989966555,70.08102897764925,96.22266401590457,43.93939393939394,1600.0,2.6218168E7
1700.0,172.554386766,0.0011635646226956153,1700.0,75.3529411764706,42.268539231133325,-74.58333333333326,35.83460949464013,74.11624507832309,82.77846280312372,56.67011375387797,79.95813457596897,72.65512265512265,87.26114649681529,69.06987220835144,96.1795606494747,41.96018376722817,1700.0,2.6221696E7
1800.0,184.711399267,0.001246067735153187,1800.0,74.72222222222223,41.1130284728214,-60.21126760563378,34.99999999999999,73.70489245860318,82.31636222308589,55.69620253164557,79.67793369333009,71.89409368635438,87.46177370030581,68.56493506493506,96.27272727272728,40.85714285714286,1800.0,2.6232872E7
1900.0,196.706035594,0.0013274794380262309,1900.0,73.36842105263159,39.32149132551048,-67.54966887417217,34.11458333333334,73.08174722036912,81.17559523809523,54.49640287769783,79.09853829138518,70.11568123393316,88.0813953488372,67.91560843639576,96.37809187279152,39.453125,1900.0,2.6236272E7
2000.0,208.906252956,0.0014103013617980946,2000.0,72.95,38.253287070854654,-61.97604790419155,33.04455445544556,72.61114559474011,80.93056045118082,53.482373172828886,78.69643392268505,69.7872340425532,87.60563380281691,67.39941192105788,96.30872483221476,38.49009900990099,2000.0,2.6240984E7
2100.0,221.914501488,0.0014986274462401273,2100.0,71.66666666666667,36.83651804670914,-60.37735849056606,32.539682539682545,72.12759383702864,79.7825348284064,52.66507557677008,78.16231884057972,68.05797101449275,88.26666666666667,66.95793259832669,96.38752052545156,37.528344671201815,2100.0,2.6246568E7
2200.0,234.36466332,0.0015831717199327544,2200.0,69.9090909090909,34.178473775789215,-66.33165829145729,30.680628272251308,71.04357809848064,78.36601307189544,50.59701492537314,77.05627705627705,66.06060606060606,88.05194805194805,65.90130154124351,96.30522088353413,35.497382198952884,2200.0,2.6248928E7
2300.0,246.825282836,0.0016677959821685057,2300.0,69.26086956521739,33.439485231514816,-73.71007371007371,30.344827586206886,70.7799875974801,77.78825007854226,50.10585744530699,76.76750598954646,65.22655426765016,88.30845771144278,65.65889095474498,96.34241245136187,34.97536945812808,2300.0,2.6251712E7
2400.0,259.572728671,0.0017543855907453862,2400.0,68.75,32.66053727912656,-74.01392111368911,29.7752808988764,70.45863460491341,77.38238841978287,49.46091644204852,76.44424627791564,64.66733870967742,88.22115384615384,65.34230860073556,96.32132132132132,34.36329588014981,2400.0,2.6256992E7
2500.0,273.677754535,0.0018502065868019944,2500.0,68.32000000000001,31.89941474769765,-72.54901960784314,29.159212880143127,70.178105504754,77.08333333333334,48.704663212435236,76.24331653695882,64.22372227579557,88.26291079812206,65.0067698935198,96.38205499276411,33.631484794275494,2500.0,2.6259664E7
2600.0,287.939407195,0.0019471057485353966,2600.0,66.6923076923077,30.52607154494022,-88.6710239651416,28.899835796387528,69.66943325115979,75.46742209631728,48.1437125748503,75.47461314085133,62.01117318435754,88.93805309734513,64.69349055056924,96.38205499276411,33.004926108374384,2600.0,2.6263496E7
2700.0,301.309282932,0.0020379613297511084,2700.0,65.48148148148148,29.899512606053307,-103.0501089324618,29.286798179059183,69.46136023955786,74.08231368186874,48.33702882483371,74.93726789119744,60.16260162601627,89.7119341563786,64.73123993947766,96.38205499276411,33.0804248861912,2700.0,2.6267976E7
2800.0,314.706978929,0.002129017804606593,2800.0,64.42857142857143,29.42619814516015,-116.9934640522876,27.93053545586106,69.308824862062,72.78688524590163,48.65979381443299,74.44690005012127,58.47234416154522,90.42145593869732,64.83418687578967,96.38205499276411,33.286318758815234,2800.0,2.6271392E7
