learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.274991003,1.5645189981638557E-9,100.0,98.0,0.0,-100.0,-Infinity,?,?,98.98989898989899,50.0,0.0,100.0,?,?,98.0,100.0,21992.0
200.0,0.324022362,1.8434753706430394E-9,200.0,99.0,0.0,-100.0,-Infinity,?,?,99.49748743718592,50.0,0.0,100.0,?,?,99.0,200.0,21992.0
300.0,0.351813447,2.0015884724818168E-9,300.0,99.33333333333333,0.0,-100.00000000000333,-Infinity,?,?,99.66555183946488,50.0,0.0,100.0,?,?,99.33333333333333,300.0,21992.0
400.0,0.373076634,2.1225621031100548E-9,400.0,99.25,0.0,-200.00000000000443,-Infinity,?,?,99.62358845671267,50.0,0.0,100.0,?,?,99.25,400.0,21992.0
500.0,0.39227189,2.2317705585103892E-9,500.0,99.4,0.0,-200.0,-Infinity,?,?,99.69909729187563,50.0,0.0,100.0,?,?,99.4,500.0,21992.0
600.0,0.411192278,2.3394151947192015E-9,600.0,99.5,0.0,-199.99999999999335,-Infinity,?,?,99.74937343358395,50.0,0.0,100.0,?,?,99.5,600.0,21992.0
700.0,0.430961915,2.4518915024379055E-9,700.0,99.57142857142857,0.0,-200.0,-Infinity,?,?,99.78525411596279,50.0,0.0,100.0,?,?,99.57142857142857,700.0,21992.0
800.0,0.448239275,2.5501883836566566E-9,800.0,99.625,0.0,-200.00000000000887,-Infinity,?,?,99.81214777708203,50.0,0.0,100.0,?,?,99.625,800.0,21992.0
900.0,0.46298572,2.6340860134197596E-9,900.0,99.66666666666667,0.0,-200.00000000001,-Infinity,?,?,99.83305509181972,50.0,0.0,100.0,?,?,99.66666666666667,900.0,21992.0
1000.0,0.476479629,2.7108575323410322E-9,1000.0,99.7,0.0,-200.0,-Infinity,?,?,99.849774661993,50.0,0.0,100.0,?,?,99.7,1000.0,21992.0
1100.0,0.48980374,2.786663011668456E-9,1100.0,99.72727272727273,0.0,-200.00000000001222,-Infinity,?,?,99.86345015930816,50.0,0.0,100.0,?,?,99.72727272727273,1100.0,21992.0
1200.0,0.502950109,2.8614572552363896E-9,1200.0,99.75,0.0,-199.99999999998667,-Infinity,?,?,99.87484355444306,50.0,0.0,100.0,?,?,99.75,1200.0,21992.0
1300.0,0.516221327,2.936961807979063E-9,1300.0,99.76923076923076,0.0,-200.00000000001444,-Infinity,?,?,99.88448209472467,50.0,0.0,100.0,?,?,99.76923076923076,1300.0,21992.0
1400.0,0.529335909,3.0115752043016247E-9,1400.0,99.78571428571429,0.0,-200.00000000001555,-Infinity,?,?,99.89274222381124,50.0,0.0,100.0,?,?,99.78571428571429,1400.0,21992.0
1500.0,0.542912663,3.088818057102875E-9,1500.0,99.8,0.0,-199.99999999998334,-Infinity,?,?,99.8998998998999,50.0,0.0,100.0,?,?,99.8,1500.0,21992.0
1600.0,0.558679863,3.1785231153729052E-9,1600.0,99.8125,0.0,-200.0,-Infinity,?,?,99.90616202690022,50.0,0.0,100.0,?,?,99.8125,1600.0,21992.0
1700.0,0.574419501,3.2680713638849548E-9,1700.0,99.82352941176471,0.0,-199.99999999998113,-Infinity,?,?,99.9116867824551,50.0,0.0,100.0,?,?,99.82352941176471,1700.0,21992.0
1800.0,0.589098479,3.3515851505328376E-9,1800.0,99.77777777777777,0.0,-300.00000000002,-Infinity,?,?,99.88876529477196,50.0,0.0,100.0,?,?,99.77777777777777,1800.0,21992.0
1900.0,0.607587044,3.467678247601207E-9,1900.0,95.63157894736842,15.220523407091752,-4049.9999999998104,4.597701149425257,65.22752774567286,16.16161616161616,97.75736287489867,81.24117231638418,66.66666666666666,95.8156779661017,54.487386753396606,9.195402298850574,99.77937120794263,1900.0,24272.0
2000.0,0.62075877,3.5503859355735273E-9,2000.0,94.8,60.150661154174756,-5100.0,44.385026737967884,82.7256652671082,62.589928057553955,97.20580333154219,95.18302546065773,95.6043956043956,94.76165531691986,73.15171768953282,46.524064171122994,99.77937120794263,2000.0,24272.0
2100.0,0.633888063,3.6328271789414177E-9,2100.0,94.95238095238095,75.02003110713109,-5200.00000000014,63.06620209059236,88.63489143956514,77.73109243697479,97.15359828141783,96.27303913018199,97.88359788359789,94.66248037676608,82.11965076076575,64.45993031358886,99.77937120794263,2100.0,24272.0
2200.0,0.6469419,3.714794620219617E-9,2200.0,95.0909090909091,81.15275942322367,-5300.000000000294,72.09302325581396,91.23852156483602,83.97626112759644,97.10144927536233,96.58489229205637,98.60627177700349,94.56351280710925,86.45299309751138,73.1266149870801,99.77937120794263,2200.0,24272.0
2300.0,0.660083165,3.797311037975466E-9,2300.0,95.21739130434783,84.48433408356384,-5399.999999999745,77.4127310061602,92.69993398040862,87.38532110091744,97.04935622317598,96.71289545963175,98.96103896103897,94.46475195822455,89.0067287251212,78.2340862422998,99.77937120794263,2300.0,24272.0
2400.0,0.673369303,3.880737139919979E-9,2400.0,95.29166666666666,86.43818271648401,-5549.999999999874,80.74957410562179,93.57381431973953,89.42937324602433,96.97132136156526,96.7435606765346,99.1701244813278,94.3169968717414,90.60518815933759,81.43100511073254,99.77937120794263,2400.0,24272.0
2500.0,0.686955504,3.966047392580657E-9,2500.0,95.44,87.98333351604289,-5599.999999999834,83.40611353711792,94.27299668131414,91.00946372239747,96.94533762057877,96.78968983953382,99.31153184165233,94.26784783741532,91.88386318766855,83.98835516739447,99.77937120794263,2500.0,24272.0
2600.0,0.69954847,4.0451209401608335E-9,2600.0,95.5,88.90521214313954,-5750.000000000195,85.13341804320203,94.69455891109308,92.0136518771331,96.86746987951807,96.76536854738949,99.41002949852508,94.12070759625391,92.71052423167144,85.64167725540025,99.77937120794263,2600.0,24272.0
2700.0,0.711715237,4.121518305902265E-9,2700.0,95.48148148148148,89.410736754259,-6000.00000000027,86.24577226606537,94.92760125037607,92.65060240963857,96.7379679144385,96.67951376604404,99.48253557567918,93.87649195640893,93.23805088018327,86.6967305524239,99.77937120794263,2700.0,24272.0
