learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,5.189327202,2.4434312068559664E-5,100.0,53.0,6.000000000000005,52.52525252525253,6.000000000000005,58.70624723083739,67.58620689655174,14.545454545454545,65.78947368421053,51.578947368421055,80.0,53.0,98.0,8.0,100.0,1.820084E7
200.0,10.544337409,4.9674277813504276E-5,200.0,58.5,16.999999999999993,58.291457286432156,16.999999999999993,62.97757617182054,69.59706959706959,34.645669291338585,68.19738813958467,54.91329479768786,81.48148148148148,58.5,95.0,22.0,200.0,1.8219264E7
300.0,15.827713865,7.4590791630619E-5,300.0,63.33333333333333,26.66666666666666,63.21070234113713,26.66666666666666,68.25242718446601,72.5,45.00000000000001,74.0,57.99999999999999,90.0,63.33333333333333,96.66666666666667,30.0,300.0,1.822964E7
400.0,21.139562331,9.965818012439405E-5,400.0,64.75,29.499999999999993,64.66165413533834,29.499999999999993,69.37700221877812,73.24478178368122,48.35164835164836,74.71618281596916,59.021406727828754,90.41095890410958,64.75,96.5,33.0,400.0,1.824172E7
500.0,26.541237913,1.2516883850883587E-4,500.0,65.4,30.800000000000004,65.33066132264528,30.800000000000004,70.24292160986992,73.74810318664645,49.26686217008797,75.86044762083883,59.41320293398533,92.3076923076923,65.4,97.2,33.6,500.0,1.8255576E7
600.0,32.258619625,1.5218310556944822E-4,600.0,65.0,30.000000000000004,64.9415692821369,30.000000000000004,70.14347391433311,73.6180904522613,48.01980198019802,76.17090570719603,59.07258064516129,93.26923076923077,65.0,97.66666666666667,32.33333333333333,600.0,1.8264104E7
700.0,38.210476847,1.8031590965622552E-4,700.0,65.57142857142857,31.14285714285714,65.52217453505007,31.14285714285714,70.77564915992656,74.00215749730313,49.04862579281183,76.87717518423018,59.44540727902946,94.3089430894309,65.57142857142857,98.0,33.14285714285714,700.0,1.8271024E7
800.0,44.266599456,2.0896379523051972E-4,800.0,65.25,30.499999999999993,65.20650813516896,30.499999999999993,70.38910238289876,73.77358490566039,48.51851851851852,76.40692640692642,59.24242424242424,93.57142857142857,65.25000000000001,97.75,32.75,800.0,1.8285128E7
900.0,50.371902266,2.378549114608331E-4,900.0,64.44444444444444,28.888888888888896,64.40489432703004,28.888888888888896,69.51875738997032,73.24414715719064,47.019867549668874,75.46046446850735,58.71313672922251,92.20779220779221,64.44444444444444,97.33333333333334,31.555555555555554,900.0,1.8291928E7
1000.0,56.552537428,2.6711962553720994E-4,1000.0,65.0,30.000000000000004,64.96496496496496,30.000000000000004,69.91301660061994,73.5249621785174,48.37758112094395,75.62945952595751,59.12408759124088,92.13483146067416,65.0,97.2,32.800000000000004,1000.0,1.8302632E7
