learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,1.282659541,1.5079718059559248E-7,100.0,69.0,0.8951406649616445,31.111111111111097,-19.230769230769248,50.53881025275786,80.98159509202455,16.216216216216214,50.715015321756894,74.15730337078652,27.27272727272727,50.36382536382536,89.1891891891892,11.538461538461538,100.0,454448.0
200.0,2.085949441,2.4525839155363127E-7,200.0,69.5,17.456021650879567,23.749999999999993,-10.909090909090919,58.89243922584208,79.86798679867987,37.11340206185567,59.719710669077756,76.58227848101265,42.857142857142854,58.087774294670844,83.44827586206897,32.72727272727273,200.0,454552.0
300.0,2.617353828,3.0776208646622387E-7,300.0,69.0,20.43121149897328,21.186440677966083,-14.814814814814827,60.219464021374506,78.91156462585033,41.50943396226415,60.343035343035346,78.37837837837837,42.30769230769231,60.09639776763064,79.45205479452055,40.74074074074074,300.0,454656.0
400.0,2.967620287,3.489618184809387E-7,400.0,68.5,20.182440136830103,17.10526315789475,-23.52941176470586,60.124629714032174,78.42465753424658,41.666666666666664,59.7718071402282,80.06993006993007,39.473684210526315,60.481642321358066,76.84563758389261,44.11764705882353,400.0,454672.0
500.0,3.176893236,3.735807987840515E-7,500.0,68.2,23.167620225761556,19.696969696969713,-19.548872180451102,61.678649746259495,77.574047954866,45.36082474226804,61.09075431194019,80.4093567251462,41.77215189873418,62.27797012968388,74.93188010899182,49.62406015037594,500.0,454736.0
600.0,3.392676748,3.98968364679503E-7,600.0,68.33333333333333,24.314850223072025,19.491525423728813,-21.794871794871785,62.349235951370844,77.54137115839244,46.32768361581921,61.503090607568225,81.59203980099502,41.41414141414141,63.218988218988216,73.87387387387388,52.56410256410257,600.0,454784.0
700.0,3.636030373,4.27602657468617E-7,700.0,67.85714285714286,22.82438259506076,17.88321167883213,-21.621621621621635,61.53912267398163,77.24974721941355,45.255474452554736,60.870579888727086,80.59071729957806,41.150442477876105,62.222513775911835,74.1747572815534,50.27027027027027,700.0,454832.0
800.0,3.887891531,4.572333009425758E-7,800.0,68.25,23.928750589627064,17.532467532467532,-22.70531400966182,62.1544611595488,77.5221238938053,45.95744680851063,61.31444229666292,81.56424581005587,41.06463878326996,63.01781655546594,73.86172006745363,52.17391304347826,800.0,454760.0
900.0,4.097152544,4.818543417906596E-7,900.0,68.0,23.70591455768858,15.78947368421054,-24.675324675324635,62.084066672828406,77.28706624605678,45.86466165413534,61.167283235070634,81.80300500834724,40.53156146179402,63.02875002426571,73.24364723467862,52.81385281385281,900.0,454800.0
1000.0,4.301714752,5.059293087480962E-7,1000.0,67.2,22.64150943396228,10.382513661202196,-31.19999999999998,61.66874940844189,76.60485021398003,45.1505016722408,60.57753331922996,82.36196319018406,38.793103448275865,62.8,71.6,54.0,1000.0,454928.0
1100.0,4.5144291,5.309698659716546E-7,1100.0,66.0909090909091,22.969766149502107,7.213930348258707,-34.172661870503624,62.03403503166961,75.21594684385383,46.33093525179856,60.73940262138752,82.86969253294289,38.60911270983213,63.38505837665633,68.85644768856449,57.9136690647482,1100.0,455040.0
1200.0,4.723697693,5.556030593508564E-7,1200.0,63.5,20.65217391304349,-0.4587155963302859,-46.0,61.17337232204137,72.55639097744361,45.5223880597015,59.7495894909688,83.1896551724138,36.30952380952381,62.66666666666667,64.33333333333333,61.0,1200.0,455008.0
1300.0,4.911814103,5.777518609129222E-7,1300.0,61.69230769230769,19.059621328052334,-5.508474576271191,-56.603773584905696,60.623297423499686,70.70588235294119,44.666666666666664,59.12040892513568,83.70473537604457,34.5360824742268,62.20458824885677,61.20162932790224,63.20754716981132,1300.0,455120.0
1400.0,5.100396831,5.999602501981622E-7,1400.0,60.357142857142854,18.469706826719264,-8.823529411764703,-60.86956521739131,60.50939208932652,69.0462911321807,44.885799404170804,59.0071557815276,83.87533875338752,34.13897280966767,62.09011607940105,58.67298578199052,65.5072463768116,1400.0,455216.0
1460.0,5.218810861,6.139037730581064E-7,1460.0,59.86301369863014,18.54803853059733,-9.737827715355795,-61.43250688705236,60.65022145251922,68.29004329004329,45.335820895522396,59.147464875229836,84.02130492676432,34.27362482369535,62.2313296217332,57.52051048313582,66.94214876033058,1460.0,455168.0
