learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.652921757,5.2955727475949875E-8,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,313512.0
200.0,0.946424914,7.83696270188503E-8,200.0,98.5,71.96261682242988,25.0,50.0,86.16227919005931,99.22879177377892,72.72727272727272,89.48717948717949,98.97435897435898,80.0,83.07560137457044,99.48453608247422,66.66666666666666,200.0,334704.0
300.0,1.176734406,9.831885286982482E-8,300.0,97.66666666666667,52.18579234972677,-75.00000000000021,-16.666666666666483,76.81653257611612,98.80341880341881,53.333333333333336,71.87857961053837,99.3127147766323,44.44444444444444,82.48299319727892,98.29931972789116,66.66666666666666,300.0,334824.0
400.0,1.363211469,1.1447096249086782E-7,400.0,97.5,43.31065759637201,-150.0,-66.66666666666666,73.51262646254773,98.7212276214834,44.44444444444444,66.40893470790378,99.48453608247422,33.33333333333333,82.31810490693739,97.96954314720813,66.66666666666666,400.0,334816.0
500.0,1.507914324,1.2700470974555239E-7,500.0,96.2,28.00848742043029,-216.66666666666666,-137.5,66.12448359503512,98.04727646454265,29.629629629629626,60.110515373673266,99.16839916839916,21.052631578947366,73.47560975609755,96.95121951219512,50.0,500.0,334816.0
600.0,1.676337353,1.416031391090817E-7,600.0,96.16666666666667,32.682926829268325,-187.5000000000005,-129.99999999999926,69.0207696395965,98.02575107296137,34.285714285714285,61.65217391304347,99.30434782608695,24.0,78.38983050847457,96.77966101694915,60.0,600.0,335048.0
700.0,1.845112478,1.5628168746389242E-7,700.0,95.0,36.131386861313906,-191.6666666666672,-59.09090909090901,68.80668091041134,97.39389426656739,38.59649122807017,64.88721804511279,98.34586466165413,31.428571428571427,73.23008849557522,96.46017699115043,50.0,700.0,336184.0
800.0,1.99335033,1.6919004108503254E-7,800.0,94.375,78.45601436265709,-246.15384615384656,63.114754098360635,89.2322872633844,96.6740576496674,81.78137651821864,88.84444444444445,96.88888888888889,80.80000000000001,89.62353111852603,96.46017699115043,82.78688524590164,800.0,336600.0
900.0,2.136168262,1.816314601370837E-7,900.0,93.66666666666667,81.58042138825455,-103.57142857142878,71.64179104477611,90.79570485833024,95.93727726300784,85.64231738035265,91.16564239332097,95.5965909090909,86.73469387755102,90.42875750005338,96.28040057224607,84.5771144278607,900.0,336736.0
1000.0,2.285100284,1.9461074099134444E-7,1000.0,93.4,82.54032919415685,-3.1250000000000053,74.31906614785994,91.27962540623541,95.58232931726907,86.95652173913044,91.7133246701854,95.07323568575234,88.35341365461848,90.85000864096024,96.09690444145357,85.60311284046692,1000.0,336872.0
1100.0,2.430847889,2.073109948010846E-7,1100.0,88.63636363636364,71.07698779974757,-30.208333333333336,61.53846153846153,85.9360731084671,92.25046497210167,78.7052810902896,88.47537758020732,88.78281622911695,88.16793893129771,83.53846153846153,96.0,71.07692307692308,1100.0,336832.0
1200.0,2.533860208,2.162888445937923E-7,1200.0,86.91666666666666,66.64282324945644,-34.18803418803417,56.267409470752085,83.84795756186134,91.09472490073739,75.35321821036106,86.712105369934,87.09327548806941,86.33093525179856,81.16696862403492,95.48156956004756,66.85236768802228,1200.0,336888.0
1300.0,2.631545776,2.2480285551074063E-7,1300.0,83.92307692307692,59.85709895513214,-67.20000000000003,50.11933174224343,81.00853488518291,88.97097625329815,70.35460992907801,84.92469069392146,83.13609467455622,86.7132867132867,77.4376318947605,95.68671963677639,59.188544152744626,1300.0,336904.0
1400.0,2.727201202,2.331426962869283E-7,1400.0,82.35714285714286,57.44586592371268,-70.3448275862069,48.326359832635994,79.85798622869697,87.64382191095548,69.16354556803995,83.54778064282449,81.33704735376045,85.75851393188854,76.48031839098195,95.01084598698482,57.94979079497908,1400.0,337016.0
1500.0,2.826250818,2.417798988191535E-7,1500.0,80.2,53.0410034784442,-65.92178770949722,44.48598130841123,77.95029272182542,86.02352941176471,66.05714285714286,81.89655172413792,78.79310344827586,85.0,74.3668587477604,94.71502590673575,54.01869158878505,1500.0,337072.0
1600.0,2.929745003,2.5080617052432767E-7,1600.0,78.625,50.15921362314828,-53.363228699551534,42.42424242424242,76.7973906508605,84.7864768683274,64.07563025210085,80.96330481562445,76.73107890499195,85.19553072625699,73.03920584238676,94.73161033797217,51.34680134680135,1600.0,337128.0
1700.0,3.036909323,2.601536429277745E-7,1700.0,78.41176470588235,50.75427496148114,-52.91666666666664,43.79785604900459,77.08464881549205,84.37633035334186,65.08087535680303,81.02165975808381,76.1136712749616,85.92964824120602,73.51252246994622,94.65138490926456,52.37366003062787,1700.0,337168.0
1800.0,3.140214047,2.6916510114395985E-7,1800.0,78.77777777777779,52.09030100334447,-34.5070422535211,45.42857142857143,77.6412483646319,84.48415922014622,66.43233743409492,81.32983324281375,76.3582966226138,86.3013698630137,74.27272727272727,94.54545454545455,54.0,1800.0,337192.0
1900.0,3.238671915,2.7775416686887743E-7,1900.0,79.42105263157895,54.76443896700466,-29.4701986754967,49.08854166666667,78.81142796426619,84.53934361407671,69.23682140047207,81.9981328919824,76.521116678597,87.47514910536779,75.86314782096584,94.43462897526503,57.291666666666664,1900.0,337208.0
2000.0,3.339798903,2.865760758146912E-7,2000.0,80.25,56.700750666479586,-18.263473053892195,51.113861386138616,79.66460546062093,85.0887127217818,70.7623982235381,82.69009329445328,77.35072065888812,88.02946593001842,76.85269785367798,94.5469798657718,59.15841584158416,2000.0,337208.0
2100.0,3.4358042,2.9494940093860644E-7,2100.0,80.95238095238095,59.193666857096225,-7.816711590296507,54.648526077097515,80.79355452070749,85.20710059171599,73.2620320855615,83.38718374755044,77.5235531628533,89.25081433224756,78.35640003127688,94.58128078817734,62.131519274376416,2100.0,337136.0
2200.0,3.532846563,3.0341277450531507E-7,2200.0,81.63636363636364,61.35064031483053,-1.50753768844219,57.69633507853405,81.76924308619616,85.3623188405797,75.36585365853658,83.98737683987376,77.75577557755776,90.21897810218978,79.66525789019954,94.61847389558233,64.71204188481676,2200.0,337120.0
2300.0,3.62959765,3.1184974378130493E-7,2300.0,82.17391304347827,62.79447795878591,-0.7371007371007077,59.60591133004927,82.42794986867477,85.58368495077356,76.65148063781322,84.44303634202693,78.06286080821039,90.82321187584346,80.50679496271876,94.70817120622567,66.30541871921181,2300.0,337080.0
2400.0,3.725806798,3.202382597489571E-7,2400.0,82.75,64.18003426257593,3.944315545243618,61.23595505617977,83.01283463261409,85.88957055214725,77.81350482315112,84.8145645011405,78.65168539325843,90.97744360902256,81.28606134224113,94.5945945945946,67.97752808988764,2400.0,337032.0
2500.0,3.822920617,3.28705453373235E-7,2500.0,83.32000000000001,65.47629140195733,9.150326797385642,62.70125223613597,83.5761976304192,86.24216430221048,78.82173692229557,85.22349834212095,79.26015767131595,91.18683901292597,81.99137129824035,94.57308248914616,69.40966010733453,2500.0,337024.0
