learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.370157022,6.316322101466358E-9,100.0,59.0,25.12783053323593,37.878787878787875,-24.242424242424267,65.24305191999643,60.19417475728156,57.73195876288659,64.93055555555556,86.11111111111111,43.75,65.55857078245137,46.26865671641791,84.84848484848484,100.0,65960.0
200.0,0.476127328,8.12941368688312E-9,200.0,63.5,29.332042594385282,45.11278195488722,-8.955223880597025,66.14134299323328,67.2645739910314,58.75706214689266,65.30303030303031,83.33333333333334,47.27272727272727,67.00145887105823,56.390977443609025,77.61194029850746,200.0,66136.0
300.0,0.538971137,9.20502565495256E-9,300.0,74.0,46.81818181818182,61.0,22.000000000000007,74.34494867639116,78.33333333333331,67.5,72.99107142857143,88.125,57.85714285714286,75.75,70.5,81.0,300.0,66160.0
400.0,0.594800222,1.0164273551338249E-8,400.0,69.25,33.12309699869508,53.75939849624059,7.518796992481209,66.65434831127676,76.11650485436894,56.84210526315789,66.16086587436332,79.03225806451613,53.289473684210535,67.15524766973614,73.40823970037454,60.902255639097746,400.0,66416.0
500.0,0.642166951,1.0978318435880873E-8,500.0,68.4,27.43772503490338,52.409638554216876,4.81927710843374,63.741286180333645,76.76470588235293,50.625,64.01546430448164,75.43352601156069,52.5974025974026,63.46944664887093,78.1437125748503,48.795180722891565,500.0,66432.0
600.0,0.692552414,1.1844660412958926E-8,600.0,67.83333333333333,23.31125827814569,51.62907268170426,3.5000000000000133,61.86663308429664,77.15976331360946,45.63380281690141,62.75824574121059,73.25842696629213,52.25806451612903,61.0,81.5,40.5,600.0,66464.0
700.0,0.740284488,1.2666762277152802E-8,700.0,67.28571428571428,19.93966757231899,50.752688172043,2.136752136752129,60.403485438382596,77.30426164519328,41.432225063938624,61.7077805538938,71.8232044198895,51.59235668789809,59.153185869924066,83.69098712446352,34.61538461538461,700.0,66576.0
800.0,0.783180584,1.3406283064683278E-8,800.0,67.0,17.465825693451198,50.37593984962406,1.123595505617987,59.366546224729056,77.51277683134582,38.028169014084504,60.963117769993815,70.98283931357254,50.943396226415096,57.851466155110984,85.36585365853658,30.337078651685395,800.0,66640.0
900.0,0.818447158,1.4014418275174167E-8,900.0,66.22222222222223,14.446529080675438,49.16387959866222,-1.3333333333333084,57.90753342419572,77.21139430284857,34.76394849785408,59.47933423065559,70.16348773841962,48.795180722891565,56.41666666666667,85.83333333333333,27.0,900.0,66656.0
1000.0,0.853104528,1.4612263580655887E-8,1000.0,66.0,12.69649707533265,48.79518072289157,-2.1021021021021045,57.13795397415933,77.3030707610147,32.27091633466136,58.80204216777392,69.67509025270758,47.928994082840234,55.56546051298675,86.80659670164917,24.324324324324326,1000.0,66680.0
1100.0,0.887688263,1.5208910245030292E-8,1100.0,65.9090909090909,11.390936742795265,48.63013698630137,-2.4590163934426217,56.58862466921618,77.45039085989175,30.16759776536313,58.345136252903515,69.32185145317546,47.368421052631575,54.93478357975611,87.73841961852861,22.131147540983605,1100.0,66688.0
1200.0,0.922744068,1.5813991377953856E-8,1200.0,65.75,10.327272727272714,48.43161856963613,-2.7499999999999964,56.123078950785874,77.47945205479452,28.52173913043478,57.91637630662021,68.97560975609755,46.85714285714286,54.43750000000001,88.375,20.5,1200.0,66720.0
1300.0,0.958129538,1.6425202101299335E-8,1300.0,66.0,10.17917269797005,48.842592592592595,-2.07852193995381,56.19727611039538,77.78894472361809,27.54098360655738,58.19007802949122,68.92252894033838,47.45762711864407,54.33644725380983,89.27335640138409,19.399538106235568,1300.0,66768.0
1400.0,0.994097492,1.7046697348074782E-8,1400.0,66.21428571428571,10.232078950222315,49.19441460794844,-1.2847965738758187,56.38144379447974,78.03065490013935,26.89335394126739,58.592896174863384,68.85245901639344,48.333333333333336,54.330852331017574,90.03215434083602,18.629550321199144,1400.0,66792.0
1500.0,1.02877333,1.7645937709270252E-8,1500.0,66.66666666666666,11.03202846975089,49.89979959919839,0.0,56.97789682161402,78.39239412273122,27.11370262390671,59.51293759512938,69.02587519025876,50.0,54.65,90.7,18.6,1500.0,66800.0
