learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.112272118,1.742134971578916E-8,100.0,48.0,13.67861885790172,22.388059701492537,-57.5757575757576,61.47569280984213,38.095238095238095,55.172413793103445,63.95663956639566,88.88888888888889,39.02439024390244,59.180035650623886,24.242424242424242,94.11764705882352,100.0,599808.0
200.0,0.24756553,3.843425136206051E-8,200.0,55.00000000000001,23.397735977530004,32.835820895522396,-36.36363636363637,67.21887643368844,50.0,59.09090909090909,69.1141704908914,95.74468085106383,42.48366013071895,65.42475591964987,33.83458646616541,97.01492537313433,200.0,600360.0
300.0,0.307729564,4.778526560315242E-8,300.0,67.33333333333333,40.48582995951417,51.0,1.010101010101,74.65559355153884,67.97385620915031,66.66666666666666,74.31433573234779,98.11320754716981,50.51546391752577,75.0,52.0,98.0,300.0,600792.0
400.0,0.360285513,5.597445711562824E-8,400.0,53.75,10.615064985263555,30.451127819548862,-12.121212121212132,55.69467570609444,52.926208651399484,54.54545454545454,55.7334481588768,65.40880503144653,46.058091286307054,55.65595716198126,44.44444444444444,66.86746987951807,400.0,602312.0
500.0,0.418715217,6.507985599840474E-8,500.0,49.6,0.7389434211977457,24.324324324324323,-8.620689655172423,50.386356688250636,45.21739130434783,53.333333333333336,50.39577391098884,53.8860103626943,46.90553745928339,50.37694298435969,38.951310861423224,61.80257510729614,500.0,602376.0
600.0,0.479062013,7.448437979077092E-8,600.0,49.0,-2.0000000000000018,23.308270676691723,-2.341137123745829,48.95959493392708,40.92664092664092,55.13196480938417,48.91925644843653,48.62385321100918,49.21465968586388,49.0,35.333333333333336,62.66666666666667,600.0,602400.0
700.0,0.526802796,8.19246624068088E-8,700.0,50.0,1.3655834326387295,24.731182795698924,-5.421686746987946,50.727899833580835,42.622950819672134,55.69620253164557,50.76215127983894,53.278688524590166,48.24561403508772,50.693694578057006,35.51912568306011,65.86826347305389,700.0,602424.0
800.0,0.567986839,8.834309335694751E-8,800.0,52.5,7.275799593721599,28.57142857142857,-4.109589041095876,53.920389300963336,46.778711484593835,57.11060948081265,54.0890982521822,59.430604982206404,48.747591522158,53.75272951526326,38.56812933025404,68.93732970027247,800.0,602424.0
900.0,0.608712239,9.469004593313775E-8,900.0,55.44444444444444,13.515456506110704,32.943143812709025,-0.753768844221123,57.28660331018972,51.51148730350664,58.78725590955807,57.52517732199753,65.13761467889908,49.91273996509599,57.05,42.6,71.5,900.0,602424.0
1000.0,0.649803287,1.0109466418133221E-7,1000.0,52.5,6.687830521526619,28.463855421686752,-2.370689655172416,53.5416425624176,47.28079911209767,56.778889899909004,53.66362333251546,58.03814713896458,49.28909952606635,53.420215074504505,39.8876404494382,66.95278969957081,1000.0,602488.0
1100.0,0.6951224,1.0815828587605722E-7,1100.0,51.54545454545455,3.9117095619567133,27.086183310533524,-0.3766478342749323,52.05493850951264,44.76683937823834,56.84210526315789,52.13567839195981,54.2713567839196,50.0,51.97444831591174,38.095238095238095,65.85365853658537,1100.0,602488.0
1200.0,0.739257833,1.1503741438073209E-7,1200.0,51.5,3.0000000000000027,26.976160602258474,2.6755852842809316,51.570512155609926,43.16406250000001,57.70348837209303,51.64121766193348,52.12264150943396,51.15979381443299,51.5,36.833333333333336,66.16666666666666,1200.0,602488.0
1300.0,0.78024309,1.2142562843573383E-7,1300.0,51.23076923076923,3.1510570894084227,26.535341830822723,-0.47543581616480235,51.65955445486981,43.794326241134755,56.92934782608696,51.73160173160174,53.46320346320347,50.0,51.58770758139843,37.08708708708709,66.08832807570978,1300.0,602496.0
1400.0,0.820536388,1.277059895081549E-7,1400.0,52.78571428571428,6.814034889856465,28.924731182795693,0.4518072289156563,53.60601794172785,46.477732793522264,57.763578274760384,53.752695232433304,57.171314741035864,50.33407572383074,53.460138961896945,39.15416098226466,67.76611694152923,1400.0,602496.0
1500.0,0.860698701,1.3396610069373623E-7,1500.0,54.2,10.054988216810688,31.024096385542176,1.434720229555246,55.341798837908804,48.845867460908416,58.539529269764635,55.542181194686435,60.40515653775322,50.67920585161965,55.14285714285714,41.0,69.28571428571428,1500.0,602512.0
