learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.215196505,2.4951516332146198E-8,100.0,72.0,-3.857566765578621,37.777777777777764,-7.692307692307699,41.860465116279066,83.72093023255813,?,36.734693877551024,73.46938775510205,0.0,48.64864864864865,97.2972972972973,0.0,100.0,448192.0
200.0,0.431239602,5.000700557958128E-8,200.0,73.0,15.027537372147934,32.5,1.8181818181818195,59.67600888301906,83.43558282208589,27.027027027027028,63.88485024716487,75.13812154696133,52.63157894736842,55.987460815047015,93.79310344827586,18.181818181818183,200.0,448296.0
300.0,0.567353661,6.579586367131315E-8,300.0,71.33333333333334,16.19567335801988,27.118644067796616,-6.172839506172817,58.70398791383698,81.77966101694915,32.8125,60.48271802203347,76.28458498023716,44.680851063829785,57.02688990360223,88.12785388127854,25.925925925925924,300.0,448384.0
400.0,0.636743955,7.38458094112927E-8,400.0,70.0,15.59994373329582,21.05263157894736,-17.647058823529427,57.895149334334064,80.51948051948054,34.78260869565217,58.50590581377513,77.9874213836478,39.02439024390244,57.297012764837476,83.22147651006712,31.372549019607842,400.0,448432.0
500.0,0.7066366,8.195490063088843E-8,500.0,68.4,18.29220362823988,20.20202020202022,-18.79699248120298,59.148365608910915,78.59078590785909,39.69465648854961,59.2385967111724,78.16711590296495,40.310077519379846,59.05840896519228,79.01907356948229,39.097744360902254,500.0,448480.0
600.0,0.780682241,9.054705711641453E-8,600.0,68.33333333333333,20.6746826987308,19.491525423728813,-21.794871794871785,60.3705684601014,78.16091954022988,42.42424242424242,60.02104581512061,79.81220657276995,40.229885057471265,60.724185724185716,76.57657657657657,44.871794871794876,600.0,448544.0
700.0,0.826647124,9.58813310270653E-8,700.0,67.42857142857143,20.64044552732334,16.788321167883215,-23.243243243243274,60.39258973091535,77.15430861723446,43.28358208955224,59.901155413076864,79.71014492753623,40.09216589861751,60.89215429021254,74.75728155339806,47.02702702702703,700.0,448592.0
800.0,0.873428498,1.0131045641190683E-7,800.0,67.625,21.86675113504382,15.909090909090914,-25.12077294685988,61.080094976368436,77.1806167400881,44.3010752688172,60.36714436911811,80.81180811808119,39.922480620155035,61.81008708686691,73.86172006745363,49.75845410628019,800.0,448600.0
900.0,0.919732896,1.066850897204731E-7,900.0,66.55555555555556,20.77279427247842,11.988304093567255,-30.303030303030276,60.61756891663853,76.16785431512272,43.94785847299814,59.76926123984948,80.97643097643098,38.56209150326798,61.49030341855455,71.898355754858,51.082251082251084,900.0,448672.0
1000.0,0.966717839,1.1213949301235585E-7,1000.0,65.8,20.093457943925248,6.557377049180333,-36.79999999999999,60.404197890382484,75.46628407460545,43.56435643564357,59.37783515946682,81.67701863354037,37.07865168539326,61.46666666666667,70.13333333333334,52.800000000000004,1000.0,448736.0
1100.0,1.015266437,1.1777602125143219E-7,1100.0,65.45454545454545,21.922864272799274,5.472636815920402,-36.69064748201441,61.52061836712258,74.66666666666667,45.714285714285715,60.25528107480882,82.59587020648968,37.91469194312796,62.84023875789879,68.1265206812652,57.55395683453237,1100.0,448784.0
1200.0,1.063010833,1.2331977391423659E-7,1200.0,63.083333333333336,19.819004524886868,-1.6055045871559699,-47.66666666666666,60.7307353667661,72.2257053291536,44.96894409937888,59.35964100007123,82.87769784172662,35.84158415841584,62.16666666666667,64.0,60.333333333333336,1200.0,448832.0
1300.0,1.109917498,1.287668374537242E-7,1300.0,61.46153846153845,18.504374461951187,-6.144067796610185,-57.547169811320806,60.30772321141431,70.54673721340389,44.27141268075639,58.85026296323781,83.44923504867872,34.251290877796905,61.83920634310673,61.099796334012225,62.57861635220125,1300.0,448880.0
1400.0,1.156463975,1.3417303728242508E-7,1400.0,60.642857142857146,18.693874109363804,-8.039215686274499,-59.71014492753623,60.59396091042535,69.37187326292384,44.955044955044954,59.084874114870175,83.87096774193549,34.29878048780488,62.18215536781373,59.14691943127962,65.21739130434783,1400.0,448960.0
1460.0,1.188303684,1.3787123261011516E-7,1460.0,60.2054794520548,18.959870681254518,-8.80149812734081,-60.05509641873279,60.8502104796508,68.64543982730707,45.54826616682286,59.32201479076479,84.12698412698413,34.51704545454545,62.45922387879792,57.976298997265275,66.94214876033058,1460.0,448976.0
