learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.080881253,6.389866419072366E-9,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,305384.0
200.0,0.183804804,1.509605895984711E-8,200.0,96.0,53.703703703703674,-100.0,-33.33333333333333,79.05462887005133,97.90575916230367,55.55555555555556,70.56737588652481,99.46808510638297,41.66666666666667,89.86254295532646,96.3917525773196,83.33333333333334,200.0,326976.0
300.0,0.236806962,1.9582196869301714E-8,300.0,91.66666666666666,26.122931442080354,-525.0000000000014,-316.66666666666646,70.10125559906784,95.57522123893806,28.571428571428577,58.43618781015396,99.63099630996311,17.24137931034483,87.58503401360545,91.83673469387756,83.33333333333334,300.0,327176.0
400.0,0.278518806,2.3113146726983702E-8,400.0,91.5,20.671955202986478,-749.999999999999,-466.6666666666659,68.61297448902498,95.5026455026455,22.727272727272727,56.440825821459725,99.72375690607734,13.157894736842104,87.47884940778341,91.6243654822335,83.33333333333334,400.0,327216.0
500.0,0.309722964,2.5754868639432308E-8,500.0,89.60000000000001,13.7244491637909,-766.6666666666657,-549.9999999999993,63.432183995863724,94.45628997867803,16.129032258064516,54.29330675967448,99.32735426008968,9.25925925925926,76.27032520325203,90.04065040650406,62.5,500.0,327248.0
600.0,0.337091669,2.8072960023929676E-8,600.0,88.66666666666667,14.572864321608103,-750.0000000000013,-579.9999999999976,64.71929069851893,93.91771019677996,17.073170731707314,54.5770202020202,99.43181818181817,9.722222222222223,79.49152542372882,88.98305084745762,70.0,600.0,327400.0
700.0,0.363430745,3.0309185386275254E-8,700.0,88.28571428571429,20.07352122089791,-583.3333333333337,-272.72727272727207,64.34631071717402,93.65325077399382,24.074074074074076,56.825240512082416,98.53420195439739,15.11627906976744,74.16197371949585,89.23303834808259,59.09090909090909,700.0,328184.0
800.0,0.389789589,3.255254432163305E-8,800.0,88.5,62.344466273739364,-607.6923076923082,24.590163934426222,82.03319721774031,92.93394777265745,69.1275167785235,77.73892773892774,96.9551282051282,58.52272727272727,86.82963392813966,89.23303834808259,84.42622950819673,800.0,328984.0
900.0,0.416057346,3.478907517482009E-8,900.0,88.55555555555556,69.44708115804461,-267.8571428571432,48.75621890547264,85.05122430984204,92.38728750923873,76.95749440715885,82.74222421123294,95.565749235474,69.91869918699187,87.49279354301453,89.4134477825465,85.57213930348259,900.0,329120.0
1000.0,0.442623478,3.705150557627281E-8,1000.0,89.0,72.59195399434897,-71.87500000000013,57.19844357976655,86.48328592906515,92.39280774550484,80.14440433212998,84.88440593703753,95.02133712660029,74.74747474747475,88.14355515289263,89.90578734858681,86.38132295719845,1000.0,329192.0
1100.0,0.469689057,3.9356750061325734E-8,1100.0,84.81818181818181,62.9711751662971,-73.95833333333336,48.6153846153846,81.50889592469254,89.3426930440332,73.61769352290678,82.01659451659451,88.38383838383838,75.64935064935064,81.0074441687345,90.32258064516128,71.6923076923077,1100.0,329232.0
1200.0,0.493441273,4.1380032746423453E-8,1200.0,83.58333333333333,59.65897843700725,-68.37606837606835,45.12534818941504,79.91953885191698,88.53984874927285,71.071953010279,80.91476959209949,86.67425968109339,75.15527950310559,78.94849280767357,90.48751486325803,67.40947075208913,1200.0,329272.0
1300.0,0.517030261,4.338941119681216E-8,1300.0,80.92307692307692,53.785861111031465,-98.40000000000005,40.81145584725536,77.28178463549204,86.5945945945946,66.93333333333334,79.24667720483009,82.6625386996904,75.83081570996978,75.41197218391989,90.91940976163451,59.90453460620525,1300.0,329272.0
1400.0,0.541672781,4.54890425631942E-8,1400.0,80.07142857142857,52.96084164687633,-92.41379310344834,41.63179916317991,77.01769710637626,85.75803981623277,66.82520808561236,79.20668064001106,81.00289296046287,77.41046831955923,74.94645077555614,91.1062906724512,58.78661087866108,1400.0,329352.0
1500.0,0.563099446,4.731471585786177E-8,1500.0,78.2,49.127756228090206,-82.68156424581011,38.87850467289721,75.39321374386148,84.34657730971757,64.10537870472008,78.02017869311729,78.38078291814946,77.6595744680851,72.9373880199506,91.29533678756476,54.57943925233645,1500.0,329360.0
1600.0,0.584167176,4.9109936661931374E-8,1600.0,76.875,46.75799349584137,-65.9192825112107,37.710437710437716,74.49070426684409,83.28816621499547,62.474645030425954,77.44796594134343,76.32450331125827,78.57142857142857,71.75097562771519,91.65009940357854,51.85185185185185,1600.0,329384.0
1700.0,0.604867405,5.087397054016176E-8,1700.0,76.94117647058823,47.99803353908341,-63.33333333333327,39.96937212863706,75.11925697541983,83.04498269896193,63.970588235294116,77.94466403162055,75.8893280632411,80.0,72.49152029206176,91.69054441260745,53.29249617151608,1700.0,329408.0
1800.0,0.625331109,5.261797526619086E-8,1800.0,77.77777777777779,50.358521787093224,-40.84507042253519,42.857142857142854,76.25346962718716,83.4983498349835,65.98639455782312,78.97382517961867,76.43504531722054,81.5126050420168,73.71428571428571,92.0,55.42857142857143,1800.0,329432.0
1900.0,0.645535814,5.433999061684434E-8,1900.0,78.63157894736842,53.452054530006954,-34.437086092715255,47.135416666666664,77.68035052855058,83.68167202572349,69.0548780487805,80.0209851639771,76.76991150442478,83.27205882352942,75.47275287102472,91.96113074204946,58.984375,1900.0,329448.0
