learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.028133139,4.76800475002577E-10,100.0,56.99999999999999,26.066024759284723,34.84848484848484,-30.303030303030333,68.39616507381987,53.76344086021505,59.81308411214954,69.69854469854471,96.15384615384616,43.24324324324324,67.14156490275893,37.3134328358209,96.96969696969697,100.0,65512.0
200.0,0.06474487,1.098963118493557E-9,200.0,67.0,39.03002309468823,50.37593984962406,1.4925373134328375,73.11528708404205,68.26923076923077,65.625,72.53333333333333,94.66666666666667,50.4,73.7066546964426,53.383458646616546,94.02985074626866,200.0,65688.0
300.0,0.0809751,1.3748728312800329E-9,300.0,77.0,54.70459518599563,65.5,31.00000000000001,79.50762155909923,79.88338192419826,73.15175097276266,77.83840363458198,95.8041958041958,59.87261146496815,81.25,68.5,94.0,300.0,65712.0
400.0,0.096698079,1.643200699997445E-9,400.0,71.5,40.0898652021967,57.14285714285713,14.285714285714283,70.4672495130669,77.01612903225805,62.500000000000014,69.48083454633674,83.4061135371179,55.55555555555556,71.48207597645799,71.53558052434457,71.42857142857143,400.0,65968.0
500.0,0.112965564,1.920888425670564E-9,500.0,71.39999999999999,36.9533013544018,56.92771084337349,13.855421686746968,68.51893764257254,78.1010719754977,58.789625360230545,68.14544761772805,79.9373040752351,56.353591160220994,68.89654426087584,76.34730538922156,61.44578313253012,500.0,65984.0
600.0,0.126750278,2.1563090979514852E-9,600.0,71.66666666666667,35.76826196473552,57.39348370927318,15.00000000000001,67.88898477445474,78.90818858560795,56.85279187817258,68.02854095779797,78.32512315270937,57.73195876288659,67.75,79.5,56.00000000000001,600.0,66016.0
700.0,0.138835065,2.3630479104734133E-9,700.0,69.85714285714286,29.96548061603825,54.623655913978496,9.829059829059847,65.06879398754187,78.08930425752855,51.7162471395881,65.65947408589467,75.65392354124748,55.66502463054187,64.48864678478412,80.68669527896995,48.29059829059829,700.0,66128.0
800.0,0.146566535,2.4954409667518406E-9,800.0,69.625,27.855711422845697,54.3233082706767,8.988764044943828,64.15063620873444,78.36153161175422,49.05660377358491,65.1452784503632,74.57627118644068,55.714285714285715,63.185909732908904,82.55159474671669,43.82022471910113,800.0,66192.0
900.0,0.154058601,2.623765499873294E-9,900.0,68.44444444444444,24.333925399644745,52.508361204013376,5.333333333333334,62.43659938558809,77.70800627943485,46.00760456273764,63.49097975368294,73.44213649851632,53.53982300884957,61.416666666666664,82.5,40.33333333333333,900.0,66208.0
1000.0,0.161217483,2.7464276866573427E-9,1000.0,68.5,23.634882615905287,52.560240963855435,5.405405405405411,62.181888569413125,77.95661301609518,44.83362521891418,63.4393127329672,73.0971128608924,53.78151260504202,60.973342157749954,83.50824587706147,38.43843843843844,1000.0,66232.0
1100.0,0.167731079,2.8580468521970842E-9,1100.0,69.36363636363636,25.328337764885987,53.83561643835616,7.923497267759563,63.112023114610786,78.65737808739709,45.73268921095008,64.58869938507948,73.49112426035504,55.68627450980392,61.70135941990142,84.60490463215258,38.79781420765027,1100.0,66240.0
1200.0,0.173998016,2.965491066744758E-9,1200.0,69.91666666666667,26.67569397427218,54.7051442910916,9.750000000000023,63.82389463825393,79.04817179338363,46.67651403249631,65.41042981018575,73.78114842903575,57.03971119133574,62.31249999999999,85.125,39.5,1200.0,66272.0
1300.0,0.179936899,3.067384669035673E-9,1300.0,70.38461538461539,27.69765049867677,55.439814814814824,11.085450346420332,64.36859081816976,79.4007490636704,47.332421340629274,66.05279374137632,74.05189620758483,58.053691275167786,62.7681394524934,85.58246828143022,39.95381062355658,1300.0,66320.0
1400.0,0.186444574,3.1790774585120377E-9,1400.0,71.21428571428572,29.8129506426556,56.713211600429645,13.704496788008566,65.4584177026013,79.9602187966186,48.92268694550063,67.26022424780189,74.58256029684601,59.93788819875776,63.7506282834264,86.17363344051448,41.32762312633833,1400.0,66344.0
1500.0,0.193824301,3.3057527590977647E-9,1500.0,72.13333333333334,31.995661605206088,58.116232464929865,16.400000000000023,66.59385796698636,80.61224489795917,50.4739336492891,68.5458075158928,75.17301038062284,61.91860465116279,64.75,86.9,42.6,1500.0,66352.0
