learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.908456985,1.445269593698904E-7,100.0,62.0,29.42050520059435,43.28358208955224,-15.151515151515166,67.22498700141128,63.46153846153846,60.416666666666664,66.8081494057725,86.8421052631579,46.774193548387096,67.64705882352942,50.0,85.29411764705883,100.0,614960.0
200.0,1.334410363,2.1235296168859635E-7,200.0,72.0,45.61522773623384,58.2089552238806,15.151515151515133,74.99201872938171,74.99999999999999,68.18181818181817,73.67678193366267,92.3076923076923,55.04587155963303,76.35506677140613,63.1578947368421,89.55223880597015,200.0,615512.0
300.0,1.547011352,2.4623165887454525E-7,300.0,79.33333333333333,57.72727272727273,69.0,37.37373737373736,80.01296637108918,82.77777777777779,74.16666666666666,78.34821428571428,93.125,63.57142857142857,81.75,74.5,89.0,300.0,615976.0
400.0,1.683837608,2.6808976218789197E-7,400.0,62.5,23.57077346377255,43.60902255639097,9.090909090909086,61.807746914339155,67.10526315789474,56.395348837209305,61.706650470695415,68.91891891891892,54.49438202247191,61.90917516218721,65.38461538461539,58.43373493975904,400.0,617512.0
500.0,1.808624122,2.8802657320384973E-7,500.0,55.00000000000001,9.458197855970115,32.43243243243244,3.017241379310348,54.73006128062746,58.25602968460112,51.19305856832972,54.7374871001032,57.720588235294116,51.75438596491229,54.72263747568758,58.80149812734082,50.64377682403433,500.0,617576.0
600.0,1.999248118,3.1848324798827167E-7,600.0,53.333333333333336,6.666666666666665,29.824561403508763,6.354515050167215,53.336004139749946,54.248366013071895,52.38095238095237,53.33867521367522,53.205128205128204,53.47222222222222,53.333333333333336,55.333333333333336,51.33333333333333,600.0,617600.0
700.0,2.166804846,3.452554235349741E-7,700.0,54.285714285714285,8.49972223129962,31.182795698924725,3.6144578313252977,54.25160098979088,55.67867036011081,52.8023598820059,54.247778939116806,56.46067415730337,52.03488372093024,54.25542357907136,54.91803278688525,53.59281437125748,700.0,617624.0
800.0,2.286934345,3.6444968731628527E-7,800.0,57.75,15.342855174918455,36.46616541353383,7.397260273972614,57.6853534142198,59.85748218527315,55.4089709762533,57.66106591461928,61.61369193154034,53.70843989769821,57.70966138278659,58.198614318706696,57.22070844686649,800.0,617624.0
900.0,2.399642967,3.824582450735776E-7,900.0,60.55555555555555,20.81784386617099,40.63545150501672,10.804020100502495,60.440895225270964,63.212435233160626,57.48502994011977,60.38190582128291,65.59139784946237,55.172413793103445,60.5,61.0,60.0,900.0,617624.0
1000.0,2.537147532,4.0443096955478397E-7,1000.0,56.89999999999999,13.623792536775007,35.090361445783124,7.112068965517223,56.81684899321746,58.91325071496662,54.67928496319663,56.8041237113402,60.0,53.608247422680414,56.829579977817424,57.865168539325836,55.793991416309005,1000.0,617688.0
1100.0,2.673687149,4.262494988895042E-7,1100.0,55.36363636363636,10.677074719677163,32.83173734610123,7.532956685499061,55.33897048680796,56.433007985803016,54.24044734389562,55.33730158730159,56.785714285714285,53.888888888888886,55.34063948698095,56.08465608465608,54.59662288930581,1100.0,617688.0
1200.0,2.810375477,4.4809179169586136E-7,1200.0,56.00000000000001,12.00000000000001,33.751568381430374,11.7056856187291,56.00003333368386,55.926544240400666,56.07321131447587,56.00006666740741,56.020066889632105,55.98006644518272,56.00000000000001,55.833333333333336,56.166666666666664,1200.0,617688.0
1300.0,2.945218206,4.6963944363153644E-7,1300.0,55.46153846153846,10.90620709246721,32.90845886442642,8.240887480190182,55.45388503234662,56.16956850870554,54.7302580140735,55.45239363275933,56.641221374045806,54.263565891472865,55.45537651215885,55.70570570570571,55.20504731861199,1300.0,617696.0
1400.0,3.100068008,4.943841937604381E-7,1400.0,55.85714285714286,11.660741306465363,33.5483870967742,6.927710843373506,55.833807119712574,57.14285714285714,54.49189985272459,55.82780010573176,58.110014104372354,53.54558610709117,55.83981542652957,56.20736698499318,55.472263868065966,1400.0,617696.0
1500.0,3.227439373,5.147384609228332E-7,1500.0,57.4,14.716611798202681,35.843373493975896,8.321377331420363,57.36830641241644,59.064702114029465,55.594162612925636,57.35269275701973,60.578186596583436,54.12719891745602,57.38392857142858,57.62500000000001,57.14285714285714,1500.0,617712.0
