learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.743987156,1.2371048344022697E-7,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,642752.0
200.0,1.061124743,1.7669891262912915E-7,200.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,200.0,645856.0
300.0,1.24570663,2.0960845909314022E-7,300.0,99.66666666666667,0.0,50.00000000000083,0.0,?,99.83305509181972,?,?,99.66666666666667,?,50.0,100.0,0.0,300.0,689184.0
400.0,1.385107352,2.3448303132161084E-7,400.0,97.25,-0.45662100456595633,-449.9999999999989,-1000.0000000000222,49.30291508238276,98.60583016476552,?,49.871794871794876,99.74358974358975,0.0,48.7468671679198,97.4937343358396,0.0,400.0,689752.0
500.0,1.518990968,2.584191311459202E-7,500.0,96.6,-0.7109004739337023,-325.0,-750.0,49.1353001017294,98.2706002034588,?,49.79381443298969,99.58762886597938,0.0,48.493975903614455,96.98795180722891,0.0,500.0,691080.0
600.0,1.633793003,2.789466219080757E-7,600.0,96.16666666666667,-0.6124234470690486,-474.99999999999625,-1050.0000000000118,49.02293967714528,98.04587935429056,?,49.82728842832469,99.65457685664938,0.0,48.24414715719064,96.48829431438128,0.0,600.0,691176.0
700.0,1.783493679,3.0572014589693193E-7,700.0,94.85714285714286,-0.5426109160548978,-800.0000000000059,-1699.9999999999766,48.68035190615835,97.3607038123167,?,49.849849849849846,99.69969969969969,0.0,47.56446991404012,95.12893982808023,0.0,700.0,691328.0
800.0,1.937434485,3.332532790065909E-7,800.0,93.5,-0.4830917874395173,-1199.999999999998,-2500.000000000053,48.320413436692505,96.64082687338501,?,49.86666666666667,99.73333333333333,0.0,46.8671679197995,93.734335839599,0.0,800.0,691360.0
900.0,2.103825223,3.6301349313149645E-7,900.0,92.88888888888889,-0.4324173524898974,-1499.99999999999,-3099.99999999998,48.15668202764977,96.31336405529954,?,49.88066825775656,99.76133651551312,0.0,46.5478841870824,93.0957683741648,0.0,900.0,691368.0
1000.0,2.265716647,3.919693067217846E-7,1000.0,92.0,-0.391526955125101,-1899.9999999999973,-3899.9999999999945,47.91666666666667,95.83333333333334,?,49.891540130151846,99.78308026030369,0.0,46.09218436873748,92.18436873747495,0.0,1000.0,691376.0
1100.0,2.440943943,4.233520721646461E-7,1100.0,91.9090909090909,-0.5298611681592029,-1383.3333333333242,-2866.666666666709,47.891994315490294,95.78398863098059,?,49.85207100591716,99.70414201183432,0.0,46.08021877848678,92.16043755697356,0.0,1100.0,692296.0
1200.0,2.566096862,4.4576664335945834E-7,1200.0,91.75,-0.4872107186358918,-1549.9999999999989,-3200.000000000071,47.84876140808344,95.69752281616688,?,49.86413043478261,99.72826086956522,0.0,45.98997493734336,91.97994987468672,0.0,1200.0,692296.0
1300.0,2.72930031,4.7499596804212786E-7,1300.0,92.07692307692308,-0.4501125281320184,-1616.6666666666806,-3333.333333333279,47.93752503003604,95.87505006007208,?,49.875,99.75,0.0,46.1449498843485,92.289899768697,0.0,1300.0,692296.0
1400.0,2.861238364,4.986260128109034E-7,1400.0,92.28571428571428,-0.41841004184116504,-1699.9999999999793,-3500.000000000052,47.99405646359584,95.98811292719168,?,49.88416988416988,99.76833976833976,0.0,46.24194702934861,92.48389405869722,0.0,1400.0,692304.0
1500.0,2.990737459,5.218192411449056E-7,1500.0,92.60000000000001,-0.39070978945092577,-1749.9999999999973,-3599.9999999999945,48.07892004153687,96.15784008307374,?,49.89224137931034,99.78448275862068,0.0,46.392785571142284,92.78557114228457,0.0,1500.0,692304.0
1600.0,3.140716997,5.486808177959879E-7,1600.0,92.9375,-0.3663817031198094,-1783.333333333319,-3666.6666666667497,48.169744088111436,96.33948817622287,?,49.899328859060404,99.79865771812081,0.0,46.55604257983719,93.11208515967438,0.0,1600.0,692312.0
1700.0,3.268591202,5.715832937277627E-7,1700.0,93.17647058823529,-0.34499954203602357,-1833.3333333333283,-3766.666666666778,48.23386114494519,96.46772228989038,?,49.9054820415879,99.8109640831758,0.0,46.67059516794343,93.34119033588686,0.0,1700.0,692312.0
1702.0,3.288673895,5.751801363675877E-7,1702.0,93.18448883666275,-0.3445927401731146,-1833.333333333348,-3766.666666666696,48.236009732360095,96.47201946472019,?,49.905601006922595,99.81120201384519,0.0,46.674514420247206,93.34902884049441,0.0,1702.0,692312.0
