learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,6.944145809,4.356308266057332E-5,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,2.4249464E7
200.0,14.580001145,9.465998047792852E-5,200.0,99.0,82.81786941580755,50.0,66.66666666666666,91.40893470790378,99.48453608247422,83.33333333333334,91.40893470790378,99.48453608247422,83.33333333333334,91.40893470790378,99.48453608247422,83.33333333333334,200.0,2.5866592E7
300.0,22.028708041,1.445315292017247E-4,300.0,98.33333333333333,65.84699453551899,-25.00000000000063,16.666666666666483,83.76520206834793,99.14529914529915,66.66666666666667,77.60595647193585,99.65635738831615,55.55555555555556,90.98639455782313,98.63945578231292,83.33333333333334,300.0,2.58806E7
400.0,29.514430826,1.9466404914309925E-4,400.0,97.75,51.638903815153256,-124.99999999999945,-49.99999999999963,78.42302048344624,98.84763124199743,52.63157894736842,69.10157026436097,99.74160206718346,38.46153846153847,90.65143824027074,97.96954314720813,83.33333333333334,400.0,2.5887384E7
500.0,36.975894638,2.446442965964395E-4,500.0,96.39999999999999,34.21052631578954,-200.0,-125.0,69.87284494333745,98.14814814814815,35.714285714285715,62.18749999999999,99.375,25.0,79.72560975609755,96.95121951219512,62.5,500.0,2.5892664E7
600.0,44.573979305,2.955523035925127E-4,600.0,95.66666666666667,33.33333333333339,-225.00000000000063,-159.9999999999992,70.60518731988472,97.75862068965516,35.0,61.40350877192983,99.47368421052632,23.333333333333332,83.05084745762711,96.10169491525423,70.0,600.0,2.5898984E7
700.0,52.336820031,3.475932256898227E-4,700.0,95.14285714285714,44.58930899608871,-183.33333333333377,-54.54545454545442,73.98207076451267,97.45508982035929,46.87500000000001,67.32522796352583,98.93617021276596,35.714285714285715,82.09975864843122,96.01769911504425,68.18181818181817,700.0,2.5913536E7
800.0,59.834013983,3.979418272224196E-4,800.0,93.25,73.88655157406063,-315.38461538461576,55.73770491803277,86.94327578703032,96.01769911504425,77.8688524590164,86.94327578703032,96.01769911504425,77.8688524590164,86.94327578703032,96.01769911504425,77.8688524590164,800.0,2.5959184E7
900.0,67.147281542,4.470882221624611E-4,900.0,92.11111111111111,76.63858910239537,-153.57142857142878,64.6766169154229,88.3680544124542,94.97523000707714,81.65374677002585,89.46191379777717,93.97759103641457,84.94623655913979,87.30062135673565,95.99427753934192,78.60696517412936,900.0,2.5976616E7
1000.0,74.840365725,4.988061231947432E-4,1000.0,91.8,77.85208433494132,-28.12500000000005,68.0933852140078,89.01072752720471,94.56953642384106,83.26530612244899,90.32180447762029,93.08996088657105,87.55364806866953,87.73716817403418,96.09690444145357,79.37743190661479,1000.0,2.59862E7
1100.0,82.451779767,5.499942815410399E-4,1100.0,87.18181818181819,66.87313114053823,-46.87499999999998,56.61538461538461,84.05440062078829,91.34438305709023,75.30647985989494,87.25890596142496,87.11943793911007,87.39837398373984,81.07692307692307,96.0,66.15384615384615,1100.0,2.5996E7
1200.0,89.743259792,5.990445118951523E-4,1200.0,85.91666666666666,63.34241940031957,-44.44444444444443,52.924791086350965,82.57085550160453,90.54280917739229,72.43066884176183,86.45977260242047,85.51797040169133,87.4015748031496,79.01672302836191,96.19500594530321,61.83844011142061,1200.0,2.6003256E7
1300.0,96.953666715,6.475583569405662E-4,1300.0,82.6923076923077,55.9418945135985,-80.00000000000007,46.30071599045345,79.56938211985768,88.29953198127926,66.76514032496306,84.53741314407297,81.47792706333973,87.59689922480621,75.1528556993436,96.3677639046538,53.93794749403341,1300.0,2.600808E7
1400.0,104.57071394,6.988274675031693E-4,1400.0,80.42857142857143,51.441071030725304,-88.96551724137939,42.67782426778242,77.75760167201908,86.63414634146342,63.46666666666667,83.11170212765957,78.72340425531915,87.5,73.05157970212109,96.31236442516268,49.7907949790795,1400.0,2.6017856E7
1500.0,111.901356419,7.481788018325985E-4,1500.0,78.26666666666667,47.039519998267146,-82.12290502793306,39.065420560747654,75.99308243932892,85.07326007326007,60.04901960784315,81.6993101515448,76.21000820344544,87.18861209964413,71.03191128758898,96.26943005181347,45.794392523364486,1500.0,2.6023112E7
