learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.46153633,3.7196374242773484E-8,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,311528.0
200.0,0.656071328,5.3936929014345835E-8,200.0,97.5,53.271028037383125,-25.0,16.666666666666664,76.78437846622127,98.71465295629821,54.54545454545454,79.23076923076924,98.46153846153847,60.0,74.48453608247422,98.96907216494846,50.0,200.0,332640.0
300.0,0.762944636,6.313935630584343E-8,300.0,96.33333333333334,33.57487922705311,-175.0000000000002,-83.33333333333296,67.97360590127482,98.11320754716981,35.29411764705882,63.117332494495116,98.96193771626297,27.27272727272727,73.63945578231292,97.27891156462584,50.0,300.0,332840.0
400.0,0.844128272,7.013059017697556E-8,400.0,96.5,28.49846782431053,-250.0,-133.33333333333331,66.306634871651,98.2051282051282,30.0,60.32568467801628,99.22279792746113,21.428571428571427,73.60406091370558,97.20812182741116,50.0,400.0,332880.0
500.0,0.908406106,7.566383055528419E-8,500.0,95.19999999999999,18.077553249590284,-300.0,-200.0,61.107338956242565,97.52577319587628,20.0,56.29516926588056,98.9539748953975,13.636363636363635,66.81910569105692,96.13821138211382,37.5,500.0,332752.0
600.0,0.983316224,8.211527740872568E-8,600.0,95.16666666666667,23.751095530236817,-262.5000000000007,-189.99999999999912,64.74129077219945,97.50215331610681,25.641025641025646,58.18286128389396,99.12434325744309,17.24137931034483,72.96610169491525,95.9322033898305,50.0,600.0,332904.0
700.0,1.048147071,8.771155294842811E-8,700.0,94.28571428571428,32.75696445725267,-233.33333333333374,-81.81818181818163,67.52482596927645,97.01046337817638,35.483870967741936,62.916666666666664,98.33333333333333,27.500000000000004,72.86135693215338,95.72271386430678,50.0,700.0,333672.0
800.0,1.109475164,9.301815910918845E-8,800.0,93.875,77.0001642845408,-276.9230769230774,59.83606557377047,88.53656662989722,96.362286562732,80.63241106719367,87.43652939901185,97.01046337817638,77.86259541984732,89.66463562067798,95.72271386430678,83.60655737704919,800.0,334472.0
900.0,1.166445391,9.794992741842236E-8,900.0,93.66666666666667,81.90399593633593,-103.57142857142878,71.64179104477611,90.95731232850756,95.908111988514,85.99508599508599,90.60252930807755,96.25360230547551,84.9514563106796,91.31488480345055,95.56509298998569,87.06467661691542,900.0,334624.0
1000.0,1.223148767,1.0285965129490528E-7,1000.0,93.2,82.23958795844064,-6.250000000000011,73.54085603112843,91.12036780612667,95.4177897574124,86.8217054263566,91.01652259546998,95.54655870445345,86.48648648648648,91.22445025163523,95.28936742934052,87.15953307392996,1000.0,334696.0
1100.0,1.278502847,1.0765334682818088E-7,1100.0,88.36363636363636,70.79746966711605,-33.33333333333329,60.61538461538461,85.62035571641387,91.98998748435544,78.73754152823919,87.43348934732926,89.30741190765492,85.5595667870036,83.88089330024813,94.83870967741936,72.92307692307692,1100.0,334752.0
1200.0,1.333453338,1.1241288740020039E-7,1200.0,87.33333333333333,68.05951017577775,-29.914529914529915,57.66016713091921,84.3964815659787,91.31428571428572,76.61538461538461,86.73290009413313,87.8987898789879,85.56701030927834,82.18263838976678,95.00594530321045,69.35933147632312,1200.0,334808.0
1300.0,1.402001091,1.1835015575917231E-7,1300.0,85.38461538461539,64.21482694174405,-52.00000000000004,54.65393794749402,82.76740625027219,89.81779206859592,74.11444141689373,85.71267424059302,85.0761421319797,86.34920634920636,80.01782526365407,95.11918274687855,64.9164677804296,1300.0,334808.0
1400.0,1.464215375,1.2374013785379628E-7,1400.0,84.42857142857143,63.10730311001084,-50.34482758620693,54.393305439330554,82.27371311813715,88.911495422177,73.86091127098322,85.11666451418485,83.71647509578544,86.51685393258427,79.61453634540158,94.79392624728851,64.43514644351464,1400.0,334888.0
1500.0,1.516887408,1.283035287425791E-7,1500.0,82.53333333333333,59.294436906377214,-46.36871508379891,51.02803738317758,80.59331754294526,87.44007670182168,71.33479212253829,83.68588166897723,81.35593220338984,86.01583113456465,77.72117572998887,94.50777202072538,60.93457943925233,1500.0,334896.0
1600.0,1.582311917,1.339721727479808E-7,1600.0,81.5,57.5949457759695,-32.73542600896862,50.16835016835015,79.9698266522831,86.55767484105358,70.34068136272545,83.28173118315176,79.68227424749163,86.88118811881188,76.91125971444063,94.73161033797217,59.09090909090909,1600.0,334920.0
1700.0,1.635113776,1.385476857125283E-7,1700.0,81.29411764705883,57.96979983175482,-32.499999999999915,51.30168453292497,80.16003150086578,86.17391304347827,71.0909090909091,83.28110967682038,79.0901835594573,87.47203579418344,77.2644367119064,94.65138490926456,59.87748851454824,1700.0,334960.0
1800.0,1.690350304,1.4333451639140852E-7,1800.0,81.55555555555556,58.95604395604397,-16.901408450704192,52.57142857142857,80.55517473580719,86.22406639004149,72.10084033613445,83.43199875369996,79.31297709923663,87.55102040816325,77.87012987012987,94.45454545454545,61.285714285714285,1800.0,334984.0
1900.0,1.742836977,1.4788326023849347E-7,1900.0,82.05263157894737,60.981444053931,-12.91390728476824,55.59895833333333,81.47887055491223,86.24445340863252,74.18622255866768,83.98456955447173,79.3615441722346,88.60759493670885,79.11835615429919,94.43462897526503,63.802083333333336,1900.0,335000.0
2000.0,1.794398248,1.5235201778524245E-7,2000.0,82.45,61.94049271339348,-5.089820359281407,56.55940594059407,81.84854708824672,86.48440508278783,74.98218104062724,84.1660934836568,79.9288256227758,88.40336134453781,79.65520964848163,94.21140939597315,65.0990099009901,2000.0,335016.0
2100.0,1.848008542,1.5699847281019515E-7,2100.0,83.0,63.86932232207918,3.7735849056603397,59.523809523809526,82.76149370938657,86.5536723163842,76.89320388349515,84.7755032637754,79.95824634655533,89.59276018099548,80.84095707248416,94.33497536945814,67.3469387755102,2100.0,335024.0
2200.0,1.900384897,1.615379811717508E-7,2200.0,83.5909090909091,65.67640220238044,9.296482412060316,62.19895287958116,83.5962793079862,86.68388048690518,78.62640615748964,85.30664173583979,80.15006821282401,90.46321525885558,81.95315292583949,94.37751004016064,69.52879581151834,2200.0,335024.0
2300.0,1.955910851,1.6635058318254643E-7,2300.0,83.91304347826087,66.59509407151242,9.090909090909124,63.54679802955666,84.01963339403176,86.76680972818312,79.49002217294901,85.57624316482676,80.27796161482462,90.8745247148289,82.51864062410151,94.39688715953307,70.64039408866995,2300.0,335032.0
2400.0,2.0212005,1.7200943410587396E-7,2400.0,84.29166666666667,67.53274714296786,12.529002320185596,64.70037453183521,84.3999556442734,86.93240901213171,80.31331592689297,85.76898427919912,80.74694140373471,90.79102715466351,83.0739447312481,94.14414414414415,72.00374531835206,2400.0,335032.0
2500.0,2.074316698,1.7661328522108084E-7,2500.0,84.68,68.41818479270455,16.55773420479302,65.74239713774598,84.79570692339593,87.16917922948075,80.9925558312655,86.06511202865863,81.16032439176544,90.96989966555184,83.56320336345915,94.13892908827786,72.98747763864043,2500.0,335040.0
2600.0,2.137707589,1.821083522229911E-7,2600.0,85.03846153846155,69.62146069292146,15.250544662309377,68.06239737274221,85.37316986217533,86.99431628217987,82.39022181982797,86.34205675818225,80.85767557489125,91.82643794147326,84.42578638321937,94.13892908827786,74.71264367816092,2600.0,335080.0
2700.0,2.19124476,1.8674946681570265E-7,2700.0,85.37037037037038,70.60396247009405,13.943355119825751,70.03034901365706,85.84608411228913,86.82015348682016,83.56221389929254,86.54591887688862,80.55727554179568,92.53456221198157,85.15747668374439,94.13892908827786,76.17602427921094,2700.0,335096.0
2800.0,2.260700015,1.9277051334281557E-7,2800.0,85.57142857142857,71.20209854014601,11.982570806100243,70.76700434153402,86.14334519878707,86.56021290751829,84.42559753276794,86.61154116819141,80.11083743842364,93.11224489795919,85.68018386712906,94.13892908827786,77.22143864598026,2800.0,335096.0
2900.0,2.316297424,1.9759011402712308E-7,2900.0,85.82758620689656,71.82013686348833,10.45751633986929,70.260492040521,86.44525812680767,86.35911052107534,85.25296017222821,86.69201768918691,79.76701410177806,93.61702127659575,86.19989932674763,94.13892908827786,78.26086956521739,2900.0,335088.0
3000.0,2.367173608,2.0200054878812078E-7,3000.0,86.13333333333333,72.46307227384415,9.368191721132881,69.89869753979738,86.75477531750877,86.2160371106693,86.04963112005365,86.79240548078785,79.52322738386309,94.06158357771261,86.71717777034411,94.13892908827786,79.29542645241038,3000.0,335096.0
3100.0,2.41906287,2.0649891424054283E-7,3100.0,86.54838709677419,73.25945465587915,9.150326797385622,69.82633863965268,87.12954921710703,86.18747929778073,86.89091480666458,86.96904002662289,79.47464874770922,94.46343130553657,87.2906519713799,94.13892908827786,80.44237485448195,3100.0,335104.0
3200.0,2.471938947,2.1108304717335233E-7,3200.0,86.9375,73.96984736865048,9.71922246220301,69.88472622478386,87.46424465741264,86.21372031662268,87.58907363420427,87.14778050900993,79.50121654501217,94.79434447300771,87.783015567049,94.164265129683,81.40176600441501,3200.0,335120.0
3300.0,2.524969473,2.1568057018325358E-7,3300.0,86.93939393939394,73.9489081363368,8.879492600422815,69.66924700914849,87.44356636242485,86.11021592007735,87.67515012868172,87.08792581672591,79.42925089179548,94.74660074165637,87.80212347367605,94.018296973962,81.5859499733901,3300.0,335120.0
3400.0,2.578941871,2.2035974952430986E-7,3400.0,87.20588235294117,74.38272588581381,8.805031446540868,69.51646811492643,87.63907426358152,86.03531300160513,88.19538670284938,87.1510552774948,79.38388625592417,94.91822429906543,88.1325895383046,93.90329362298529,82.36188545362391,3400.0,335120.0
3500.0,2.633107395,2.2505567207528283E-7,3500.0,87.45714285714286,74.87551401771354,9.670781893004133,70.17663043478261,87.862965977053,86.30265210608424,88.43214756258234,87.38351145626477,79.80380842469705,94.96321448783249,88.34771085241402,93.9538043478261,82.74161735700197,3500.0,335120.0
3600.0,2.68565798,2.2961158622407464E-7,3600.0,87.55555555555556,75.05185927689372,9.127789046653113,70.42904290429041,87.91975561457593,86.37469586374695,88.5480572597137,87.44523073247036,80.09024252679075,94.80021893814997,88.39945865090107,93.72937293729373,83.0695443645084,3600.0,335120.0
3700.0,2.736058551,2.3398110322423907E-7,3700.0,87.83783783783784,75.60770509378509,9.456740442655924,71.17232543241514,88.17354598645633,86.6785079928952,88.81153654898061,87.71050890992049,80.5723720418272,94.8486457780138,88.6414978950152,93.78603459320948,83.49696119682093,3700.0,335120.0
3800.0,2.785211755,2.38242580492569E-7,3800.0,87.94736842105263,75.76999594867203,11.583011583011542,71.10410094637224,88.2377640206859,86.6316403969644,89.02731193100144,87.72633666979158,80.6083650190114,94.84430832057173,88.75518938126197,93.62776025236593,83.88261851015801,3800.0,335128.0
