learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,4.173406684,1.9488535702745043E-5,100.0,52.0,4.0000000000000036,51.515151515151516,4.0000000000000036,61.58770806658131,67.56756756756758,7.6923076923076925,75.51020408163265,51.02040816326531,100.0,52.0,100.0,4.0,100.0,1.8050568E7
200.0,8.433738242,3.940329006874262E-5,200.0,55.50000000000001,11.00000000000001,55.276381909547744,11.00000000000001,64.31363900639548,69.20415224913495,19.819819819819816,76.45502645502646,52.910052910052904,100.0,55.50000000000001,100.0,11.0,200.0,1.8068992E7
300.0,12.425926485,5.807533507093489E-5,300.0,58.333333333333336,16.666666666666675,58.19397993311037,16.666666666666675,65.18405031002591,70.30878859857482,30.167597765363123,73.85799720066166,54.61254612546126,93.10344827586206,58.333333333333336,98.66666666666667,18.0,300.0,1.8079368E7
400.0,16.417298241,7.675603469907698E-5,400.0,61.0,21.999999999999996,60.902255639097746,21.999999999999996,66.68952601590183,71.42857142857143,38.582677165354326,73.54956112181546,56.358381502890175,90.74074074074075,61.0,97.5,24.5,400.0,1.8091448E7
500.0,20.390227481,9.536465955472555E-5,500.0,63.2,26.400000000000002,63.126252505010015,26.400000000000002,68.8469536282411,72.70029673590504,43.558282208588956,75.60203574975174,57.78301886792453,93.42105263157895,63.2,98.0,28.4,500.0,1.8105304E7
600.0,24.333082084,1.1384111789332414E-4,600.0,63.33333333333333,26.66666666666666,63.27212020033388,26.66666666666666,68.41878441296741,72.56857855361596,44.72361809045226,74.39222701032604,57.96812749003985,90.81632653061224,63.33333333333333,97.0,29.666666666666668,600.0,1.8113736E7
700.0,28.325696466,1.325578020625829E-4,700.0,64.85714285714286,29.714285714285715,64.8068669527897,29.714285714285715,69.63146178189477,73.37662337662339,48.31932773109243,75.1645373596593,59.059233449477354,91.26984126984127,64.85714285714286,96.85714285714285,32.857142857142854,700.0,1.8120656E7
800.0,32.259668193,1.5101403127238354E-4,800.0,65.875,31.74999999999999,65.83229036295369,31.74999999999999,70.65623598119318,74.02473834443387,50.273224043715835,76.18583696739142,59.754224270353305,92.61744966442953,65.875,97.25,34.5,800.0,1.8134856E7
900.0,36.225194557,1.6962527508315178E-4,900.0,66.22222222222223,32.44444444444446,66.18464961067853,32.44444444444446,70.77697708466172,74.14965986394556,51.28205128205128,76.00455970361925,60.05509641873278,91.95402298850574,66.22222222222223,96.88888888888889,35.55555555555556,900.0,1.8141656E7
1000.0,40.19818306,1.882825423791962E-4,1000.0,67.2,34.400000000000006,67.16716716716718,34.400000000000006,71.54050492493276,74.69135802469135,53.40909090909091,76.48044142280027,60.80402010050251,92.15686274509804,67.19999999999999,96.8,37.6,1000.0,1.815236E7
1100.0,44.168271649,2.0693195137556713E-4,1100.0,67.9090909090909,35.81818181818181,67.87989080982712,35.81818181818181,71.87230815989017,74.98228206945429,55.259822560202785,76.32678747588433,61.440185830429726,91.21338912133892,67.9090909090909,96.18181818181817,39.63636363636363,1100.0,1.8157968E7
1200.0,48.147965539,2.2563204064276904E-4,1200.0,68.5,37.000000000000014,68.47372810675564,37.000000000000014,71.98969493567404,75.13157894736841,57.04545454545455,75.85403726708076,62.06521739130435,89.64285714285715,68.5,95.16666666666667,41.833333333333336,1200.0,1.8163368E7
1300.0,52.157832223,2.444808459691203E-4,1300.0,69.15384615384616,38.30769230769231,69.13010007698229,38.30769230769231,72.55603993815643,75.53386211104332,58.27263267429761,76.31031377304693,62.588473205257834,90.03215434083602,69.15384615384616,95.23076923076923,43.07692307692308,1300.0,1.8170056E7
1400.0,56.117495348,2.6309754852287307E-4,1400.0,69.42857142857143,38.857142857142854,69.40671908506076,38.857142857142854,72.85133316500752,75.73696145124715,58.687258687258684,76.62907268170427,62.78195488721805,90.47619047619048,69.42857142857143,95.42857142857143,43.42857142857143,1400.0,1.8173848E7
1500.0,60.100378919,2.81827867010963E-4,1500.0,69.53333333333333,39.06666666666667,69.5130086724483,39.06666666666667,72.86057247814398,75.75596816976127,59.0134529147982,76.522237644077,62.907488986784145,90.13698630136986,69.53333333333333,95.19999999999999,43.86666666666667,1500.0,1.817816E7
1600.0,64.078218996,3.0053780163176224E-4,1600.0,69.9375,39.87499999999999,69.91869918699186,39.87499999999999,73.12993878712723,75.96201899050476,59.883236030025024,76.62776842188737,63.28059950041632,89.97493734335839,69.9375,95.0,44.875,1600.0,1.81814E7
1700.0,68.049608579,3.19221349528683E-4,1700.0,70.70588235294117,41.41176470588235,70.68864037669216,41.41176470588235,73.82295019940264,76.46502835538753,61.21495327102804,77.22752455209266,63.90205371248025,90.55299539170507,70.70588235294117,95.17647058823529,46.23529411764706,1700.0,1.8185248E7
