learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.789883898,1.2359677501889569E-7,100.0,72.0,32.821497120921286,58.2089552238806,15.151515151515133,66.9493639311549,80.28169014084506,51.724137931034484,68.75,75.0,62.5,65.24064171122994,86.36363636363636,44.11764705882353,100.0,604848.0
200.0,1.214519862,1.901004034942223E-7,200.0,78.0,46.67313052963277,67.16417910447761,33.33333333333333,74.10231493399868,84.61538461538461,61.403508771929815,76.7765262133222,79.08496732026144,74.46808510638297,71.6081247895859,90.97744360902256,52.23880597014925,200.0,605384.0
300.0,1.422488971,2.2269436885334346E-7,300.0,81.33333333333333,54.347826086956516,72.0,43.43434343434343,78.20388349514562,87.03703703703704,66.66666666666666,81.69371196754564,81.03448275862068,82.35294117647058,75.0,94.0,56.00000000000001,300.0,605816.0
400.0,1.60715935,2.517094570227506E-7,400.0,66.25,26.434526728788626,49.24812030075187,18.181818181818173,64.1287881664728,74.57627118644068,49.814126394052046,65.85760517799353,66.66666666666666,65.0485436893204,62.488415199258576,84.61538461538461,40.36144578313253,400.0,607336.0
500.0,1.798609471,2.817929362519562E-7,500.0,56.00000000000001,9.1584771657445,33.93393393393394,5.172413793103453,55.03537908297339,65.18987341772153,40.21739130434783,55.62658548959919,56.43835616438356,54.81481481481482,54.45660735239748,77.15355805243446,31.759656652360512,500.0,607400.0
600.0,1.910461868,2.99369536365252E-7,600.0,54.666666666666664,9.333333333333327,31.829573934837086,9.030100334448148,55.181087311547884,62.637362637362635,42.3728813559322,55.705281460552044,53.271028037383175,58.139534883720934,54.666666666666664,76.0,33.33333333333333,600.0,607424.0
700.0,2.043641187,3.202982977096323E-7,700.0,56.00000000000001,10.384730489143081,33.76344086021506,7.228915662650619,55.56952800281171,63.93442622950821,43.58974358974359,56.03734921125889,55.942622950819676,56.132075471698116,55.10945322469814,74.59016393442623,35.62874251497006,700.0,607448.0
800.0,2.214192616,3.470999826956023E-7,800.0,58.375,13.835485289931949,37.406015037593974,8.76712328767124,57.37451899373259,66.59979939819458,44.776119402985074,58.03431902872942,58.86524822695035,57.20338983050848,56.729553020244026,76.6743648960739,36.78474114441417,800.0,607448.0
900.0,2.36027394,3.700562584133591E-7,900.0,60.111111111111114,16.490049108296713,39.966555183946504,9.798994974874372,58.67727853630259,68.25817860300619,46.337817638266074,59.3967797618697,61.17274167987322,57.62081784386617,57.975,77.2,38.75,900.0,607448.0
1000.0,2.46879651,3.8711207669300545E-7,1000.0,56.8,11.233849492060349,34.93975903614457,6.896551724137915,55.97204333372441,64.87804878048782,43.896103896103895,56.45984573502722,57.327586206896555,55.5921052631579,55.492597772098186,74.71910112359551,36.26609442060086,1000.0,607512.0
1100.0,2.567337798,4.025991988757025E-7,1100.0,55.00000000000001,8.9044441916336,32.284541723666216,6.779661016949172,54.79036340456837,62.8099173553719,43.037974683544306,55.18340189478933,54.712041884816756,55.654761904761905,54.402884077680824,73.72134038800705,35.0844277673546,1100.0,607512.0
1200.0,2.670728627,4.188484932962639E-7,1200.0,55.333333333333336,10.666666666666668,32.747804265997495,10.367892976588623,55.6873991708848,61.87766714082503,46.076458752515094,56.04602536811478,53.97022332506204,58.121827411167516,55.333333333333336,72.5,38.166666666666664,1200.0,607512.0
1300.0,2.807076036,4.402776508833633E-7,1300.0,54.769230769230774,8.785428579611077,31.865585168018544,6.814580031695729,54.63245423512559,61.66883963494134,44.8405253283302,54.90858081583888,54.493087557603694,55.32407407407407,54.35909095215089,71.02102102102103,37.69716088328076,1300.0,607520.0
1400.0,2.915269509,4.572824187850745E-7,1400.0,54.785714285714285,8.148670218279054,31.935483870967733,4.6686746987951775,54.257374619840114,61.93625977149729,44.327176781002635,54.49668268130863,55.376344086021504,53.61702127659574,54.02015908825941,70.25920873124147,37.78110944527736,1400.0,607536.0
1500.0,3.040674461,4.769928338791057E-7,1500.0,56.06666666666666,10.177192185370291,33.835341365461844,5.451936872309896,55.28472661250588,63.28690807799443,45.31120331950208,55.572416538136224,57.08542713567839,54.05940594059406,55.00000000000001,71.0,39.0,1500.0,607552.0
