learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.394864241,6.755902287751022E-9,100.0,74.0,26.512153759185956,60.60606060606061,21.2121212121212,71.11111111111111,83.75,35.0,86.02150537634408,72.04301075268818,100.0,60.60606060606061,100.0,21.21212121212121,100.0,66136.0
200.0,0.492255991,8.425847790922143E-9,200.0,79.5,46.222455403987404,69.17293233082707,38.80597014925374,77.27590762469573,86.55737704918033,56.84210526315789,86.58637873754154,76.74418604651163,96.42857142857143,69.77331388171922,99.24812030075188,40.298507462686565,200.0,66280.0
300.0,0.543743982,9.309122310943075E-9,300.0,85.0,62.395543175487454,77.49999999999999,54.99999999999999,83.304846321394,89.79591836734694,71.69811320754717,89.38392292003657,82.15767634854771,96.61016949152543,78.0,99.0,56.99999999999999,300.0,66312.0
400.0,0.591657317,1.0134544403677187E-8,400.0,69.25,31.111733408008956,53.93258426966292,26.347305389221553,68.81675713118943,78.15275310834812,48.101265822784804,74.04761904761905,66.66666666666666,81.42857142857143,64.27616869265759,94.4206008583691,34.13173652694611,400.0,66592.0
500.0,0.630220642,1.0799608450509195E-8,500.0,60.6,17.379634289548726,41.01796407185629,15.450643776824025,61.66846010859594,71.32459970887919,37.06070287539936,65.41666666666667,58.333333333333336,72.5,58.32650174406455,91.76029962546816,24.892703862660944,500.0,66664.0
600.0,0.66751933,1.1443248504576172E-8,600.0,55.166666666666664,10.333333333333329,32.917705735660846,10.333333333333329,57.76604813392071,66.99386503067485,30.129870129870124,60.62250142775557,53.00970873786408,68.23529411764706,55.166666666666664,91.0,19.333333333333332,600.0,66704.0
700.0,0.701522514,1.2030231233580661E-8,700.0,57.57142857142858,11.991804527829053,36.53846153846154,10.810810810810823,59.02891136112509,69.53846153846153,30.117647058823533,62.66089816933638,55.75657894736842,69.56521739130434,55.79489571315184,92.37057220708446,19.21921921921922,700.0,66728.0
800.0,0.730991119,1.2538935423836941E-8,800.0,60.12499999999999,15.101997365234379,40.37383177570093,13.07901907356947,61.004504005090844,71.69476486246673,32.55813953488372,65.42738295905606,58.21325648414985,72.64150943396226,57.14173342311104,93.30254041570439,20.98092643051771,800.0,66728.0
900.0,0.755661893,1.2964816666286855E-8,900.0,62.44444444444445,18.313641245972082,43.85382059800665,15.5,62.78724427195724,73.51097178683386,35.49618320610687,67.71907216494846,60.4381443298969,75.0,58.52499999999999,93.8,23.25,900.0,66728.0
1000.0,0.785149314,1.3473967723943709E-8,1000.0,58.4,12.636977239412472,37.81763826606875,10.920770877944312,59.12726535356365,70.15781922525109,31.353135313531354,62.5698744140576,56.79442508710801,68.34532374100719,56.04372647251428,91.74484052532833,20.342612419700217,1000.0,66744.0
1100.0,0.819322445,1.4064025626670986E-8,1100.0,55.36363636363636,8.674332093337817,33.28804347826086,7.879924953095667,56.52197924005375,67.63348714568227,28.111273792093705,59.00000000000001,54.0,64.0,54.24372375591888,90.47619047619048,18.01125703564728,1100.0,66744.0
1200.0,0.844522989,1.4499208532397948E-8,1200.0,52.916666666666664,5.833333333333335,29.638854296388544,5.833333333333335,54.576429434580994,65.56977452772699,25.559947299077734,56.34368259837239,51.681075888568685,61.0062893081761,52.916666666666664,89.66666666666666,16.166666666666664,1200.0,66752.0
1300.0,0.868943659,1.4920923957683975E-8,1300.0,55.07692307692308,8.403209265850284,32.87356321839081,7.740916271721959,56.3856657486263,67.41071428571428,27.722772277227726,58.84444444444444,53.68888888888888,64.0,54.12412277273686,90.55472263868066,17.69352290679305,1300.0,66752.0
1400.0,0.891833773,1.5316255906120773E-8,1400.0,56.714285714285715,10.330584626831914,35.32550693703308,9.145427286356826,57.74123261196343,68.85919835560124,29.039812646370027,60.772557542840254,55.23495465787304,66.31016042780749,54.9979444111505,91.40518417462484,18.590704647676162,1400.0,66760.0
1500.0,0.92420671,1.5875364360575462E-8,1500.0,58.333333333333336,12.42410088743578,37.74900398406375,10.714285714285724,59.0479651794673,70.1670644391408,30.939226519337016,62.52471984179302,56.75675675675676,68.29268292682927,55.93749999999999,91.875,20.0,1500.0,66760.0
