learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.763101737,1.194344745718936E-7,100.0,68.0,23.22456813819578,52.23880597014926,3.0303030303030334,62.00107454201979,77.46478873239437,44.82758620689655,63.26754385964912,72.36842105263158,54.166666666666664,60.7843137254902,83.33333333333334,38.23529411764706,100.0,604992.0
200.0,1.163014596,1.8207772390300406E-7,200.0,74.0,36.977336080475084,61.19402985074627,21.2121212121212,69.10605128671652,81.81818181818183,54.38596491228069,71.21401752190238,76.47058823529412,65.95744680851064,67.11929076422399,87.96992481203007,46.26865671641791,200.0,605496.0
300.0,1.438586238,2.252689797396523E-7,300.0,77.66666666666666,46.11260053619301,66.49999999999999,32.3232323232323,73.65735489393468,84.30913348946136,61.27167630057804,75.9489469555247,79.29515418502203,72.6027397260274,71.50000000000001,90.0,53.0,300.0,605848.0
400.0,1.664208195,2.6072111017926285E-7,400.0,66.0,26.905299365795997,48.87218045112782,17.575757575757578,63.94748681751007,73.64341085271319,52.11267605633804,65.04387546580116,67.37588652482269,62.71186440677966,62.887447224796624,81.19658119658119,44.57831325301205,400.0,607384.0
500.0,1.874449449,2.937634222357223E-7,500.0,58.8,15.555774181382892,38.13813813813813,11.206896551724125,58.153077752243945,66.006600660066,47.715736040609144,58.691071657597234,58.99705014749262,58.38509316770186,57.62485734034174,74.90636704119851,40.343347639484975,500.0,607512.0
600.0,2.078115248,3.2577104634709655E-7,600.0,57.666666666666664,15.333333333333332,36.34085213032581,15.05016722408026,57.95864175449217,62.64705882352941,51.153846153846146,58.253588516746404,56.05263157894736,60.45454545454545,57.666666666666664,71.0,44.333333333333336,600.0,607488.0
700.0,2.272584472,3.5633537135974396E-7,700.0,58.57142857142858,16.201578547604107,37.63440860215054,12.650602409638564,58.27445384123096,63.840399002493776,51.50501672240804,58.52446483180429,58.71559633027523,58.333333333333336,58.026569811197284,69.94535519125684,46.10778443113773,700.0,607528.0
800.0,2.435868946,3.8199845382699946E-7,800.0,59.875,18.094484773484048,39.661654135338345,12.054794520547956,59.1767005802112,65.52094522019334,52.01793721973094,59.430436979706904,61.24497991967871,57.615894039735096,58.92512160895092,70.43879907621246,47.41144414168937,800.0,607528.0
900.0,2.617740506,4.1058508850456524E-7,900.0,61.33333333333333,20.547945205479444,41.80602006688963,12.562814070351742,60.36712374035215,67.10775047258979,53.09973045822103,60.61120543293719,63.620071684587806,57.60233918128655,60.12499999999999,71.0,49.25,900.0,607576.0
1000.0,2.756959967,4.3246880403316887E-7,1000.0,58.099999999999994,14.868544028607403,36.89759036144578,9.69827586206895,57.538760036237356,63.53350739773717,50.763807285546406,57.72674479991553,59.34959349593496,56.1038961038961,57.35199562778287,68.35205992509363,46.3519313304721,1000.0,607608.0
1100.0,2.884954623,4.525865185167081E-7,1100.0,56.27272727272727,11.941709439262901,34.19972640218879,9.416195856873836,56.08578361068454,61.17836965294593,49.947970863683665,56.23678793947485,56.398809523809526,56.074766355140184,55.93558804940919,66.84303350970018,45.0281425891182,1100.0,607560.0
1200.0,3.018086158,4.735143834526298E-7,1200.0,57.08333333333333,14.16666666666666,35.38268506900878,13.879598662207346,57.23308333630999,61.01438304314913,52.27062094531975,57.38362110152045,55.89459084604715,58.872651356993735,57.08333333333333,67.16666666666666,47.0,1200.0,607640.0
1300.0,3.16361647,4.96390394157465E-7,1300.0,56.38461538461539,12.347669739433204,34.2989571263036,10.142630744849459,56.26767986713386,60.7068607068607,50.99394987035436,56.38800504957293,56.37065637065637,56.40535372848948,56.14786711001223,65.76576576576578,46.52996845425867,1300.0,607616.0
1400.0,3.289535812,5.161863489168095E-7,1400.0,56.714285714285715,12.539148112334205,34.83870967741936,8.734939759036155,56.36379031246227,61.74242424242424,50.16447368421054,56.50868259563913,57.46180963572268,55.55555555555556,56.219639157229025,66.71214188267395,45.72713643178411,1400.0,607696.0
1500.0,3.404861688,5.343164128052401E-7,1500.0,57.93333333333334,14.614343707713138,36.64658634538153,9.469153515064571,57.39868751550864,63.2069970845481,50.89494163424124,57.56620428751577,59.234972677595636,55.8974358974359,57.232142857142854,67.75,46.714285714285715,1500.0,607680.0
