learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.908701173,1.0822782728366553E-7,100.0,78.0,39.82494529540481,51.11111111111111,15.384615384615397,70.0467562828755,85.5263157894737,54.16666666666667,71.21212121212122,83.33333333333334,59.09090909090909,68.91891891891892,87.83783783783784,50.0,100.0,460384.0
200.0,1.338319123,1.5940760143050302E-7,200.0,72.5,37.7123442808607,31.25,0.0,69.33455995093529,79.70479704797047,57.364341085271306,67.85714285714286,85.71428571428571,50.0,70.87774294670847,74.48275862068967,67.27272727272727,200.0,460488.0
300.0,1.599010983,1.9046938603055558E-7,300.0,72.33333333333334,39.060205580029375,29.661016949152554,-2.4691358024691104,70.42517990418551,79.19799498746866,58.70646766169154,68.47222222222223,87.77777777777777,49.166666666666664,72.49281244715034,72.14611872146118,72.8395061728395,300.0,460576.0
400.0,1.823650465,2.1723827095137288E-7,400.0,70.75,34.61130050857877,23.02631578947369,-14.705882352941169,68.24084833914527,78.37338262476894,54.826254826254825,66.23286414510761,87.24279835390946,45.22292993630573,70.37439136728516,71.14093959731544,69.6078431372549,400.0,460624.0
500.0,2.061437194,2.4557678398367014E-7,500.0,71.39999999999999,36.89320388349515,27.777777777777775,-7.518796992481209,69.35547901370205,78.56071964017993,57.05705705705706,67.41666666666666,87.33333333333333,47.5,71.40910860256909,71.38964577656675,71.42857142857143,500.0,460672.0
600.0,2.269642115,2.7039329748029094E-7,600.0,71.33333333333334,36.8018812463257,27.118644067796616,-10.256410256410236,69.44818934947628,78.55361596009975,56.78391959798995,67.34152084583775,87.98882681564247,46.69421487603306,71.69092169092168,70.94594594594594,72.43589743589743,600.0,460736.0
700.0,2.45192116,2.92121898443227E-7,700.0,71.0,35.5789282799891,25.912408759124084,-9.729729729729764,68.6260868837531,78.38125665601704,55.9652928416486,66.76579163248564,86.79245283018868,46.73913043478261,70.5930202046707,71.45631067961165,69.72972972972973,700.0,460784.0
800.0,2.575937271,3.0690551426393496E-7,800.0,71.25,36.4434588575021,25.324675324675333,-11.111111111111088,69.25340455536086,78.544776119403,56.43939393939393,67.15444299195494,87.89144050104383,46.41744548286604,71.48780865328999,70.99494097807757,71.98067632850241,800.0,460792.0
900.0,2.692660211,3.2082190557932894E-7,900.0,71.0,35.74593796159527,23.68421052631578,-12.987012987012983,68.9048188178413,78.41191066997519,55.83756345177665,66.80555555555556,87.77777777777777,45.83333333333333,71.14029468289557,70.85201793721974,71.42857142857143,900.0,460864.0
1000.0,2.811186715,3.349552907641998E-7,1000.0,69.89999999999999,33.18534961154272,17.75956284153004,-20.40000000000002,67.67609528099526,77.6871756856931,53.76344086021506,65.5600148210442,87.47913188647746,43.64089775561097,69.93333333333334,69.86666666666666,70.0,1000.0,460928.0
1100.0,2.931104173,3.4925602573797314E-7,1100.0,70.36363636363636,34.0896057874693,18.90547263681592,-17.26618705035974,68.07333391780581,78.03234501347708,54.46927374301676,65.99139179737615,87.46223564954683,44.52054794520548,70.29092054823293,70.43795620437956,70.14388489208633,1100.0,460976.0
1200.0,3.081172435,3.671523894420535E-7,1200.0,69.66666666666667,32.96500920810313,16.513761467889896,-21.333333333333336,67.61015509321413,77.44733581164809,53.68956743002544,65.47532593284228,87.53501400560224,43.415637860082306,69.88888888888889,69.44444444444444,70.33333333333334,1200.0,460976.0
1300.0,3.22985753,3.8488565013044614E-7,1300.0,69.84615384615384,33.2977308662918,16.949152542372882,-23.27044025157235,67.90075108670212,77.65108323831242,53.664302600472816,65.60242973779243,88.21243523316062,42.99242424242424,70.365958318923,69.34826883910387,71.38364779874213,1300.0,461024.0
1400.0,3.346205934,3.9876461093391185E-7,1400.0,70.21428571428572,34.23453869550525,18.235294117647076,-20.869565217391283,68.381684053727,77.87798408488064,54.42622950819672,66.05897273303741,88.43373493975903,43.684210526315795,70.87368637955905,69.57345971563981,72.17391304347827,1400.0,461104.0
1460.0,3.421298727,4.077225859367868E-7,1460.0,69.86301369863014,33.749017682741936,17.602996254681653,-21.21212121212123,68.1235190392907,77.52808988764043,54.26195426195426,65.86296556979401,88.15331010452961,43.572621035058425,70.5447614455653,69.18869644484958,71.900826446281,1460.0,461120.0
