learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,5.259390593,3.268819616437081E-5,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,2.4024696E7
200.0,11.034394989,7.099702397142616E-5,200.0,99.0,79.50819672131144,50.0,66.66666666666666,90.69767441860466,99.48717948717947,80.0,99.48979591836735,98.9795918367347,100.0,83.33333333333333,100.0,66.66666666666666,200.0,2.5641824E7
300.0,16.811676499,1.0934189331945688E-4,300.0,98.33333333333333,60.691823899371045,-25.00000000000063,16.666666666666483,80.46113774357289,99.14821124361158,61.53846153846153,78.23013164310093,99.31740614334471,57.14285714285714,82.82312925170068,98.9795918367347,66.66666666666666,300.0,2.5655832E7
400.0,22.569848675,1.4757003627804982E-4,400.0,98.0,49.04458598726111,-100.0,-33.33333333333333,75.61753714337799,98.9795918367347,50.0,69.74358974358974,99.48717948717949,40.0,82.57191201353638,98.47715736040608,66.66666666666666,400.0,2.566252E7
500.0,28.281065171,1.8549410276824053E-4,500.0,97.0,33.392539964475915,-150.0,-87.5,67.96241467918762,98.4646878198567,34.78260869565218,62.92096219931271,99.17525773195877,26.666666666666668,73.8821138211382,97.76422764227642,50.0,500.0,2.56678E7
600.0,33.980010681,2.2334614574272306E-4,600.0,96.33333333333334,29.637526652452102,-175.0000000000002,-119.99999999999906,66.65234234391377,98.1164383561644,31.25,60.93111041207927,99.13494809688581,22.727272727272727,73.5593220338983,97.11864406779661,50.0,600.0,2.5674216E7
700.0,39.678377442,2.6121579684669494E-4,700.0,96.42857142857143,54.3795620437957,-108.33333333333344,-13.636363636363427,78.18329606032802,98.138495904691,56.14035087719298,72.40601503759399,99.09774436090225,45.714285714285715,84.96245642263341,97.1976401179941,72.72727272727273,700.0,2.5688768E7
800.0,45.482322526,2.9985562986757197E-4,800.0,95.25,81.62386962619082,-192.30769230769246,68.85245901639344,90.81193481309542,97.1976401179941,84.42622950819673,90.81193481309542,97.1976401179941,84.42622950819673,90.81193481309542,97.1976401179941,84.42622950819673,800.0,2.5734416E7
900.0,51.269043271,3.384068878538593E-4,900.0,94.77777777777779,84.75741589552887,-67.8571428571428,76.6169154228856,92.38991589991392,96.65480427046263,88.10126582278481,92.93317952162612,96.17563739376772,89.69072164948454,91.85296692503148,97.13876967095851,86.56716417910447,900.0,2.5751848E7
1000.0,57.009835203,3.766664007493619E-4,1000.0,94.19999999999999,84.57733932512562,9.374999999999844,77.43190661478597,92.31066028592276,96.12817089452605,88.44621513944223,92.9882416542776,95.36423841059603,90.61224489795919,91.64288220538253,96.90444145356662,86.38132295719845,1000.0,2.5761432E7
1100.0,62.726280688,4.147781494429989E-4,1100.0,89.27272727272727,72.61892205463558,-22.916666666666686,63.69230769230768,86.75771262387568,92.69801980198021,79.7945205479452,89.51101602706835,89.06064209274673,89.96138996138995,84.16873449131513,96.64516129032258,71.6923076923077,1100.0,2.5771232E7
1200.0,68.484776448,4.531810582990509E-4,1200.0,88.08333333333334,69.46097554030582,-22.22222222222216,60.16713091922007,85.37022941087274,91.91633691351045,77.33755942947703,88.65682048681542,87.60775862068965,89.70588235294117,82.31860200914815,96.6706302021403,67.96657381615599,1200.0,2.5778488E7
1300.0,74.317973811,4.920894253359461E-4,1300.0,85.38461538461539,63.481526383488315,-52.00000000000004,54.65393794749402,82.89937118951809,89.9789029535865,73.01136363636364,87.10742373174315,84.03940886699507,90.17543859649123,79.07915446484928,96.82179341657208,61.336515513126486,1300.0,2.5783312E7
1400.0,80.142843416,5.30956976318287E-4,1400.0,83.78571428571429,60.7198477245198,-56.55172413793109,52.51046025104602,81.70214681552082,88.68958644743398,71.37452711223203,85.93445980542755,82.02764976958525,89.84126984126985,77.86715254268056,96.52928416485899,59.20502092050209,1400.0,2.5793088E7
1500.0,86.121444001,5.708584558098452E-4,1500.0,81.46666666666667,55.784585043102076,-55.307262569832474,48.03738317757009,79.64012878838076,86.99719363891487,67.74941995359629,84.2902617768288,79.28388746803068,89.29663608562691,75.47624812357755,96.37305699481865,54.57943925233645,1500.0,2.5798344E7
1600.0,91.983590297,6.099894105958878E-4,1600.0,79.375,51.47094506658038,-47.98206278026906,44.44444444444443,77.96985272545915,85.47535211267606,64.4396551724138,83.10961016355914,76.69826224328594,89.52095808383234,73.4287875440957,96.52087475149106,50.33670033670033,1600.0,2.580276E7
1700.0,97.809854247,6.488860649602367E-4,1700.0,77.70588235294117,48.50345921199025,-57.916666666666586,41.960183767228195,76.59766351367787,84.13562159899539,62.512363996043504,81.5781914760759,74.8882265275708,88.26815642458101,72.19028771769702,95.98853868194843,48.39203675344563,1700.0,2.5806224E7
1800.0,103.848498084,6.892179704461074E-4,1800.0,77.44444444444444,48.30220713073006,-42.95774647887319,42.00000000000001,76.5040751126907,83.86327503974562,62.54612546125462,81.39344985875707,74.50564971751412,88.28125,72.16883116883118,95.9090909090909,48.42857142857142,1800.0,2.5817352E7
1900.0,109.883176725,7.295287005143683E-4,1900.0,76.84210526315789,48.11810206584283,-45.69536423841065,42.70833333333332,76.5300630143417,83.16755929609793,62.900505902192236,81.29063918537602,73.3468286099865,89.23444976076556,72.29622165783275,96.02473498233216,48.56770833333333,1900.0,2.5820752E7
2000.0,115.83584655,7.692969093809057E-4,2000.0,76.8,48.05473955721144,-38.92215568862271,42.57425742574259,76.42347862754303,83.11499272197962,62.93929712460064,81.06602746705575,73.39331619537275,88.73873873873875,72.28387268257028,95.80536912751678,48.76237623762376,2000.0,2.5824184E7
2100.0,121.719282641,8.086110851488738E-4,2100.0,76.47619047619048,48.54595450379134,-33.1536388140162,43.99092970521542,76.71601253333145,82.54416961130742,63.94160583941606,81.10533702151895,72.45657568238212,89.75409836065575,72.77738681679568,95.89490968801314,49.65986394557823,2100.0,2.5829768E7
2200.0,127.636592576,8.481552247383134E-4,2200.0,76.0909090909091,48.682699258089826,-32.16080402010053,44.921465968586375,76.82338641499187,81.94921070693205,64.6029609690444,80.96766222204168,71.53984421809467,90.3954802259887,73.08269728127168,95.90361445783132,50.26178010471204,2200.0,2.5832128E7
2300.0,133.733365557,8.889030692096283E-4,2300.0,75.8695652173913,48.70197717408775,-36.363636363636374,45.32019704433496,76.7945256183556,81.59203980099502,64.98422712933754,80.7245715444681,71.09826589595376,90.35087719298247,73.22938030706715,95.71984435797665,50.73891625615764,2300.0,2.5834912E7
2400.0,139.819350446,9.295864946672857E-4,2400.0,75.54166666666666,48.24135224978174,-36.19489559164737,45.03745318352058,76.54539710826687,81.25199616735867,64.82923906530857,80.36129334192873,70.70594774874931,90.01663893510815,73.07546310355299,95.4954954954955,50.655430711610485,2400.0,2.5839792E7
2500.0,145.878268908,9.700938024092203E-4,2500.0,76.08,49.57868692782772,-30.28322440087145,46.511627906976756,77.10929883142022,81.53180975911056,66.06129398410897,80.74668023131291,71.12068965517241,90.37267080745342,73.78549663576419,95.51374819102749,52.05724508050089,2500.0,2.5842864E7
2600.0,151.877338456,0.001010206933327307,2600.0,75.88461538461539,50.360224843638655,-36.601307189542496,48.52216748768473,77.49994008475123,80.80808080808082,67.56337299534403,80.67759826380517,70.026525198939,91.32867132867133,74.56311383278796,95.51374819102749,53.61247947454844,2600.0,2.5846696E7
2700.0,157.805793897,0.0010498547698276327,2700.0,75.96296296296296,51.451119203668696,-41.39433551198252,50.758725341426405,78.0072500409411,80.26755852842808,69.25627664613928,80.70012848396199,69.21866806502359,92.18158890290039,75.4882853246488,95.51374819102749,55.46282245827011,2700.0,2.5851176E7
2800.0,163.834167577,0.0010901761587096843,2800.0,76.32142857142857,52.86836757595547,-44.444444444444436,52.02604920405211,78.63991901016286,79.9273387829246,71.13626469307793,80.83037074807574,68.71421134825611,92.94653014789533,76.5650546314799,95.51374819102749,57.616361071932296,2800.0,2.5854592E7
2900.0,169.865963613,0.0011305303627014796,2900.0,76.20689655172413,53.168093077771395,-50.32679738562096,50.07235890014471,78.80815948620406,79.27927927927928,72.06477732793522,80.62460096975134,67.76180698151951,93.4873949579832,77.07176210605394,95.51374819102749,58.629776021080374,2900.0,2.5860952E7
3000.0,175.864902251,0.0011706705902633611,3000.0,76.3,53.7378835764932,-54.901960784313694,48.552821997105646,79.08202595880243,78.78245299910475,73.15968289920724,80.51276354789243,67.0391061452514,93.98642095053347,77.70124986807245,95.51374819102749,59.88875154511742,3000.0,2.586472E7
3100.0,182.068539208,0.0012121857636548199,3100.0,76.6774193548387,54.71952896834953,-57.516339869281076,47.68451519536902,79.51986990666826,78.50133809099019,74.51533309834333,80.54617616237185,66.63301362948006,94.45933869526363,78.51938864731818,95.51374819102749,61.52502910360885,3100.0,2.5868E7
3200.0,188.348645136,0.001254214986287771,3200.0,76.625,54.77794034073734,-61.55507559395252,46.10951008645532,79.54522975266656,77.97408716136631,75.09986684420771,80.28356373165057,65.93625498007968,94.63087248322147,78.82035231024676,95.38904899135446,62.251655629139066,3200.0,2.5869424E7
3300.0,194.696597091,0.001296702323850326,3300.0,76.9090909090909,55.325052614672984,-61.0993657505286,46.37579169598874,79.76911063858165,78.05299539170505,75.63938618925832,80.3905533007586,66.06533398342272,94.71577261809448,79.15720214422228,95.35538353272344,62.95902075572113,3300.0,2.5871896E7
3400.0,200.831305099,0.0013377639647034977,3400.0,77.14705882352942,55.797314843321246,-62.89308176100632,45.55010511562719,79.90531498099926,77.71723544594208,76.54693631150016,80.201782350384,65.77669902912622,94.6268656716418,79.61103133365609,94.95444989488438,64.26761277242777,3400.0,2.587288E7
3500.0,206.921265543,0.0013785276202914428,3500.0,77.45714285714286,56.36787310327044,-62.34567901234562,46.39945652173913,80.16865748433837,78.01616049038729,76.86895338610378,80.46262207499049,66.13131790269249,94.79392624728851,79.87683303318755,95.1086956521739,64.64497041420118,3500.0,2.5873848E7
3600.0,212.981756941,0.0014190964682259876,3600.0,77.66666666666666,56.73018706300762,-63.083164300202895,46.93069306930691,80.29142764325765,78.164041281912,77.14610574189882,80.55080473421181,66.40516843562528,94.69644103279833,80.03371560177601,94.98349834983499,65.08393285371703,3600.0,2.5875408E7
3700.0,219.129008475,0.0014602501585082438,3700.0,77.97297297297298,57.280637383373524,-63.98390342052317,47.789878283151836,80.51909432974772,78.44485585823855,77.47996684166895,80.76576576576576,66.8018018018018,94.72972972972973,80.2739250531375,95.00320307495195,65.54464703132304,3700.0,2.5877968E7
3800.0,225.352924248,0.001501919098392394,3800.0,78.26315789473685,57.83251496241763,-59.45945945945949,47.886435331230295,80.77228721376638,78.48958333333333,78.03191489361703,80.89036230168128,66.82926829268293,94.95145631067962,80.65455633015502,95.0788643533123,66.23024830699774,3800.0,2.5879216E7
3900.0,231.525165012,0.0015432435062540876,3900.0,78.56410256410257,58.38535589302112,-56.26168224299069,48.93097128894319,81.02414423115725,78.85685381891756,78.26313052522102,81.1789647830818,67.28528269313769,95.0726468730259,80.86991308751364,95.23518631643249,66.50463985859479,3900.0,2.5880112E7
4000.0,237.634813521,0.0015841513245665377,4000.0,78.75,58.739396328243146,-58.87850467289717,48.07574832009773,81.19304224465122,78.57862903225808,78.91865079365078,81.10385486059542,66.88116688116688,95.32654284002396,81.28242599782692,95.23518631643249,67.32966567922134,4000.0,2.588168E7
4100.0,243.691673539,0.0016247099412477276,4100.0,79.19512195121952,59.53118990081422,-58.8454376163873,48.20886460230724,81.54021556622465,78.62691054873466,79.73390354003325,81.24747331431192,66.93686006825939,95.55808656036446,81.83507500202347,95.26411657559198,68.40603342845495,4100.0,2.5884392E7
4200.0,249.918269286,0.0016664063724511839,4200.0,79.35714285714286,59.797297297297305,-58.500914076782394,48.021582733812956,81.64825713492567,78.55552807321295,80.10098691760386,81.23979812545062,66.86315789473684,95.61643835616438,82.06084421562277,95.20383693045564,68.91785150078988,4200.0,2.5885144E7
4300.0,256.150387174,0.0017081422462240472,4300.0,79.6046511627907,60.18905212129402,-60.036496350364956,47.48502994011975,81.82888931177399,78.38304165639634,80.69557561082985,81.21444766049592,66.61080854629242,95.81808677469942,82.45269916440883,95.20958083832335,69.69581749049429,4300.0,2.5886672E7
4400.0,262.38774826,0.00174991474351128,4400.0,79.81818181818183,60.550675097169425,-59.13978494623652,48.00936768149884,81.95548561058386,78.52998065764024,80.96054888507717,81.31334565298027,66.88632619439868,95.74036511156187,82.60784839110417,95.08196721311475,70.1337295690936,4400.0,2.5887608E7
4500.0,268.596316498,0.0017914966981599377,4500.0,80.0,60.86948204141112,-60.42780748663093,48.30557151062608,82.09579493838231,78.63247863247864,81.203007518797,81.41407303528221,67.0174018615945,95.81074420896994,82.78903006379414,95.11774842044802,70.46031170714026,4500.0,2.5889032E7
4600.0,274.764867146,0.0018328125367593252,4600.0,80.17391304347827,61.11607396918019,-62.277580071174384,47.796222095020035,82.2149024559739,78.47025495750708,81.62771958098308,81.37363851443747,66.77380474085979,95.97347228801516,83.07374255922375,95.13451631368059,71.01296880476691,4600.0,2.5890224E7
4700.0,281.063448216,0.0018750007817062459,4700.0,80.53191489361701,61.76300084645094,-61.94690265486731,48.854108440469524,82.48024432665993,78.81454040287103,81.9917339106475,81.63175534143276,67.27272727272727,95.99078341013825,83.3465571407696,95.1369480156512,71.55616626588801,4700.0,2.5891136E7
4800.0,287.368553086,0.0019172731103330278,4800.0,80.6875,62.015396671737435,-60.65857885615247,48.92561983471075,82.59184831716394,78.84044738644145,82.2379766238743,81.68203649263734,67.30319563522993,96.06087735004476,83.52215623572408,95.15151515151516,71.892797319933,4800.0,2.5915896E7
4900.0,293.596363393,0.0019590300948617843,4900.0,80.85714285714286,62.25532520845307,-60.891938250428815,48.77116329874387,82.6885659739654,78.77828054298642,82.56505576208178,81.6758114707917,67.24604094244883,96.10558199913457,83.72675149159002,95.08465319497542,72.36884978820463,4900.0,2.591768E7
5000.0,299.780744007,0.0020004974737756814,5000.0,80.88,62.15623331964728,-61.7597292724197,48.01522566612289,82.59218144320349,78.45876520955386,82.81193815174397,81.4528350778557,66.98730280877261,95.91836734693877,83.76385388879112,94.67101685698749,72.85669092059474,5000.0,2.5918672E7
5100.0,305.995524138,0.002042171670909578,5100.0,81.19607843137256,62.65274050950921,-61.72006745362552,48.21814254859613,82.8132908695575,78.531452876651,83.27228327228327,81.56545390892198,67.07456978967495,96.05633802816902,84.09990131823936,94.70842332613391,73.49137931034483,5100.0,2.5920528E7
5200.0,312.29592737,0.002084422087589929,5200.0,81.28846153846155,62.712350056422295,-62.98157453936349,47.57543103448277,82.85227704748004,78.32479394074404,83.53916427000507,81.47512964736478,66.76794530953285,96.18231398519673,84.27677982181159,94.71982758620689,73.83373205741627,5200.0,2.5921792E7
5300.0,318.618755688,0.0021268244045342883,5300.0,81.41509433962264,62.83435906373196,-63.3499170812604,47.09989258861438,82.9165969813476,78.17416352758697,83.81797272876622,81.42070935147161,66.54092795171633,96.30049075122687,84.46847922598818,94.73684210526315,74.2001163467132,5300.0,2.592272E7
5400.0,324.895966791,0.002168924387729254,5400.0,81.35185185185185,62.63259799717652,-65.3530377668309,46.54989384288748,82.79851068557959,77.95051456098095,83.84405583186266,81.25794698857061,66.34364517331346,96.17224880382776,84.39861814598233,94.47983014861995,74.31740614334471,5400.0,2.5924928E7
5500.0,331.145201257,0.002210841690799414,5500.0,81.54545454545455,62.88602522726451,-65.04065040650408,46.52265542676501,82.90145023514633,77.92998477929986,84.14310264021248,81.27936552153616,66.34579785264717,96.21293319042515,84.58959692806187,94.41517386722866,74.76401998889506,5500.0,2.5927992E7
5600.0,337.484423346,0.0022533663068286893,5600.0,81.83928571428571,63.27809658907731,-64.82982171799023,46.473684210526315,83.07656551637315,77.91530944625407,84.579226686884,81.33007064892941,66.32162661737523,96.33851468048358,84.89971550497866,94.42105263157895,75.37837837837837,5600.0,2.5930256E7
5700.0,343.8851493,0.002296305303184179,5700.0,82.05263157894737,63.573128111942204,-63.157894736842145,46.801872074882986,83.16692147217789,77.97631862217438,84.85566247224278,81.38552421406257,66.53196179279941,96.23908663532572,85.02804766678355,94.17576703068123,75.88032830288589,5700.0,2.5931344E7
5800.0,350.282077397,0.002339220344277071,5800.0,82.34482758620689,64.02786629016416,-60.2503912363067,47.18927282104177,83.36900026889298,78.11030354852502,85.20658769141866,81.52212067658236,66.70317634173057,96.34106501143417,85.30150154698892,94.22382671480143,76.37917637917639,5800.0,2.5932264E7
5900.0,356.646945482,0.002381922781000247,5900.0,82.59322033898306,64.46391791272362,-58.73261205564141,47.788510421962386,83.56387790502751,78.31961156850326,85.4594365000708,81.69461713244368,66.96750902527076,96.42172523961662,85.52068318715712,94.30604982206405,76.73531655225018,5900.0,2.5933768E7
