learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.504815864,4.094348370676239E-8,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,313512.0
200.0,0.704637247,5.826301958481471E-8,200.0,97.0,48.45360824742266,-50.0,0.0,74.22680412371135,98.4536082474227,50.0,74.22680412371135,98.4536082474227,50.0,74.22680412371135,98.4536082474227,50.0,200.0,335040.0
300.0,0.82147157,6.839568979138095E-8,300.0,95.33333333333334,27.983539094650222,-250.0000000000004,-133.33333333333297,66.03160443481585,97.58620689655172,30.0,60.18981018981019,98.95104895104895,21.428571428571427,73.12925170068027,96.25850340136054,50.0,300.0,335240.0
400.0,0.90365469,7.552402151717701E-8,400.0,95.0,21.25984251968497,-400.0,-233.33333333333334,64.02101172915017,97.41602067183462,23.076923076923077,57.10526315789474,99.21052631578947,15.0,72.84263959390863,95.68527918781726,50.0,400.0,335280.0
500.0,0.993839267,8.333928445766991E-8,500.0,93.4,13.176173437171288,-449.9999999999991,-312.4999999999993,59.54549423096274,96.56607700312175,15.384615384615383,54.305660636907625,98.93390191897655,9.67741935483871,65.90447154471545,94.3089430894309,37.5,500.0,334976.0
600.0,1.083611198,9.112231815961501E-8,600.0,93.33333333333333,17.808219178082346,-400.0000000000008,-299.9999999999987,62.888428529150644,96.5217391304348,20.0,55.80357142857143,99.10714285714286,12.5,72.03389830508475,94.0677966101695,50.0,600.0,335128.0
700.0,1.15349119,9.719406886368163E-8,700.0,92.57142857142857,24.481327800829842,-333.33333333333377,-136.36363636363603,63.9828690499213,96.0843373493976,27.77777777777778,59.07692307692308,98.15384615384616,20.0,69.77742021989809,94.10029498525073,45.45454545454545,700.0,335864.0
800.0,1.21945205,1.029381252387994E-7,800.0,92.25,71.72822617419061,-376.9230769230774,49.180327868852444,85.99451864588433,95.36621823617338,76.33587786259541,84.04761904761905,96.66666666666667,71.42857142857143,88.03375405000241,94.10029498525073,81.9672131147541,800.0,336616.0
900.0,1.28973799,1.0906129458139342E-7,900.0,92.0,77.41955717242679,-157.1428571428572,64.17910447761197,88.73823704944208,94.8051948051948,82.6086956521739,87.95743895688541,95.63318777292577,80.28169014084507,89.53302158734226,93.99141630901288,85.07462686567165,900.0,336752.0
1000.0,1.352880829,1.1456230205160257E-7,1000.0,91.7,78.56670660661902,-29.68750000000005,67.70428015564204,89.29964027817692,94.37288135593221,84.19047619047619,88.77232689013947,95.08196721311475,82.46268656716418,89.83325565197356,93.67429340511441,85.99221789883269,1000.0,336760.0
