learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.295537137,1.7156652056612076E-9,100.0,95.0,0.0,-400.0,-Infinity,?,?,97.43589743589743,50.0,0.0,100.0,?,?,95.0,100.0,22440.0
200.0,0.34595835,2.008372652344406E-9,200.0,97.0,0.0,-500.0,-Infinity,?,?,98.47715736040608,50.0,0.0,100.0,?,?,97.0,200.0,22440.0
300.0,0.373042158,2.1656007675454023E-9,300.0,98.0,0.0,-500.00000000000665,-Infinity,?,?,98.98989898989899,50.0,0.0,100.0,?,?,98.0,300.0,22440.0
400.0,0.397431528,2.3071870125830178E-9,400.0,98.25,0.0,-600.0000000000133,-Infinity,?,?,99.1172761664565,50.0,0.0,100.0,?,?,98.25,400.0,22440.0
500.0,0.41967221,2.436299599396686E-9,500.0,98.6,0.0,-600.0,-Infinity,?,?,99.29506545820746,50.0,0.0,100.0,?,?,98.6,500.0,22440.0
600.0,0.443128356,2.572468251362443E-9,600.0,98.83333333333333,0.0,-599.9999999999867,-Infinity,?,?,99.41324392288348,50.0,0.0,100.0,?,?,98.83333333333333,600.0,22440.0
700.0,0.465101488,2.700027645130952E-9,700.0,99.0,0.0,-599.9999999999923,-Infinity,?,?,99.49748743718592,50.0,0.0,100.0,?,?,99.0,700.0,22440.0
800.0,0.486191155,2.8224583089662094E-9,800.0,99.125,0.0,-600.0000000000177,-Infinity,?,?,99.56057752667921,50.0,0.0,100.0,?,?,99.125,800.0,22440.0
900.0,0.506960165,2.9430274806606272E-9,900.0,99.22222222222223,0.0,-600.00000000003,-Infinity,?,?,99.6095928611266,50.0,0.0,100.0,?,?,99.22222222222223,900.0,22440.0
1000.0,0.526908262,3.058831052047511E-9,1000.0,99.3,0.0,-600.0,-Infinity,?,?,99.64877069744105,50.0,0.0,100.0,?,?,99.3,1000.0,22440.0
1100.0,0.545991565,3.169614283212771E-9,1100.0,99.36363636363636,0.0,-600.0000000000367,-Infinity,?,?,99.68080255357957,50.0,0.0,100.0,?,?,99.36363636363636,1100.0,22440.0
1200.0,0.564903539,3.2794029077204565E-9,1200.0,99.41666666666666,0.0,-599.9999999999867,-Infinity,?,?,99.70748015043878,50.0,0.0,100.0,?,?,99.41666666666666,1200.0,22440.0
1300.0,0.583333323,3.3863923016004264E-9,1300.0,99.46153846153845,0.0,-600.0000000000289,-Infinity,?,?,99.73004242190513,50.0,0.0,100.0,?,?,99.46153846153845,1300.0,22440.0
1400.0,0.601633634,3.492630073117713E-9,1400.0,99.5,0.0,-600.0000000000466,-Infinity,?,?,99.74937343358395,50.0,0.0,100.0,?,?,99.5,1400.0,22440.0
1500.0,0.619542298,3.5965942382191618E-9,1500.0,99.53333333333333,0.0,-599.9999999999667,-Infinity,?,?,99.76612094888071,50.0,0.0,100.0,?,?,99.53333333333333,1500.0,22440.0
1600.0,0.637341109,3.6999206798461575E-9,1600.0,99.5625,0.0,-600.0000000000177,-Infinity,?,?,99.78077043532728,50.0,0.0,100.0,?,?,99.5625,1600.0,22440.0
1700.0,0.654775191,3.801129780616611E-9,1700.0,99.58823529411764,0.0,-599.9999999999811,-Infinity,?,?,99.79369289714117,50.0,0.0,100.0,?,?,99.58823529411764,1700.0,22440.0
1800.0,0.672327557,3.90302554887409E-9,1800.0,99.55555555555556,0.0,-700.00000000004,-Infinity,?,?,99.77728285077951,50.0,0.0,100.0,?,?,99.55555555555556,1800.0,22440.0
1900.0,0.701750787,4.091189507984866E-9,1900.0,98.68421052631578,84.16286575444765,-1149.9999999999472,71.26436781609185,92.15486993177724,84.84848484848484,99.31224209078404,94.40527456444032,89.74358974358975,99.06695938529089,90.0092562654139,80.45977011494253,99.55874241588528,1900.0,24720.0
2000.0,0.725155253,4.24086297970886E-9,2000.0,98.3,89.51901528065919,-1600.0,81.81818181818181,94.83111969213566,90.44943820224718,99.06695938529089,96.923141556171,95.26627218934911,98.5800109229929,92.82749955018863,86.09625668449198,99.55874241588528,2000.0,24720.0
2100.0,0.748325136,4.389036273987342E-9,2100.0,98.09523809523809,91.6337827851137,-1900.0000000000582,86.06271777003481,95.87608202474732,92.72727272727272,98.90410958904108,97.60810215034846,96.95817490494296,98.25802939575394,94.20445831595657,88.85017421602788,99.55874241588528,2100.0,24720.0
